HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521002870@276772@101103199@3312@101006@201371,MAIN,BCHOL 25 MG TABLET 10,TYCOON PHARMACEUTICALS PVT LTD,BETHANECHOL TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,210.94,21.09,Dec-2025
1521002870@276772@101103199@3312@101006@201371,OTHER,BETHANEVOID,STERIS HEALTHCARE,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,60.50,6.05,Dec-2025
1521002870@276772@101103199@3312@101006@201371,OTHER,MICTUEASE,LUPIN LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,175.90,17.59,Dec-2025
1521002870@276772@101103199@3312@101006@201371,OTHER,BETHERAN,RANBAXY LABORATORIES LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,182.81,18.28,Dec-2025
1521002870@276772@101103199@3312@101006@201371,OTHER,UROTONE,SAMARTH LIFE SCIENCES PVT LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,189.97,19.00,Dec-2025
1521002870@276772@101103199@3312@101006@201371,OTHER,BETHSEAS,OVERSEAS HEALTHCARE PVT LTD.,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,193.32,19.33,Dec-2025
1521002870@276772@101103199@3312@101006@201371,OTHER,URIVOID,CIPLA LTD.,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,213.42,21.34,Dec-2025
1521002870@276772@101103199@3312@101006@201371,OTHER,MACPEE,INTAS PHARMACEUTICALS LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,270.94,27.09,Dec-2025
1521100943@343927@101103199@3791@101006@201371,MAIN,BCHOL 50 MG TABLET 10,TYCOON PHARMACEUTICALS PVT LTD,BETHANECHOL TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,342.00,34.20,Dec-2025
1521100943@343927@101103199@3791@101006@201371,OTHER,BVOID,MEDITREX PHARMA,BETHANECHOL TABLET 50 MG,10,TABLET,Non-Scheduled,-1,262.50,26.25,Dec-2025
1521100943@343927@101103199@3791@101006@201371,OTHER,BETHSEAS,OVERSEAS HEALTHCARE PVT LTD.,BETHANECHOL TABLET 50 MG,10,TABLET,Non-Scheduled,-1,285.19,28.52,Dec-2025
1521100943@343927@101103199@3791@101006@201371,OTHER,UROTONE,SAMARTH LIFE SCIENCES PVT LTD,BETHANECHOL TABLET 50 MG,10,TABLET,Non-Scheduled,-1,295.31,29.53,Dec-2025
1521096577@343926@101103199@3937@101075@201371,MAIN,BCHOL 75 MG TABLET SR 10,TYCOON PHARMACEUTICALS PVT LTD,BETHANECHOL TABLET SR 75 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,510.94,51.09,Dec-2025
1521096577@343926@101103199@3937@101075@201371,OTHER,UROTONE,SAMARTH LIFE SCIENCES PVT LTD,BETHANECHOL TABLET SR 75 MG,10,TABLET SR,Non-Scheduled,-1,564.61,56.46,Dec-2025
1521139110@311589@101229116@3312@101006@201371,MAIN,BETHANEVOID 25 MG TABLET 10,STERIS HEALTHCARE,BETHANECHOL TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,60.50,6.05,Dec-2025
1521139110@311589@101229116@3312@101006@201371,OTHER,MICTUEASE,LUPIN LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,175.90,17.59,Dec-2025
1521139110@311589@101229116@3312@101006@201371,OTHER,BETHERAN,RANBAXY LABORATORIES LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,182.81,18.28,Dec-2025
1521139110@311589@101229116@3312@101006@201371,OTHER,UROTONE,SAMARTH LIFE SCIENCES PVT LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,189.97,19.00,Dec-2025
1521139110@311589@101229116@3312@101006@201371,OTHER,BETHSEAS,OVERSEAS HEALTHCARE PVT LTD.,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,193.32,19.33,Dec-2025
1521139110@311589@101229116@3312@101006@201371,OTHER,BCHOL,TYCOON PHARMACEUTICALS PVT LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,210.94,21.09,Dec-2025
1521139110@311589@101229116@3312@101006@201371,OTHER,URIVOID,CIPLA LTD.,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,213.42,21.34,Dec-2025
1521139110@311589@101229116@3312@101006@201371,OTHER,MACPEE,INTAS PHARMACEUTICALS LTD,BETHANECHOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,270.94,27.09,Dec-2025
