HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521090935@337558@101189463@3854@101006@200807,MAIN,ACBISO 5 MG TABLET 10,ACMEDIX PHARMA LLP,BISOPROLOL TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,29.00,2.90,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOACE,MOREPEN LABORATORIES LIMITED,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.96,1.10,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOSON,UNISON PHARMACEUTICALS,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,18.75,1.88,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISORIDE,UNISON PHARMACEUTICALS,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,20.00,2.00,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISBETA,SHRRISHTI HEALTHCARE,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,28.57,2.86,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BESOLOC,EAST WEST PHARMA,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,32.50,3.25,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOCAR,RUSAN HEALTHCARE PVT. LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,39.19,3.92,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISONOL,KNOLL HEALTHCARE PVT.LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BITAB,ALTEUS BIOGENICS PVT.LTD.,BISOPROLOL TABLET 5 MG,15,TABLET,Non-Scheduled,-1,68.91,4.59,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOTRAK,ZUVENTUS HEALTHCARE LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,46.85,4.69,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOBIS,CORONA,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,49.88,4.99,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BIZO,SPECTRA THERAPEUTICS PVT. LTD.,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,51.38,5.14,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOJOY,ZYDUS HEALTHCARE LTD.,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,51.56,5.16,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISELECT,INTAS PHARMACEUTICALS LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,52.50,5.25,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOGARD,STERIS HEALTHCARE,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,54.90,5.49,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BESICOR,AJANTA PHARMA LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOZIFF,ALEMBIC LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,PROSKY,NIRVANA HEALTH CARE,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,CARDIBIS,ARISTO PHARMACEUTICALS PVT.LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,60.93,6.09,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,AZKABIS,AZKKA PHARMACEUTICALS PVT LTD,BISOPROLOL TABLET 5 MG,15,TABLET,Non-Scheduled,-1,92.81,6.19,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOVAS,WALRON HEALTHCARE PVT.LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,63.75,6.38,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BIBETA,OPSISCARE LIFESCIENCSE PVT LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,65.63,6.56,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOCAP,NEOBEAT HEALTHCARE PVT.LTD,BISOPROLOL TABLET 5 MG,15,TABLET,Non-Scheduled,-1,103.13,6.88,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISODREN,FUSION HEALTHCARE PVT LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,69.00,6.90,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,ZABESTA,USV PVT LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,69.20,6.92,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISVEDA,KEPLER HEALTH CARE,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,73.00,7.30,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOBEAT,THYONE HEALTH CARE,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,73.13,7.31,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOCUT,ORRIS PHARMACEUTICALS,BISOPROLOL TABLET 5 MG,15,TABLET,Non-Scheduled,-1,112.50,7.50,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOZOX,LLOYD HEALTHCARE PVT.LTD,BISOPROLOL TABLET 5 MG,15,TABLET,Non-Scheduled,-1,112.50,7.50,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOLONG,MICRO LABS LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,78.75,7.88,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOFIG,CIPLA LTD.,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,82.50,8.25,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOWEL,ARRIENT HEALTHCARE PVT.LTD.,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,83.44,8.34,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,CORBIS,TORRENT PHARMACEUTICALS LTD.,BISOPROLOL TABLET 5 MG,15,TABLET,Non-Scheduled,-1,126.55,8.44,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BLOCPRO,IPCA LABORATORIES PVT LTD.,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,87.61,8.76,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISCADO,CADILA PHARMACEUTICALS LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,89.06,8.91,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISODUCE,MACLEODS PHARMACEUTICALS PVT.LTD,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,93.75,9.38,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISOHEART,MANKIND PHARMACEUTICALS LTD.,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,96.42,9.64,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BISODER,ELDER PROJECTS LIMITED,BISOPROLOL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,96.80,9.68,Dec-2025
1521090935@337558@101189463@3854@101006@200807,OTHER,BESICOR,AJANTA PHARMA LTD,BISOPROLOL TABLET 5 MG,15,TABLET,Non-Scheduled,-1,146.72,9.78,Dec-2025
