HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521160505@705486@101247650@1846@101006@200058,MAIN,GLICANAFLOZIN 100 MG TABLET 10,STERIS HEALTHCARE,CANAGLIFLOZIN TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,618.75,61.88,Dec-2025
1521160505@705486@101247650@1846@101006@200058,OTHER,PROMINAD (JOHN),JANSSEN,CANAGLIFLOZIN TABLET 100 MG,30,TABLET,Non-Scheduled,-1,1650.00,55.00,Dec-2025
1521160505@705486@101247650@1846@101006@200058,OTHER,INVOKANA,JANSSEN,CANAGLIFLOZIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,553.13,55.31,Dec-2025
1521160505@705486@101247650@1846@101006@200058,OTHER,PROMINAD,CIPLA LTD.,CANAGLIFLOZIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,556.87,55.69,Dec-2025
1521160505@705486@101247650@1846@101006@200058,OTHER,SULISENT,USV PVT LTD,CANAGLIFLOZIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,652.00,65.20,Dec-2025
1521037229@206695@101140409@1846@101006@200058,MAIN,INVOKANA 100 MG TABLET 10,JANSSEN,CANAGLIFLOZIN TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,553.13,55.31,Dec-2025
1521037229@206695@101140409@1846@101006@200058,OTHER,PROMINAD (JOHN),JANSSEN,CANAGLIFLOZIN TABLET 100 MG,30,TABLET,Non-Scheduled,-1,1650.00,55.00,Dec-2025
1521037229@206695@101140409@1846@101006@200058,OTHER,PROMINAD,CIPLA LTD.,CANAGLIFLOZIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,556.87,55.69,Dec-2025
1521037229@206695@101140409@1846@101006@200058,OTHER,GLICANAFLOZIN,STERIS HEALTHCARE,CANAGLIFLOZIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,618.75,61.88,Dec-2025
1521037229@206695@101140409@1846@101006@200058,OTHER,SULISENT,USV PVT LTD,CANAGLIFLOZIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,652.00,65.20,Dec-2025
