HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521017259@243152@101112764@3879@101068@201793,MAIN,CARFILNAT 60 MG INJECTION 1,NATCO PHARMA LTD,CARFILZOMIB INJECTION 60 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,9365.63,9365.63,Dec-2025
1521017259@243152@101112764@3879@101068@201793,OTHER,CARFIZOME,INTAS PHARMACEUTICALS LTD,CARFILZOMIB INJECTION 60 MG,1,INJECTION,Non-Scheduled,-1,11332.27,11332.27,Dec-2025
1521017259@243152@101112764@3879@101068@201793,OTHER,KYPROLIS,DR. REDDYS LABORATORIES LTD,CARFILZOMIB INJECTION 60 MG,1,INJECTION,Non-Scheduled,-1,44367.19,44367.19,Dec-2025
1521096218@346740@101191566@3879@101068@201793,MAIN,CARFIZOME 60 MG INJECTION 1,INTAS PHARMACEUTICALS LTD,CARFILZOMIB INJECTION 60 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,11332.27,11332.27,Dec-2025
1521096218@346740@101191566@3879@101068@201793,OTHER,CARFILNAT,NATCO PHARMA LTD,CARFILZOMIB INJECTION 60 MG,1,INJECTION,Non-Scheduled,-1,9365.63,9365.63,Dec-2025
1521096218@346740@101191566@3879@101068@201793,OTHER,KYPROLIS,DR. REDDYS LABORATORIES LTD,CARFILZOMIB INJECTION 60 MG,1,INJECTION,Non-Scheduled,-1,44367.19,44367.19,Dec-2025
1521153876@9999999937@101143246@3460@101068@201793,MAIN,KYPROLIS 30 MG INJECTION 1,DR. REDDYS LABORATORIES LTD,CARFILZOMIB INJECTION 30 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,22184.06,22184.06,Dec-2025
1521040021@244964@101143246@3879@101068@201793,MAIN,KYPROLIS 60 MG INJECTION 1,DR. REDDYS LABORATORIES LTD,CARFILZOMIB INJECTION 60 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,44367.19,44367.19,Dec-2025
1521040021@244964@101143246@3879@101068@201793,OTHER,CARFILNAT,NATCO PHARMA LTD,CARFILZOMIB INJECTION 60 MG,1,INJECTION,Non-Scheduled,-1,9365.63,9365.63,Dec-2025
1521040021@244964@101143246@3879@101068@201793,OTHER,CARFIZOME,INTAS PHARMACEUTICALS LTD,CARFILZOMIB INJECTION 60 MG,1,INJECTION,Non-Scheduled,-1,11332.27,11332.27,Dec-2025
