FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,1,ARTHETRIP PLUS,10,82.50,8.25,MERIDIAN MEDICARE LTD.
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,2,ACENUS CT,10,88.80,8.88,XENA CORONUS HEALTH CARE PVT.LTD
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,3,CHYMOPHI AP,10,99.00,9.90,STARTOS HEALTH CARE PVT.LTD
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,4,CHYMONET AP,10,103.13,10.31,LEEFORD HEALTHCARE
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,5,ALDIGESIC TC,10,107.81,10.78,ALKEM LABORATORIES LTD.
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,6,CHYMOCAD,10,127.31,12.73,CADILA PHARMACEUTICALS LTD
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,7,ZIXFLAM,10,127.27,12.73,JENBURKT PHARMACEUTICALS LTD
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,8,SISTAL AP,10,135.94,13.59,BESTOCHEM FORMULATIONS (I) LTD
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,9,OPTIGESIC CT,10,140.63,14.06,ENTOD PHARMACEUTICALS LTD
CHLORPHENAMINE & GUAIFENESIN,,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T17:06:33,ACECLOFENAC + PARACETAMOL + TRYPSIN-CHYMOTRYPSIN TABLET 100/325 MG/50000 AU / ACEFILE PLUS CT,AJANTA PHARMA LTD,4.05,Dec-2025,40.52/10 TABLET,10,CHYMOFLEX,10,148.13,14.81,ZERICO LIFESCIENCES PVT.LTD
