HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521106616@109828@101200320@1846@101006@202269,MAIN,CHLOPRO 100 MG TABLET 10,PSYCORMEDIES,CHLORPROMAZINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,7.50,0.75,Dec-2025
1521106616@109828@101200320@1846@101006@202269,OTHER,EMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,7.44,0.74,Dec-2025
1521106616@109828@101200320@1846@101006@202269,OTHER,CHLORPRO,PSYCORMEDIES,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,8.85,0.89,Dec-2025
1521106616@109828@101200320@1846@101006@202269,OTHER,CPZ (CHLORPROMAZINE),SUN PHARMA LABORATORIES LTD.,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,13.13,1.31,Dec-2025
1521106616@109828@101200320@1846@101006@202269,OTHER,CLOZINE,PSYCHOTROPICS INDIA LTD,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,29.00,2.90,Dec-2025
1521106616@109828@101200320@1846@101006@202269,OTHER,YEMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,37.50,3.75,Dec-2025
1521113711@8913@101200344@1846@101006@202269,MAIN,CHLORPRO 100 MG TABLET 10,PSYCORMEDIES,CHLORPROMAZINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,8.85,0.89,Dec-2025
1521113711@8913@101200344@1846@101006@202269,OTHER,EMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,7.44,0.74,Dec-2025
1521113711@8913@101200344@1846@101006@202269,OTHER,CHLOPRO,PSYCORMEDIES,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,7.50,0.75,Dec-2025
1521113711@8913@101200344@1846@101006@202269,OTHER,CPZ (CHLORPROMAZINE),SUN PHARMA LABORATORIES LTD.,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,13.13,1.31,Dec-2025
1521113711@8913@101200344@1846@101006@202269,OTHER,CLOZINE,PSYCHOTROPICS INDIA LTD,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,29.00,2.90,Dec-2025
1521113711@8913@101200344@1846@101006@202269,OTHER,YEMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,37.50,3.75,Dec-2025
1521025355@56791@101117974@1846@101006@202269,MAIN,CLOZINE 100 MG TABLET 10,PSYCHOTROPICS INDIA LTD,CHLORPROMAZINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,29.00,2.90,Dec-2025
1521025355@56791@101117974@1846@101006@202269,OTHER,EMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,7.44,0.74,Dec-2025
1521025355@56791@101117974@1846@101006@202269,OTHER,CHLOPRO,PSYCORMEDIES,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,7.50,0.75,Dec-2025
1521025355@56791@101117974@1846@101006@202269,OTHER,CHLORPRO,PSYCORMEDIES,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,8.85,0.89,Dec-2025
1521025355@56791@101117974@1846@101006@202269,OTHER,CPZ (CHLORPROMAZINE),SUN PHARMA LABORATORIES LTD.,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,13.13,1.31,Dec-2025
1521025355@56791@101117974@1846@101006@202269,OTHER,YEMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,37.50,3.75,Dec-2025
1521013563@56793@101117974@2974@101006@202269,MAIN,CLOZINE 200 MG TABLET 10,PSYCHOTROPICS INDIA LTD,CHLORPROMAZINE TABLET 200 MG,10 TABLET,TABLET,Non-Scheduled,-1,15.00,1.50,Dec-2025
1521013563@56793@101117974@2974@101006@202269,OTHER,YEMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,29.71,2.97,Dec-2025
1521013564@56792@101117974@3791@101006@202269,MAIN,CLOZINE 50 MG TABLET 10,PSYCHOTROPICS INDIA LTD,CHLORPROMAZINE TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,3.75,0.38,Dec-2025
1521013564@56792@101117974@3791@101006@202269,OTHER,CPZ (CHLORPROMAZINE),SUN PHARMA LABORATORIES LTD.,CHLORPROMAZINE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,8.44,0.84,Dec-2025
1521013564@56792@101117974@3791@101006@202269,OTHER,YEMETIL,LA PHARMACEUTICALS,CHLORPROMAZINE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,25.31,2.53,Dec-2025
