HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521010619@200676@101111090@1553@101101@200970,MAIN,ACLIND 1 % GEL 15 GM,MOHRISH PHARMACEUTICALS,CLINDAMYCIN GEL 1 %,15 GM GEL,GEL,Non-Scheduled,-1,96.00,6.40,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLID,BENNET PHARMACEUTICALS LIMITED,CLINDAMYCIN GEL 1 %,50,GEL,Non-Scheduled,-1,165.00,3.30,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,PIMOFF,LUPIN LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,66.16,3.31,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLID,BENNET PHARMACEUTICALS LIMITED,CLINDAMYCIN GEL 1 %,30,GEL,Non-Scheduled,-1,112.40,3.75,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,ECNACARE,OMEGA REMEDIES PVT LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,96.00,4.80,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINSOFT,INVISION MEDI SCIENCES,CLINDAMYCIN GEL 1 %,15,GEL,Non-Scheduled,-1,75.00,5.00,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLIZA,MYPHER PHARMACEUTICALS LLP.LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,102.09,5.10,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINOPAK,BENNET PHARMACEUTICALS LIMITED,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,102.18,5.11,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,ACRUB ANTI ACNE,PSYCHOTROPICS INDIA LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,112.55,5.63,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,ACNESOL,SYSTOPIC LABORATORIES LTD-MEM,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,113.00,5.65,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINKA,INTAS PHARMACEUTICALS LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,114.50,5.73,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINGARD,MSD PHARMACEUTICALS PRIVATE LTD.,CLINDAMYCIN GEL 1 %,15,GEL,Non-Scheduled,-1,88.53,5.90,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINAPIL,PSYCHOTROPICS INDIA LTD,CLINDAMYCIN GEL 1 %,10,GEL,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,ALLYTE,LINCOLN PHARMACEUTICALS LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,128.44,6.42,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINMAX,PALSONS DERMA PVT. LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,133.57,6.68,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINRED,ENCORE HEALTHCARE PVT LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,140.63,7.03,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,CLINCIN,INDI PHARMA,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,157.81,7.89,Dec-2025
1521010619@200676@101111090@1553@101101@200970,OTHER,ACNERUS,CYRUS REMEDIES PVT LTD,CLINDAMYCIN GEL 1 %,20,GEL,Non-Scheduled,-1,175.00,8.75,Dec-2025
