HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521016082@84214@101123102@2107@101006@200273,MAIN,DEXPURE 10 MG TABLET 10,EMCURE PHARMACEUTICALS LTD,DEXRABEPRAZOLE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,103.30,10.33,Dec-2025
1521016082@84214@101123102@2107@101006@200273,OTHER,EMRAB,EMCURE PHARMACEUTICALS LTD,DEXRABEPRAZOLE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,52.80,5.28,Dec-2025
1521016082@84214@101123102@2107@101006@200273,OTHER,REPEPSA,AKUMENTIS HEALTHCARE LTD,DEXRABEPRAZOLE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,82.50,8.25,Dec-2025
1521015309@241291@101122381@3049@101006@200273,MAIN,DIRAB 20 MG TABLET 10,HETERO HEALTHCARE LTD,DEXRABEPRAZOLE TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,35.00,3.50,Dec-2025
1521021719@157734@101127361@2107@101006@200273,MAIN,EMRAB 10 MG TABLET 10,EMCURE PHARMACEUTICALS LTD,DEXRABEPRAZOLE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,52.80,5.28,Dec-2025
1521021719@157734@101127361@2107@101006@200273,OTHER,REPEPSA,AKUMENTIS HEALTHCARE LTD,DEXRABEPRAZOLE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,82.50,8.25,Dec-2025
1521021719@157734@101127361@2107@101006@200273,OTHER,DEXPURE,EMCURE PHARMACEUTICALS LTD,DEXRABEPRAZOLE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,103.30,10.33,Dec-2025
1521069601@175553@101170208@2107@101006@200273,MAIN,REPEPSA 10 MG TABLET 10,AKUMENTIS HEALTHCARE LTD,DEXRABEPRAZOLE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,82.50,8.25,Dec-2025
1521069601@175553@101170208@2107@101006@200273,OTHER,EMRAB,EMCURE PHARMACEUTICALS LTD,DEXRABEPRAZOLE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,52.80,5.28,Dec-2025
1521069601@175553@101170208@2107@101006@200273,OTHER,DEXPURE,EMCURE PHARMACEUTICALS LTD,DEXRABEPRAZOLE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,103.30,10.33,Dec-2025
