HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003786@123251@101245656@3791@101006@200091,MAIN,ALDONIL 50 MG TABLET 10,ZYDUS HEALTHCARE LTD.,EPALRESTAT TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,188.20,18.82,Dec-2025
1521003786@123251@101245656@3791@101006@200091,OTHER,EPAREL,MICRO LABS LTD,EPALRESTAT TABLET 50 MG,10,TABLET,Non-Scheduled,-1,64.50,6.45,Dec-2025
1521003786@123251@101245656@3791@101006@200091,OTHER,EPALRIDASE,EAST WEST PHARMA,EPALRESTAT TABLET 50 MG,10,TABLET,Non-Scheduled,-1,118.55,11.86,Dec-2025
1521001500@185660@101245656@2642@101075@200091,MAIN,ALDONIL OD 150 MG TABLET SR 10,ZYDUS HEALTHCARE LTD.,EPALRESTAT TABLET SR 150 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,319.53,31.95,Dec-2025
1521001500@185660@101245656@2642@101075@200091,OTHER,DINREST,WALTON HEALTH CARE PVT.LTD,EPALRESTAT TABLET SR 150 MG,10,TABLET SR,Non-Scheduled,-1,89.06,8.91,Dec-2025
1521001500@185660@101245656@2642@101075@200091,OTHER,ALRISTA,MACLEODS PHARMACEUTICALS PVT.LTD,EPALRESTAT TABLET SR 150 MG,10,TABLET SR,Non-Scheduled,-1,174.37,17.44,Dec-2025
1521006988@182806@101102883@2642@101075@200091,MAIN,ALRISTA 150 MG TABLET SR 10,MACLEODS PHARMACEUTICALS PVT.LTD,EPALRESTAT TABLET SR 150 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,174.37,17.44,Dec-2025
1521006988@182806@101102883@2642@101075@200091,OTHER,DINREST,WALTON HEALTH CARE PVT.LTD,EPALRESTAT TABLET SR 150 MG,10,TABLET SR,Non-Scheduled,-1,89.06,8.91,Dec-2025
1521006988@182806@101102883@2642@101075@200091,OTHER,ALDONIL,ZYDUS HEALTHCARE LTD.,EPALRESTAT TABLET SR 150 MG,10,TABLET SR,Non-Scheduled,-1,319.53,31.95,Dec-2025
1521142608@354476@101228819@2642@101006@200091,MAIN,AXONET 150 MG TABLET 10,SPARSH REMEDIES PVT.LTD,EPALRESTAT TABLET 150 MG,10 TABLET,TABLET,Non-Scheduled,-1,233.00,23.30,Dec-2025
1521150671@320037@101231094@2642@101075@200091,MAIN,DINREST 150 MG TABLET SR 10,WALTON HEALTH CARE PVT.LTD,EPALRESTAT TABLET SR 150 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,89.06,8.91,Dec-2025
1521150671@320037@101231094@2642@101075@200091,OTHER,ALRISTA,MACLEODS PHARMACEUTICALS PVT.LTD,EPALRESTAT TABLET SR 150 MG,10,TABLET SR,Non-Scheduled,-1,174.37,17.44,Dec-2025
1521150671@320037@101231094@2642@101075@200091,OTHER,ALDONIL,ZYDUS HEALTHCARE LTD.,EPALRESTAT TABLET SR 150 MG,10,TABLET SR,Non-Scheduled,-1,319.53,31.95,Dec-2025
1521022826@223058@101128128@3791@101006@200091,MAIN,EPALRIDASE 50 MG TABLET 10,EAST WEST PHARMA,EPALRESTAT TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,118.55,11.86,Dec-2025
1521022826@223058@101128128@3791@101006@200091,OTHER,EPAREL,MICRO LABS LTD,EPALRESTAT TABLET 50 MG,10,TABLET,Non-Scheduled,-1,64.50,6.45,Dec-2025
1521022826@223058@101128128@3791@101006@200091,OTHER,ALDONIL,ZYDUS HEALTHCARE LTD.,EPALRESTAT TABLET 50 MG,10,TABLET,Non-Scheduled,-1,188.20,18.82,Dec-2025
1521022827@160800@101128129@3791@101006@200091,MAIN,EPAREL 50 MG TABLET 10,MICRO LABS LTD,EPALRESTAT TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,64.50,6.45,Dec-2025
1521022827@160800@101128129@3791@101006@200091,OTHER,EPALRIDASE,EAST WEST PHARMA,EPALRESTAT TABLET 50 MG,10,TABLET,Non-Scheduled,-1,118.55,11.86,Dec-2025
1521022827@160800@101128129@3791@101006@200091,OTHER,ALDONIL,ZYDUS HEALTHCARE LTD.,EPALRESTAT TABLET 50 MG,10,TABLET,Non-Scheduled,-1,188.20,18.82,Dec-2025
