HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521102568@353705@101129162@3215@101006@201620,MAIN,ETHIDE 250 MG TABLET 12,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,12 TABLET,TABLET,Scheduled,15.07,186.60,15.55,Dec-2025
1521102568@353705@101129162@3215@101006@201620,OTHER,THIOMID E,UNITED BIOTECH (P) LTD,ETHIONAMIDE TABLET 250 MG,6,TABLET,Scheduled,15.07,78.50,13.08,Dec-2025
1521102568@353705@101129162@3215@101006@201620,OTHER,ETHOMID,MACLEODS PHARMACEUTICALS PVT.LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,155.50,15.55,Dec-2025
1521102568@353705@101129162@3215@101006@201620,OTHER,ETHIO,CONCEPT PHARMACEUTICALS LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,215.63,21.56,Dec-2025
1521024345@66202@101129162@3215@101006@201620,MAIN,ETHIDE 250 MG TABLET 6,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,6 TABLET,TABLET,Scheduled,15.07,105.43,17.57,Dec-2025
1521024345@66202@101129162@3215@101006@201620,OTHER,THIOMID E,UNITED BIOTECH (P) LTD,ETHIONAMIDE TABLET 250 MG,6,TABLET,Scheduled,15.07,78.50,13.08,Dec-2025
1521024345@66202@101129162@3215@101006@201620,OTHER,ETHOMID,MACLEODS PHARMACEUTICALS PVT.LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,155.50,15.55,Dec-2025
1521024345@66202@101129162@3215@101006@201620,OTHER,ETHIO,CONCEPT PHARMACEUTICALS LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,215.63,21.56,Dec-2025
1521024362@97192@101129173@3215@101006@201620,MAIN,ETHIO 250 MG TABLET 10,CONCEPT PHARMACEUTICALS LTD,ETHIONAMIDE TABLET 250 MG,10 TABLET,TABLET,Scheduled,15.07,215.63,21.56,Dec-2025
1521024362@97192@101129173@3215@101006@201620,OTHER,THIOMID E,UNITED BIOTECH (P) LTD,ETHIONAMIDE TABLET 250 MG,6,TABLET,Scheduled,15.07,78.50,13.08,Dec-2025
1521024362@97192@101129173@3215@101006@201620,OTHER,ETHIDE,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,12,TABLET,Scheduled,15.07,186.60,15.55,Dec-2025
1521024362@97192@101129173@3215@101006@201620,OTHER,ETHOMID,MACLEODS PHARMACEUTICALS PVT.LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,155.50,15.55,Dec-2025
1521024362@97192@101129173@3215@101006@201620,OTHER,ETHIDE,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,6,TABLET,Scheduled,15.07,105.43,17.57,Dec-2025
1521023437@15728@101129183@3215@101006@201620,MAIN,ETHOMID 250 MG TABLET 10,MACLEODS PHARMACEUTICALS PVT.LTD,ETHIONAMIDE TABLET 250 MG,10 TABLET,TABLET,Scheduled,15.07,155.50,15.55,Dec-2025
1521023437@15728@101129183@3215@101006@201620,OTHER,THIOMID E,UNITED BIOTECH (P) LTD,ETHIONAMIDE TABLET 250 MG,6,TABLET,Scheduled,15.07,78.50,13.08,Dec-2025
1521023437@15728@101129183@3215@101006@201620,OTHER,ETHIDE,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,12,TABLET,Scheduled,15.07,186.60,15.55,Dec-2025
1521023437@15728@101129183@3215@101006@201620,OTHER,ETHIDE,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,6,TABLET,Scheduled,15.07,105.43,17.57,Dec-2025
1521023437@15728@101129183@3215@101006@201620,OTHER,ETHIO,CONCEPT PHARMACEUTICALS LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,215.63,21.56,Dec-2025
1521077307@144691@101177721@3215@101006@201620,MAIN,THIOMID E 250 MG TABLET 6,UNITED BIOTECH (P) LTD,ETHIONAMIDE TABLET 250 MG,6 TABLET,TABLET,Scheduled,15.07,78.50,13.08,Dec-2025
1521077307@144691@101177721@3215@101006@201620,OTHER,ETHIDE,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,12,TABLET,Scheduled,15.07,186.60,15.55,Dec-2025
1521077307@144691@101177721@3215@101006@201620,OTHER,ETHOMID,MACLEODS PHARMACEUTICALS PVT.LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,155.50,15.55,Dec-2025
1521077307@144691@101177721@3215@101006@201620,OTHER,ETHIDE,LUPIN LTD,ETHIONAMIDE TABLET 250 MG,6,TABLET,Scheduled,15.07,105.43,17.57,Dec-2025
1521077307@144691@101177721@3215@101006@201620,OTHER,ETHIO,CONCEPT PHARMACEUTICALS LTD,ETHIONAMIDE TABLET 250 MG,10,TABLET,Scheduled,15.07,215.63,21.56,Dec-2025
