HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521011037@307364@101101559@3304@101050@200317,MAIN,AIRZ 25 MCG SMARTULES 2 ML,GLENMARK PHARMACEUTICALS LTD.,GLYCOPYRROLATE SMARTULES 25 MCG,2 ML SMARTULES,SMARTULES,Non-Scheduled,-1,39.40,19.70,Dec-2025
1521011037@307364@101101559@3304@101050@200317,OTHER,NEBZMART G,GLENMARK PHARMACEUTICALS LTD.,GLYCOPYRROLATE SMARTULES 25 MCG,2,SMARTULES,Non-Scheduled,-1,58.21,29.11,Dec-2025
1521001325@228520@101101559@3789@101038@200317,MAIN,AIRZ DPI 50 MCG CAPSULE 30,GLENMARK PHARMACEUTICALS LTD.,GLYCOPYRROLATE CAPSULE 50 MCG,30 CAPSULE,CAPSULE,Non-Scheduled,-1,661.41,22.05,Dec-2025
1521001325@228520@101101559@3789@101038@200317,OTHER,GLYCOHALE,CIPLA LTD.,GLYCOPYRROLATE CAPSULE 50 MCG,10,CAPSULE,Non-Scheduled,-1,380.00,38.00,Dec-2025
1521030934@216670@101134265@2864@101006@200317,MAIN,GCOLATE 1 MG TABLET 10,ICON LIFESCIENCES,GLYCOPYRROLATE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,90.90,9.09,Dec-2025
1521030934@216670@101134265@2864@101006@200317,OTHER,GLYCOLATE,INTAS PHARMACEUTICALS LTD,GLYCOPYRROLATE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,109.69,10.97,Dec-2025
1521030936@216672@101134265@3378@101006@200317,MAIN,GCOLATE 2 MG TABLET 10,ICON LIFESCIENCES,GLYCOPYRROLATE TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,168.70,16.87,Dec-2025
1521030936@216672@101134265@3378@101006@200317,OTHER,GLYCOLATE,INTAS PHARMACEUTICALS LTD,GLYCOPYRROLATE TABLET 2 MG,10,TABLET,Non-Scheduled,-1,218.44,21.84,Dec-2025
1521157425@701690@101243873@3304@101152@200317,MAIN,GLYCOBREEZ NEB 25 MCG RESPULES 2 ML,MANKIND PHARMACEUTICALS LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2 ML RESPULES,RESPULES,Non-Scheduled,-1,52.50,26.25,Dec-2025
1521157425@701690@101243873@3304@101152@200317,OTHER,NEXSTEP G,MACLEODS PHARMACEUTICALS PVT.LTD,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,45.19,22.60,Dec-2025
1521157425@701690@101243873@3304@101152@200317,OTHER,GLYCOHALE,CIPLA LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,52.50,26.25,Dec-2025
1521157425@701690@101243873@3304@101152@200317,OTHER,GLYNIUM,ZYDUS HEALTHCARE LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,53.63,26.82,Dec-2025
1521157425@701690@101243873@3304@101152@200317,OTHER,GLYCOHALE,CIPLA LTD.,GLYCOPYRROLATE RESPULES 25 MCG,1,RESPULES,Non-Scheduled,-1,36.30,36.30,Dec-2025
1521157425@701690@101243873@3304@101152@200317,OTHER,UNIPUFF G,UNIZA HEALTHCARE LLP,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,265.78,132.89,Dec-2025
1521032840@311770@101136115@3304@101042@200317,MAIN,GLYCOFLO NEB 25 MCG TRANSPULES 2 ML,LUPIN LTD,GLYCOPYRROLATE TRANSPULES 25 MCG,2 ML TRANSPULES,TRANSPULES,Non-Scheduled,-1,63.15,31.58,Dec-2025
1521032842@309204@101136097@3304@101152@200317,MAIN,GLYCOHALE 25 MCG RESPULES 1 ML,CIPLA LTD.,GLYCOPYRROLATE RESPULES 25 MCG,1 ML RESPULES,RESPULES,Non-Scheduled,-1,36.30,36.30,Dec-2025
1521032842@309204@101136097@3304@101152@200317,OTHER,NEXSTEP G,MACLEODS PHARMACEUTICALS PVT.LTD,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,45.19,22.60,Dec-2025
1521032842@309204@101136097@3304@101152@200317,OTHER,GLYCOBREEZ NEB,MANKIND PHARMACEUTICALS LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,52.50,26.25,Dec-2025
1521032842@309204@101136097@3304@101152@200317,OTHER,GLYNIUM,ZYDUS HEALTHCARE LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,53.63,26.82,Dec-2025
1521032842@309204@101136097@3304@101152@200317,OTHER,UNIPUFF G,UNIZA HEALTHCARE LLP,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,265.78,132.89,Dec-2025
1521148872@9999995811@101136097@3304@101152@200317,MAIN,GLYCOHALE 25 MCG RESPULES 2 ML,CIPLA LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2 ML RESPULES,RESPULES,Non-Scheduled,-1,52.50,26.25,Dec-2025
1521148872@9999995811@101136097@3304@101152@200317,OTHER,NEXSTEP G,MACLEODS PHARMACEUTICALS PVT.LTD,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,45.19,22.60,Dec-2025
1521148872@9999995811@101136097@3304@101152@200317,OTHER,GLYCOBREEZ NEB,MANKIND PHARMACEUTICALS LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,52.50,26.25,Dec-2025
1521148872@9999995811@101136097@3304@101152@200317,OTHER,GLYNIUM,ZYDUS HEALTHCARE LTD.,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,53.63,26.82,Dec-2025
1521148872@9999995811@101136097@3304@101152@200317,OTHER,UNIPUFF G,UNIZA HEALTHCARE LLP,GLYCOPYRROLATE RESPULES 25 MCG,2,RESPULES,Non-Scheduled,-1,265.78,132.89,Dec-2025
1521134861@351277@101136097@3789@101038@200317,MAIN,GLYCOHALE 50 MCG CAPSULE 10,CIPLA LTD.,GLYCOPYRROLATE CAPSULE 50 MCG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,380.00,38.00,Dec-2025
1521134861@351277@101136097@3789@101038@200317,OTHER,AIRZ,GLENMARK PHARMACEUTICALS LTD.,GLYCOPYRROLATE CAPSULE 50 MCG,30,CAPSULE,Non-Scheduled,-1,661.41,22.05,Dec-2025
1521032861@182757@101136121@2864@101006@200317,MAIN,GLYCOLATE 1 MG TABLET 10,INTAS PHARMACEUTICALS LTD,GLYCOPYRROLATE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,109.69,10.97,Dec-2025
1521032861@182757@101136121@2864@101006@200317,OTHER,GCOLATE,ICON LIFESCIENCES,GLYCOPYRROLATE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,90.90,9.09,Dec-2025
1521032863@182752@101136121@3378@101006@200317,MAIN,GLYCOLATE 2 MG TABLET 10,INTAS PHARMACEUTICALS LTD,GLYCOPYRROLATE TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,218.44,21.84,Dec-2025
1521032863@182752@101136121@3378@101006@200317,OTHER,GCOLATE,ICON LIFESCIENCES,GLYCOPYRROLATE TABLET 2 MG,10,TABLET,Non-Scheduled,-1,168.70,16.87,Dec-2025
1521068251@55658@101136133@1340@101068@200317,MAIN,GLYCOPYRROLATE 0.2 MG INJECTION 1 ML,KHANDELWAL LABORATORIES LTD,GLYCOPYRROLATE INJECTION 0.2 MG,1 ML INJECTION,INJECTION,Scheduled,14.78,10.62,10.62,Dec-2025
