HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521006219@70049@101110154@1406@101103@202717,MAIN,ALBALON 0.5 % EYE DROPS 5 ML,ALLERGAN INDIA LTD,KETOTIFEN EYE DROPS 0.5 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,91.30,18.26,Dec-2025
1521003904@67399@101109988@2864@101006@202717,MAIN,ASTHAFEN 1 MG TABLET 10,TORRENT PHARMACEUTICALS LTD.,KETOTIFEN TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,70.50,7.05,Dec-2025
1521003904@67399@101109988@2864@101006@202717,OTHER,MASTIFEN,EAST WEST PHARMA,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,51.15,5.12,Dec-2025
1521003904@67399@101109988@2864@101006@202717,OTHER,PRIVENT,MICRO LABS LTD,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,53.00,5.30,Dec-2025
1521003904@67399@101109988@2864@101006@202717,OTHER,KETASMA,SUN PHARMA LABORATORIES LTD.,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,98.44,9.84,Dec-2025
1521039125@20982@101142304@2864@101006@202717,MAIN,KETASMA 1 MG TABLET 10,SUN PHARMA LABORATORIES LTD.,KETOTIFEN TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,98.44,9.84,Dec-2025
1521039125@20982@101142304@2864@101006@202717,OTHER,MASTIFEN,EAST WEST PHARMA,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,51.15,5.12,Dec-2025
1521039125@20982@101142304@2864@101006@202717,OTHER,PRIVENT,MICRO LABS LTD,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,53.00,5.30,Dec-2025
1521039125@20982@101142304@2864@101006@202717,OTHER,ASTHAFEN,TORRENT PHARMACEUTICALS LTD.,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,70.50,7.05,Dec-2025
1521045633@147208@101148761@2864@101006@202717,MAIN,MASTIFEN 1 MG TABLET 10,EAST WEST PHARMA,KETOTIFEN TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,51.15,5.12,Dec-2025
1521045633@147208@101148761@2864@101006@202717,OTHER,PRIVENT,MICRO LABS LTD,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,53.00,5.30,Dec-2025
1521045633@147208@101148761@2864@101006@202717,OTHER,ASTHAFEN,TORRENT PHARMACEUTICALS LTD.,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,70.50,7.05,Dec-2025
1521045633@147208@101148761@2864@101006@202717,OTHER,KETASMA,SUN PHARMA LABORATORIES LTD.,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,98.44,9.84,Dec-2025
1521103121@290944@101148761@-1@101126@202717,MAIN,MASTIFEN SYRUP 60 ML,EAST WEST PHARMA,KETOTIFEN SYRUP ,60 ML SYRUP,SYRUP,Non-Scheduled,-1,85.10,1.42,Dec-2025
1521063646@78769@101166336@2864@101006@202717,MAIN,PRIVENT DT 1 MG TABLET 10,MICRO LABS LTD,KETOTIFEN TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,53.00,5.30,Dec-2025
1521063646@78769@101166336@2864@101006@202717,OTHER,MASTIFEN,EAST WEST PHARMA,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,51.15,5.12,Dec-2025
1521063646@78769@101166336@2864@101006@202717,OTHER,ASTHAFEN,TORRENT PHARMACEUTICALS LTD.,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,70.50,7.05,Dec-2025
1521063646@78769@101166336@2864@101006@202717,OTHER,KETASMA,SUN PHARMA LABORATORIES LTD.,KETOTIFEN TABLET 1 MG,10,TABLET,Non-Scheduled,-1,98.44,9.84,Dec-2025
