HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001128@62947@101101213@2107@101006@202352,MAIN,ADDWIZE 10 MG TABLET 10,SUN PHARMA LABORATORIES LTD.,METHYLPHENIDATE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,159.38,15.94,Dec-2025
1521001128@62947@101101213@2107@101006@202352,OTHER,MDET,ALTEUS BIOGENICS PVT.LTD.,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,160.97,16.10,Dec-2025
1521001128@62947@101101213@2107@101006@202352,OTHER,METH- OD,INTAS PHARMACEUTICALS LTD,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,178.83,17.88,Dec-2025
1521001128@62947@101101213@2107@101006@202352,OTHER,INSPIRAL,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,193.17,19.32,Dec-2025
1521001129@179738@101101213@2852@101006@202352,MAIN,ADDWIZE OD 18 MG TABLET 10,SUN PHARMA LABORATORIES LTD.,METHYLPHENIDATE TABLET 18 MG,10 TABLET,TABLET,Non-Scheduled,-1,230.63,23.06,Dec-2025
1521001129@179738@101101213@2852@101006@202352,OTHER,CONCERTA,JANSSEN,METHYLPHENIDATE TABLET 18 MG,30,TABLET,Non-Scheduled,-1,3871.88,129.06,Dec-2025
1521013830@221771@101119244@2852@101006@202352,MAIN,CONCERTA 18 MG TABLET 30,JANSSEN,METHYLPHENIDATE TABLET 18 MG,30 TABLET,TABLET,Non-Scheduled,-1,3871.88,129.06,Dec-2025
1521013830@221771@101119244@2852@101006@202352,OTHER,ADDWIZE,SUN PHARMA LABORATORIES LTD.,METHYLPHENIDATE TABLET 18 MG,10,TABLET,Non-Scheduled,-1,230.63,23.06,Dec-2025
1521057587@221772@101119244@3568@101006@202352,MAIN,CONCERTA 36 MG TABLET 30,JANSSEN,METHYLPHENIDATE TABLET 36 MG,30 TABLET,TABLET,Non-Scheduled,-1,4828.13,160.94,Dec-2025
1521057621@221773@101119244@3810@101006@202352,MAIN,CONCERTA 54 MG TABLET 30,JANSSEN,METHYLPHENIDATE TABLET 54 MG,30 TABLET,TABLET,Non-Scheduled,-1,6180.00,206.00,Dec-2025
1521036918@116152@101140102@2107@101006@202352,MAIN,INSPIRAL 10 MG TABLET 10,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,193.17,19.32,Dec-2025
1521036918@116152@101140102@2107@101006@202352,OTHER,ADDWIZE,SUN PHARMA LABORATORIES LTD.,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,159.38,15.94,Dec-2025
1521036918@116152@101140102@2107@101006@202352,OTHER,MDET,ALTEUS BIOGENICS PVT.LTD.,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,160.97,16.10,Dec-2025
1521036918@116152@101140102@2107@101006@202352,OTHER,METH- OD,INTAS PHARMACEUTICALS LTD,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,178.83,17.88,Dec-2025
1521036920@117650@101140102@2107@101075@202352,MAIN,INSPIRAL 10 MG TABLET SR 10,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET SR 10 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,234.56,23.46,Dec-2025
1521089451@291174@101140102@3049@101006@202352,MAIN,INSPIRAL 20 MG TABLET 10,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,317.86,31.79,Dec-2025
1521089451@291174@101140102@3049@101006@202352,OTHER,METH- OD,INTAS PHARMACEUTICALS LTD,METHYLPHENIDATE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,243.75,24.38,Dec-2025
1521036923@98690@101140102@3049@101075@202352,MAIN,INSPIRAL 20 MG TABLET SR 10,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET SR 20 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,358.97,35.90,Dec-2025
1521036923@98690@101140102@3049@101075@202352,OTHER,MDET,ALTEUS BIOGENICS PVT.LTD.,METHYLPHENIDATE TABLET SR 20 MG,10,TABLET SR,Non-Scheduled,-1,229.72,22.97,Dec-2025
1521036924@129613@101140102@3854@101006@202352,MAIN,INSPIRAL 5 MG TABLET 10,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,164.48,16.45,Dec-2025
1521036924@129613@101140102@3854@101006@202352,OTHER,MDET,ALTEUS BIOGENICS PVT.LTD.,METHYLPHENIDATE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,131.02,13.10,Dec-2025
1521090480@327327@101189072@2107@101006@202352,MAIN,MDET 10 MG TABLET 10,ALTEUS BIOGENICS PVT.LTD.,METHYLPHENIDATE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,160.97,16.10,Dec-2025
1521090480@327327@101189072@2107@101006@202352,OTHER,ADDWIZE,SUN PHARMA LABORATORIES LTD.,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,159.38,15.94,Dec-2025
1521090480@327327@101189072@2107@101006@202352,OTHER,METH- OD,INTAS PHARMACEUTICALS LTD,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,178.83,17.88,Dec-2025
1521090480@327327@101189072@2107@101006@202352,OTHER,INSPIRAL,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,193.17,19.32,Dec-2025
1521101215@343590@101189072@3049@101075@202352,MAIN,MDET 20 MG TABLET SR 10,ALTEUS BIOGENICS PVT.LTD.,METHYLPHENIDATE TABLET SR 20 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,229.72,22.97,Dec-2025
1521101215@343590@101189072@3049@101075@202352,OTHER,INSPIRAL,IPCA LABORATORIES PVT LTD.,METHYLPHENIDATE TABLET SR 20 MG,10,TABLET SR,Non-Scheduled,-1,358.97,35.90,Dec-2025
