HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521049710@50514@101152754@3854@101006@200368,MAIN,MOPID 5 MG TABLET 10,TAS MED (INDIA) PRIVATE LTD.,MOSAPRIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,66.55,6.66,Dec-2025
1521049710@50514@101152754@3854@101006@200368,OTHER,MOSAWIN,EAST WEST PHARMA,MOSAPRIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,41.48,4.15,Dec-2025
1521049710@50514@101152754@3854@101006@200368,OTHER,MOZA,INTAS PHARMACEUTICALS LTD,MOSAPRIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,101.95,10.20,Dec-2025
1521049766@309962@101152800@3376@101065@200368,MAIN,MOSART 2 GM GRANULES 1 GM,CADILA PHARMACEUTICALS LTD,MOSAPRIDE GRANULES 2 GM,1 GM GRANULES,GRANULES,Non-Scheduled,-1,70.78,70.78,Dec-2025
1521049772@249001@101152800@3376@101065@200368,MAIN,MOSART 2 GM GRANULES 2 GM,CADILA PHARMACEUTICALS LTD,MOSAPRIDE GRANULES 2 GM,2 GM GRANULES,GRANULES,Non-Scheduled,-1,117.19,58.60,Dec-2025
1521049788@147214@101152823@3854@101006@200368,MAIN,MOSAWIN 5 MG TABLET 10,EAST WEST PHARMA,MOSAPRIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,41.48,4.15,Dec-2025
1521049788@147214@101152823@3854@101006@200368,OTHER,MOPID,TAS MED (INDIA) PRIVATE LTD.,MOSAPRIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,66.55,6.66,Dec-2025
1521049788@147214@101152823@3854@101006@200368,OTHER,MOZA,INTAS PHARMACEUTICALS LTD,MOSAPRIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,101.95,10.20,Dec-2025
1521049802@224831@101243320@3311@101006@200368,MAIN,MOSIBA KID 2.5 MG TABLET 10,BENNET PHARMACEUTICALS LIMITED,MOSAPRIDE TABLET 2.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,36.09,3.61,Dec-2025
1521050293@64944@101153297@2107@101006@200368,MAIN,MOZA 10 MG TABLET 10,INTAS PHARMACEUTICALS LTD,MOSAPRIDE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,101.95,10.20,Dec-2025
1521050296@64946@101153297@3854@101006@200368,MAIN,MOZA 5 MG TABLET 10,INTAS PHARMACEUTICALS LTD,MOSAPRIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,101.95,10.20,Dec-2025
1521050296@64946@101153297@3854@101006@200368,OTHER,MOSAWIN,EAST WEST PHARMA,MOSAPRIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,41.48,4.15,Dec-2025
1521050296@64946@101153297@3854@101006@200368,OTHER,MOPID,TAS MED (INDIA) PRIVATE LTD.,MOSAPRIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,66.55,6.66,Dec-2025
