HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003646@124994@101107961@3215@101006@201973,MAIN,ARTHOPAN 250 MG TABLET 10,CRESCENT FORMULATIONS PVT. LTD.,NAPROXEN TABLET 250 MG,10 TABLET,TABLET,Non-Scheduled,-1,79.69,7.97,Dec-2025
1521003646@124994@101107961@3215@101006@201973,OTHER,NAPROWEL,LEEFORD HEALTHCARE,NAPROXEN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,12.00,1.20,Dec-2025
1521003646@124994@101107961@3215@101006@201973,OTHER,NAPRIPLA,CIPLA LTD.,NAPROXEN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,48.43,4.84,Dec-2025
1521003646@124994@101107961@3215@101006@201973,OTHER,NAPROSTRONG,MANKIND PHARMACEUTICALS LTD.,NAPROXEN TABLET 250 MG,15,TABLET,Non-Scheduled,-1,97.96,6.53,Dec-2025
1521003646@124994@101107961@3215@101006@201973,OTHER,PROXIDOM,ARINNA LIFESCIENCES PVT. LTD,NAPROXEN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,68.46,6.85,Dec-2025
1521003646@124994@101107961@3215@101006@201973,OTHER,NAPROSYN,RPG LIFE SCIENCES LTD.,NAPROXEN TABLET 250 MG,15,TABLET,Non-Scheduled,-1,108.46,7.23,Dec-2025
1521003646@124994@101107961@3215@101006@201973,OTHER,NAPROPASS,SMART LABORATORIES PVT LTD,NAPROXEN TABLET 250 MG,15,TABLET,Non-Scheduled,-1,112.00,7.47,Dec-2025
1521003647@124995@101107961@3755@101006@201973,MAIN,ARTHOPAN 500 MG TABLET 10,CRESCENT FORMULATIONS PVT. LTD.,NAPROXEN TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521003647@124995@101107961@3755@101006@201973,OTHER,NAPROXEN,WOCKHARDT LTD,NAPROXEN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,1.10,0.11,Dec-2025
1521003647@124995@101107961@3755@101006@201973,OTHER,PROXIDOM,ARINNA LIFESCIENCES PVT. LTD,NAPROXEN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,88.79,8.88,Dec-2025
1521003647@124995@101107961@3755@101006@201973,OTHER,NAPROSTRONG,MANKIND PHARMACEUTICALS LTD.,NAPROXEN TABLET 500 MG,15,TABLET,Non-Scheduled,-1,139.20,9.28,Dec-2025
1521003647@124995@101107961@3755@101006@201973,OTHER,NAPROSYN,RPG LIFE SCIENCES LTD.,NAPROXEN TABLET 500 MG,15,TABLET,Non-Scheduled,-1,147.77,9.85,Dec-2025
1521003647@124995@101107961@3755@101006@201973,OTHER,NAPROPASS,SMART LABORATORIES PVT LTD,NAPROXEN TABLET 500 MG,15,TABLET,Non-Scheduled,-1,168.75,11.25,Dec-2025
1521003647@124995@101107961@3755@101006@201973,OTHER,NAPROWEL,LEEFORD HEALTHCARE,NAPROXEN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,120.00,12.00,Dec-2025
1521003647@124995@101107961@3755@101006@201973,OTHER,NAPRIPLA,CIPLA LTD.,NAPROXEN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,216.56,21.66,Dec-2025
1521155682@9999994448@101107961@3215@101006@201973,MAIN,ARTHOPAN EC 250 MG TABLET 10,CRESCENT FORMULATIONS PVT. LTD.,NAPROXEN TABLET 250 MG,10 TABLET,TABLET,Non-Scheduled,-1,79.69,7.97,Dec-2025
1521155682@9999994448@101107961@3215@101006@201973,OTHER,NAPROWEL,LEEFORD HEALTHCARE,NAPROXEN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,12.00,1.20,Dec-2025
1521155682@9999994448@101107961@3215@101006@201973,OTHER,NAPRIPLA,CIPLA LTD.,NAPROXEN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,48.43,4.84,Dec-2025
1521155682@9999994448@101107961@3215@101006@201973,OTHER,NAPROSTRONG,MANKIND PHARMACEUTICALS LTD.,NAPROXEN TABLET 250 MG,15,TABLET,Non-Scheduled,-1,97.96,6.53,Dec-2025
