HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521013579@237915@101118033@2107@101006@202260,MAIN,CNPINEX 10 MG TABLET 10,CNX HEALTHCARE PVT LTD,OLANZAPINE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,67.49,6.75,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,SCHIZOL (GENTECH),GENTECH HEALTCARE LTD,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,24.00,2.40,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,OLPINE,TAS MED (INDIA) PRIVATE LTD.,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,45.04,4.50,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,OLPIN,EAST WEST PHARMA,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,46.70,4.67,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,OLEXAR,CIPLA LTD.,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,47.00,4.70,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,OLIZA,INTAS PHARMACEUTICALS LTD,OLANZAPINE TABLET 10 MG,30,TABLET,Non-Scheduled,-1,153.80,5.13,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,OTZUP,MSN LABORATORIES LTD,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,57.20,5.72,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,SUPRAL,A.N.PHARMACIA,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,57.59,5.76,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,LANOPIN,MOLEKULE (IND)PVT LTD,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521013579@237915@101118033@2107@101006@202260,OTHER,OLIXIN,SIGNOVA PHARMA (P) LTD,OLANZAPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
