HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521158780@339035@101244856@3378@101006@200899,MAIN,COVERHEAL 2 MG TABLET 10,HEALING PHARMA INDIA PVT.LTD,PERINDOPRIL TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,27.00,2.70,Dec-2025
1521158780@339035@101244856@3378@101006@200899,OTHER,PERIACE,EAST WEST PHARMA,PERINDOPRIL TABLET 2 MG,10,TABLET,Non-Scheduled,-1,78.65,7.87,Dec-2025
1521158780@339035@101244856@3378@101006@200899,OTHER,COVERSYL,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,PERINDOPRIL TABLET 2 MG,10,TABLET,Non-Scheduled,-1,173.63,17.36,Dec-2025
1521061654@67356@101120015@3378@101006@200899,MAIN,COVERSYL 2 MG TABLET 10,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,PERINDOPRIL TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,173.63,17.36,Dec-2025
1521061654@67356@101120015@3378@101006@200899,OTHER,COVERHEAL,HEALING PHARMA INDIA PVT.LTD,PERINDOPRIL TABLET 2 MG,10,TABLET,Non-Scheduled,-1,27.00,2.70,Dec-2025
1521061654@67356@101120015@3378@101006@200899,OTHER,PERIACE,EAST WEST PHARMA,PERINDOPRIL TABLET 2 MG,10,TABLET,Non-Scheduled,-1,78.65,7.87,Dec-2025
1521061701@67357@101120015@3708@101006@200899,MAIN,COVERSYL 4 MG TABLET 10,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,PERINDOPRIL TABLET 4 MG,10 TABLET,TABLET,Non-Scheduled,-1,203.83,20.38,Dec-2025
1521061701@67357@101120015@3708@101006@200899,OTHER,PERIACE,EAST WEST PHARMA,PERINDOPRIL TABLET 4 MG,10,TABLET,Non-Scheduled,-1,102.20,10.22,Dec-2025
1521061725@67358@101120015@3973@101006@200899,MAIN,COVERSYL 8 MG TABLET 10,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,PERINDOPRIL TABLET 8 MG,10 TABLET,TABLET,Non-Scheduled,-1,256.68,25.67,Dec-2025
1521100591@290988@101194193@3378@101006@200899,MAIN,PERIACE 2 MG TABLET 10,EAST WEST PHARMA,PERINDOPRIL TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,78.65,7.87,Dec-2025
1521100591@290988@101194193@3378@101006@200899,OTHER,COVERHEAL,HEALING PHARMA INDIA PVT.LTD,PERINDOPRIL TABLET 2 MG,10,TABLET,Non-Scheduled,-1,27.00,2.70,Dec-2025
1521100591@290988@101194193@3378@101006@200899,OTHER,COVERSYL,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,PERINDOPRIL TABLET 2 MG,10,TABLET,Non-Scheduled,-1,173.63,17.36,Dec-2025
1521158258@290989@101194193@3708@101006@200899,MAIN,PERIACE 4 MG TABLET 10,EAST WEST PHARMA,PERINDOPRIL TABLET 4 MG,10 TABLET,TABLET,Non-Scheduled,-1,102.20,10.22,Dec-2025
1521158258@290989@101194193@3708@101006@200899,OTHER,COVERSYL,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,PERINDOPRIL TABLET 4 MG,10,TABLET,Non-Scheduled,-1,203.83,20.38,Dec-2025
