HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521006340@195272@101110276@1553@101108@202449,MAIN,ALSCAB 1 % SOAP 75 GM,ALKEM LABORATORIES LTD.,PERMETHRIN SOAP 1 %,75 GM SOAP,SOAP,Non-Scheduled,-1,92.54,1.23,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,NT-SCAB,INTAS PHARMACEUTICALS LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,65.50,0.87,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,MITORID 8,REMEMBER INDIA MEDICOS,PERMETHRIN SOAP 1 %,125,SOAP,Non-Scheduled,-1,113.00,0.90,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,SCABENIL,PSYCHOTROPICS INDIA LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,70.00,0.93,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,MITORID 8,REMEMBER INDIA MEDICOS,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,72.96,0.97,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,CUREMITE,KIVI LABS LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,75.35,1.00,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,SCABIGO,PSYCHOTROPICS INDIA LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,77.00,1.03,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,SCABPER,MENARINI INDIA,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,82.75,1.10,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,SCABEST,PSYCHOTROPICS INDIA LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,91.18,1.22,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,P SCAB,MARK INDIA,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,93.00,1.24,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,SCABEPIL,PSYCHOTROPICS INDIA LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,94.75,1.26,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,HEAD LICE,PSYCHOTROPICS INDIA LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,97.72,1.30,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,PERMOM,OMNI LIFE SCIENCES PVT LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,101.44,1.35,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,LICERID,AJANTA PHARMA LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,108.11,1.44,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,TICK & FLEA,PSYCHOTROPICS INDIA LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,113.07,1.51,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,PERITOP,MONICHEM HEALTHCARE PVT LTD,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,115.68,1.54,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,PERMED,MED MANOR ORGANICS PVT LTD.,PERMETHRIN SOAP 1 %,75,SOAP,Non-Scheduled,-1,124.58,1.66,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,ZEROSCAB,PALSONS DERMA PVT. LTD,PERMETHRIN SOAP 1 %,100,SOAP,Non-Scheduled,-1,169.07,1.69,Dec-2025
1521006340@195272@101110276@1553@101108@202449,OTHER,SCABITE,ORGANIC LABORATORIES,PERMETHRIN SOAP 1 %,1,SOAP,Non-Scheduled,-1,73.50,73.50,Dec-2025
1521012147@208642@101245820@3719@101019@202449,MAIN,BIOMETHRIN 5 % LOTION 40 ML,ZYDUS HEALTHCARE LTD.,PERMETHRIN LOTION 5 %,40 ML LOTION,LOTION,Scheduled,1.02,41.58,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABIGO (TORQUE),TORQUE PHARMACEUTICALS PVT LTD,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,18.21,0.18,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABWAL PLUS,WALLACE PHARMACEUTICALS LTD.,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,30.62,0.61,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABOVATE,LUPIN LTD,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,37.00,0.74,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,ZEROSCAB,PALSONS DERMA PVT. LTD,PERMETHRIN LOTION 5 %,120,LOTION,Scheduled,1.02,92.50,0.77,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,P SCAB,MARK INDIA,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,56.00,0.93,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABIMIDE P,GROUP PHARMACEUTICALS LTD.,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,46.69,0.93,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,P SCAB,MARK INDIA,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,94.00,0.94,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,P SCAB,MARK INDIA,PERMETHRIN LOTION 5 %,40,LOTION,Scheduled,1.02,38.00,0.95,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCARBIC,LEEFORD HEALTHCARE,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,51.00,1.02,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCRABEL,LEEFORD HEALTHCARE,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,51.00,1.02,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCRABIC,LEEFORD HEALTHCARE,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,51.00,1.02,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,MITE,ATOPIC LABORATORIES,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,103.13,1.03,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABOMA P,GLENMARK PHARMACEUTICALS LTD.,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,51.38,1.03,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,GAMADERM P,VILCO LABORATORIES PVT. LTD,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,62.36,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,NIXIPER,CANIXA LIFE SCIENCES PVT,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,104.00,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,NIXIPER,CANIXA LIFE SCIENCES PVT,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,52.00,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,PERITOP,MONICHEM HEALTHCARE PVT LTD,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,62.30,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABENIL,PSYCHOTROPICS INDIA LTD,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,51.98,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABEST,PSYCHOTROPICS INDIA LTD,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,103.95,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABITE,ORGANIC LABORATORIES,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,103.88,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABPER,MENARINI INDIA,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,62.34,1.04,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,PERITOP,MONICHEM HEALTHCARE PVT LTD,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,105.00,1.05,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,PERMELAN,SMART LABORATORIES PVT LTD,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,52.50,1.05,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABIGARD P,ABBOTT HEALTHCARE PVT. LTD,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,52.50,1.05,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,ESCRAB,LINCOLN PHARMACEUTICALS LTD,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,105.77,1.06,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,CUREMITE,KIVI LABS LTD,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,64.09,1.07,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,NUPERMY,NULIFE PHARMACEUTICALS,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,64.26,1.07,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,PERMED,MED MANOR ORGANICS PVT LTD.,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,64.25,1.07,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,PERMETRON,ALKEM LABORATORIES LTD.,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,53.55,1.07,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,PERMOM,OMNI LIFE SCIENCES PVT LTD,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,64.20,1.07,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,PERNIL,TALENT INDIA,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,106.83,1.07,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABEPIL,PSYCHOTROPICS INDIA LTD,PERMETHRIN LOTION 5 %,50,LOTION,Scheduled,1.02,53.55,1.07,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,SCABIPLUS,PARKER ROBINSON PVT. LTD,PERMETHRIN LOTION 5 %,100,LOTION,Scheduled,1.02,107.81,1.08,Dec-2025
1521012147@208642@101245820@3719@101019@202449,OTHER,ELICE,ZEE LABORATORIES,PERMETHRIN LOTION 5 %,60,LOTION,Scheduled,1.02,67.41,1.12,Dec-2025
