HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521040721@21588@101143955@3378@101006@202262,MAIN,LARAP 2 MG TABLET 10,LA PHARMACEUTICALS,PIMOZIDE TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,76.87,7.69,Dec-2025
1521040721@21588@101143955@3378@101006@202262,OTHER,PIMIDE,D.D PHARMACEUTICALS,PIMOZIDE TABLET 2 MG,10,TABLET,Non-Scheduled,-1,79.98,8.00,Dec-2025
1521040721@21588@101143955@3378@101006@202262,OTHER,MOZEP,INTAS PHARMACEUTICALS LTD,PIMOZIDE TABLET 2 MG,10,TABLET,Non-Scheduled,-1,104.06,10.41,Dec-2025
1521040721@21588@101143955@3378@101006@202262,OTHER,R ZEP,RELIANCE FORMULATION PVT LTD,PIMOZIDE TABLET 2 MG,10,TABLET,Non-Scheduled,-1,107.80,10.78,Dec-2025
1521040722@45807@101143955@3708@101006@202262,MAIN,LARAP 4 MG TABLET 10,LA PHARMACEUTICALS,PIMOZIDE TABLET 4 MG,10 TABLET,TABLET,Non-Scheduled,-1,106.45,10.65,Dec-2025
1521040722@45807@101143955@3708@101006@202262,OTHER,PIMIDE,D.D PHARMACEUTICALS,PIMOZIDE TABLET 4 MG,10,TABLET,Non-Scheduled,-1,115.27,11.53,Dec-2025
1521040722@45807@101143955@3708@101006@202262,OTHER,MOZEP,INTAS PHARMACEUTICALS LTD,PIMOZIDE TABLET 4 MG,10,TABLET,Non-Scheduled,-1,128.91,12.89,Dec-2025
1521040722@45807@101143955@3708@101006@202262,OTHER,R ZEP,RELIANCE FORMULATION PVT LTD,PIMOZIDE TABLET 4 MG,10,TABLET,Non-Scheduled,-1,216.56,21.66,Dec-2025
1521050302@64950@101153306@3378@101006@202262,MAIN,MOZEP 2 MG TABLET 10,INTAS PHARMACEUTICALS LTD,PIMOZIDE TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,104.06,10.41,Dec-2025
1521050302@64950@101153306@3378@101006@202262,OTHER,LARAP,LA PHARMACEUTICALS,PIMOZIDE TABLET 2 MG,10,TABLET,Non-Scheduled,-1,76.87,7.69,Dec-2025
1521050302@64950@101153306@3378@101006@202262,OTHER,PIMIDE,D.D PHARMACEUTICALS,PIMOZIDE TABLET 2 MG,10,TABLET,Non-Scheduled,-1,79.98,8.00,Dec-2025
