HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003514@148283@101109728@2107@101006@200812,MAIN,ARMINOL 10 MG TABLET 10,EAST WEST PHARMA,PROPRANOLOL TABLET 10 MG,10 TABLET,TABLET,Scheduled,1.33,13.39,1.34,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PEELAR,PSYCORMEDIES,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,5.40,0.54,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,BELOC,TRIPADA HEALTHCARE PVT LTD,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,10.03,1.00,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PROPENOL,STERIS HEALTHCARE,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,11.19,1.12,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PRONOL,EAST WEST PHARMA,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.53,1.35,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,MIBETA,TAS MED (INDIA) PRIVATE LTD.,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.70,1.37,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PONOL,SHINE PHARMACEUTICALS LTD,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.73,1.37,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,SIGNOLOL,SIGMUND PROMEDICA,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.80,1.38,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PRONATE (LINUX),LINUX LABORATORIES,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.85,1.39,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,BETACAP,SUN PHARMA LABORATORIES LTD.,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.96,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,CIPLAR,CIPLA LTD.,PROPRANOLOL TABLET 10 MG,15,TABLET,Scheduled,1.33,20.94,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,INDERAL,ABBOTT INDIA LTD.,PROPRANOLOL TABLET 10 MG,15,TABLET,Scheduled,1.33,20.94,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,KIPNOL,KIVI LABS LTD,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.96,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,MIGRABETA,ALKEM LABORATORIES LTD.,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.97,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PILOL,A.N.PHARMACIA,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.96,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PROLOL,CRESCENT FORMULATIONS PVT. LTD.,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.97,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,PROVANOL,INTAS PHARMACEUTICALS LTD,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,13.97,1.40,Dec-2025
1521003514@148283@101109728@2107@101006@200812,OTHER,NURO BETA,ALTEUS BIOGENICS PVT.LTD.,PROPRANOLOL TABLET 10 MG,10,TABLET,Scheduled,1.33,20.94,2.09,Dec-2025
