HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521045123@43610@101148264@1642@101006@201604,MAIN,MACROZIDE 1000 MG TABLET 6,MACLEODS PHARMACEUTICALS PVT.LTD,PYRAZINAMIDE TABLET 1000 MG,6 TABLET,TABLET,Scheduled,10.71,66.27,11.05,Dec-2025
1521045123@43610@101148264@1642@101006@201604,OTHER,MZIDE,MARC LABORATORIES PVT. LTD,PYRAZINAMIDE TABLET 1000 MG,10,TABLET,Scheduled,10.71,98.00,9.80,Dec-2025
1521045123@43610@101148264@1642@101006@201604,OTHER,PYZINA,LUPIN LTD,PYRAZINAMIDE TABLET 1000 MG,10,TABLET,Scheduled,10.71,112.35,11.24,Dec-2025
1521045123@43610@101148264@1642@101006@201604,OTHER,P ZIDE,CADILA PHARMACEUTICALS LTD,PYRAZINAMIDE TABLET 1000 MG,10,TABLET,Scheduled,10.71,112.39,11.24,Dec-2025
1521045125@84290@101148264@2261@101006@201604,MAIN,MACROZIDE 1200 MG TABLET 6,MACLEODS PHARMACEUTICALS PVT.LTD,PYRAZINAMIDE TABLET 1200 MG,6 TABLET,TABLET,Non-Scheduled,-1,121.00,20.17,Dec-2025
1521045126@23066@101148264@2597@101006@201604,MAIN,MACROZIDE 1500 MG TABLET 6,MACLEODS PHARMACEUTICALS PVT.LTD,PYRAZINAMIDE TABLET 1500 MG,6 TABLET,TABLET,Scheduled,12.02,75.69,12.62,Dec-2025
1521045128@43580@101148264@3755@101006@201604,MAIN,MACROZIDE 500 MG TABLET 6,MACLEODS PHARMACEUTICALS PVT.LTD,PYRAZINAMIDE TABLET 500 MG,6 TABLET,TABLET,Scheduled,4.98,29.94,4.99,Dec-2025
1521045128@43580@101148264@3755@101006@201604,OTHER,MONTOZIN,SHREYA LIFE SCIENCES PVT. LTD,PYRAZINAMIDE TABLET 500 MG,10,TABLET,Scheduled,4.98,17.12,1.71,Dec-2025
1521045128@43580@101148264@3755@101006@201604,OTHER,PYRANIJ,SUNIJ PHARMA PVT LTD,PYRAZINAMIDE TABLET 500 MG,10,TABLET,Scheduled,4.98,51.24,5.12,Dec-2025
1521045128@43580@101148264@3755@101006@201604,OTHER,P ZIDE,CADILA PHARMACEUTICALS LTD,PYRAZINAMIDE TABLET 500 MG,10,TABLET,Scheduled,4.98,52.13,5.21,Dec-2025
1521045128@43580@101148264@3755@101006@201604,OTHER,PYZINA,LUPIN LTD,PYRAZINAMIDE TABLET 500 MG,10,TABLET,Scheduled,4.98,52.15,5.22,Dec-2025
1521045129@23069@101148264@3930@101006@201604,MAIN,MACROZIDE 750 MG TABLET 10,MACLEODS PHARMACEUTICALS PVT.LTD,PYRAZINAMIDE TABLET 750 MG,10 TABLET,TABLET,Scheduled,7.34,75.69,7.57,Dec-2025
1521045129@23069@101148264@3930@101006@201604,OTHER,MZIDE,MARC LABORATORIES PVT. LTD,PYRAZINAMIDE TABLET 750 MG,10,TABLET,Scheduled,7.34,64.00,6.40,Dec-2025
1521045129@23069@101148264@3930@101006@201604,OTHER,PYRANIJ,SUNIJ PHARMA PVT LTD,PYRAZINAMIDE TABLET 750 MG,10,TABLET,Scheduled,7.34,67.73,6.77,Dec-2025
1521045129@23069@101148264@3930@101006@201604,OTHER,PZA CIBA,OAKNET HEALTHCARE,PYRAZINAMIDE TABLET 750 MG,10,TABLET,Scheduled,7.34,76.91,7.69,Dec-2025
1521045129@23069@101148264@3930@101006@201604,OTHER,P ZIDE,CADILA PHARMACEUTICALS LTD,PYRAZINAMIDE TABLET 750 MG,10,TABLET,Scheduled,7.34,76.91,7.69,Dec-2025
1521045129@23069@101148264@3930@101006@201604,OTHER,PYZINA,LUPIN LTD,PYRAZINAMIDE TABLET 750 MG,10,TABLET,Scheduled,7.34,77.00,7.70,Dec-2025
1521045129@23069@101148264@3930@101006@201604,OTHER,P MIDE,CONCEPT PHARMACEUTICALS LTD,PYRAZINAMIDE TABLET 750 MG,10,TABLET,Scheduled,7.34,79.00,7.90,Dec-2025
1521101005@24748@101194131@3755@101006@201604,MAIN,MONTOZIN 500 MG TABLET 10,SHREYA LIFE SCIENCES PVT. LTD,PYRAZINAMIDE TABLET 500 MG,10 TABLET,TABLET,Scheduled,4.98,17.12,1.71,Dec-2025
1521101005@24748@101194131@3755@101006@201604,OTHER,MACROZIDE,MACLEODS PHARMACEUTICALS PVT.LTD,PYRAZINAMIDE TABLET 500 MG,6,TABLET,Scheduled,4.98,29.94,4.99,Dec-2025
1521101005@24748@101194131@3755@101006@201604,OTHER,PYRANIJ,SUNIJ PHARMA PVT LTD,PYRAZINAMIDE TABLET 500 MG,10,TABLET,Scheduled,4.98,51.24,5.12,Dec-2025
1521101005@24748@101194131@3755@101006@201604,OTHER,P ZIDE,CADILA PHARMACEUTICALS LTD,PYRAZINAMIDE TABLET 500 MG,10,TABLET,Scheduled,4.98,52.13,5.21,Dec-2025
1521101005@24748@101194131@3755@101006@201604,OTHER,PYZINA,LUPIN LTD,PYRAZINAMIDE TABLET 500 MG,10,TABLET,Scheduled,4.98,52.15,5.22,Dec-2025
1521051245@116289@101226871@1642@101006@201604,MAIN,MZIDE 1000 MG TABLET 10,MARC LABORATORIES PVT. LTD,PYRAZINAMIDE TABLET 1000 MG,10 TABLET,TABLET,Scheduled,10.71,98.00,9.80,Dec-2025
1521051245@116289@101226871@1642@101006@201604,OTHER,MACROZIDE,MACLEODS PHARMACEUTICALS PVT.LTD,PYRAZINAMIDE TABLET 1000 MG,6,TABLET,Scheduled,10.71,66.27,11.05,Dec-2025
1521051245@116289@101226871@1642@101006@201604,OTHER,PYZINA,LUPIN LTD,PYRAZINAMIDE TABLET 1000 MG,10,TABLET,Scheduled,10.71,112.35,11.24,Dec-2025
1521051245@116289@101226871@1642@101006@201604,OTHER,P ZIDE,CADILA PHARMACEUTICALS LTD,PYRAZINAMIDE TABLET 1000 MG,10,TABLET,Scheduled,10.71,112.39,11.24,Dec-2025
1521051254@47414@101226871@3930@101006@201604,MAIN,MZIDE 750 MG TABLET 10,MARC LABORATORIES PVT. LTD,PYRAZINAMIDE TABLET 750 MG,10 TABLET,TABLET,Scheduled,7.34,64.00,6.40,Dec-2025
1521051254@47414@101226871@3930@101006@201604,OTHER,PYRANIJ,SUNIJ PHARMA PVT LTD,PYRAZINAMIDE TABLET 750 MG,10,TABLET,Scheduled,7.34,67.73,6.77,Dec-2025
