HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521070505@262383@101171158@1456@101006@200747,MAIN,RIOCI 0.5 MG TABLET 10,MSN LABORATORIES LTD,RIOCIGUAT TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,268.88,26.89,Dec-2025
1521070505@262383@101171158@1456@101006@200747,OTHER,RIOPAH,LUPIN LTD,RIOCIGUAT TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,180.00,18.00,Dec-2025
1521070505@262383@101171158@1456@101006@200747,OTHER,RIOTEPH,CIPLA LTD.,RIOCIGUAT TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.88,20.09,Dec-2025
1521070508@262385@101171158@2743@101006@200747,MAIN,RIOCI 1.5 MG TABLET 10,MSN LABORATORIES LTD,RIOCIGUAT TABLET 1.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,367.13,36.71,Dec-2025
1521070508@262385@101171158@2743@101006@200747,OTHER,RIOTEPH,CIPLA LTD.,RIOCIGUAT TABLET 1.5 MG,10,TABLET,Non-Scheduled,-1,267.86,26.79,Dec-2025
1521070507@262384@101171158@2864@101006@200747,MAIN,RIOCI 1 MG TABLET 10,MSN LABORATORIES LTD,RIOCIGUAT TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,299.06,29.91,Dec-2025
1521070507@262384@101171158@2864@101006@200747,OTHER,RIOPAH,LUPIN LTD,RIOCIGUAT TABLET 1 MG,10,TABLET,Non-Scheduled,-1,220.00,22.00,Dec-2025
1521070507@262384@101171158@2864@101006@200747,OTHER,RIOTEPH,CIPLA LTD.,RIOCIGUAT TABLET 1 MG,10,TABLET,Non-Scheduled,-1,232.13,23.21,Dec-2025
1521070489@262387@101171158@3311@101006@200747,MAIN,RIOCI 2.5 MG TABLET 10,MSN LABORATORIES LTD,RIOCIGUAT TABLET 2.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,337.50,33.75,Dec-2025
1521070526@263837@101171174@1456@101006@200747,MAIN,RIOPAH 0.5 MG TABLET 10,LUPIN LTD,RIOCIGUAT TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,180.00,18.00,Dec-2025
1521070526@263837@101171174@1456@101006@200747,OTHER,RIOTEPH,CIPLA LTD.,RIOCIGUAT TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,200.88,20.09,Dec-2025
1521070526@263837@101171174@1456@101006@200747,OTHER,RIOCI,MSN LABORATORIES LTD,RIOCIGUAT TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,268.88,26.89,Dec-2025
1521070527@263839@101171174@2864@101006@200747,MAIN,RIOPAH 1 MG TABLET 10,LUPIN LTD,RIOCIGUAT TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,220.00,22.00,Dec-2025
1521070527@263839@101171174@2864@101006@200747,OTHER,RIOTEPH,CIPLA LTD.,RIOCIGUAT TABLET 1 MG,10,TABLET,Non-Scheduled,-1,232.13,23.21,Dec-2025
1521070527@263839@101171174@2864@101006@200747,OTHER,RIOCI,MSN LABORATORIES LTD,RIOCIGUAT TABLET 1 MG,10,TABLET,Non-Scheduled,-1,299.06,29.91,Dec-2025
1521070529@271567@101171178@1456@101006@200747,MAIN,RIOTEPH 0.5 MG TABLET 10,CIPLA LTD.,RIOCIGUAT TABLET 0.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,200.88,20.09,Dec-2025
1521070529@271567@101171178@1456@101006@200747,OTHER,RIOPAH,LUPIN LTD,RIOCIGUAT TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,180.00,18.00,Dec-2025
1521070529@271567@101171178@1456@101006@200747,OTHER,RIOCI,MSN LABORATORIES LTD,RIOCIGUAT TABLET 0.5 MG,10,TABLET,Non-Scheduled,-1,268.88,26.89,Dec-2025
1521086926@271568@101171178@2743@101006@200747,MAIN,RIOTEPH 1.5 MG TABLET 10,CIPLA LTD.,RIOCIGUAT TABLET 1.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,267.86,26.79,Dec-2025
1521086926@271568@101171178@2743@101006@200747,OTHER,RIOCI,MSN LABORATORIES LTD,RIOCIGUAT TABLET 1.5 MG,10,TABLET,Non-Scheduled,-1,367.13,36.71,Dec-2025
1521070511@271566@101171178@2864@101006@200747,MAIN,RIOTEPH 1 MG TABLET 10,CIPLA LTD.,RIOCIGUAT TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,232.13,23.21,Dec-2025
1521070511@271566@101171178@2864@101006@200747,OTHER,RIOPAH,LUPIN LTD,RIOCIGUAT TABLET 1 MG,10,TABLET,Non-Scheduled,-1,220.00,22.00,Dec-2025
1521070511@271566@101171178@2864@101006@200747,OTHER,RIOCI,MSN LABORATORIES LTD,RIOCIGUAT TABLET 1 MG,10,TABLET,Non-Scheduled,-1,299.06,29.91,Dec-2025
