HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521028731@176139@101132350@2107@101038@202186,MAIN,MIGROF 10 MG CAPSULE 10,UNIMARCK HEALTHCARE LTD,RIZATRIPTAN CAPSULE 10 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,114.47,11.45,Dec-2025
1521028779@176140@101132350@3854@101006@202186,MAIN,MIGROF 5 MG TABLET 10,UNIMARCK HEALTHCARE LTD,RIZATRIPTAN TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,70.13,7.01,Dec-2025
1521028779@176140@101132350@3854@101006@202186,OTHER,RIZORA ODS,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,37.25,3.73,Dec-2025
1521028779@176140@101132350@3854@101006@202186,OTHER,RIZANET (SUN),SUN PHARMA LABORATORIES LTD.,RIZATRIPTAN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,48.75,4.88,Dec-2025
1521028779@176140@101132350@3854@101006@202186,OTHER,RIZACT,CIPLA LTD.,RIZATRIPTAN TABLET 5 MG,4,TABLET,Non-Scheduled,-1,84.68,21.17,Dec-2025
1521028779@176140@101132350@3854@101006@202186,OTHER,RIZAMELT,ARINNA LIFESCIENCES PVT. LTD,RIZATRIPTAN TABLET 5 MG,1,TABLET,Non-Scheduled,-1,28.57,28.57,Dec-2025
1521028779@176140@101132350@3854@101006@202186,OTHER,RIZAGON,EAST WEST PHARMA,RIZATRIPTAN TABLET 5 MG,4,TABLET,Non-Scheduled,-1,133.70,33.43,Dec-2025
1521028779@176140@101132350@3854@101006@202186,OTHER,RIZORA,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 5 MG,4,TABLET,Non-Scheduled,-1,237.19,59.30,Dec-2025
1521066771@246827@101169336@2107@101006@202186,MAIN,RECEPTAN 10 MG TABLET 4,INGA LABORATORIES PVT. LTD.,RIZATRIPTAN TABLET 10 MG,4 TABLET,TABLET,Non-Scheduled,-1,291.55,72.89,Dec-2025
1521066771@246827@101169336@2107@101006@202186,OTHER,RIZORA ODS,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,63.50,6.35,Dec-2025
1521066771@246827@101169336@2107@101006@202186,OTHER,RIZANET (SUN),SUN PHARMA LABORATORIES LTD.,RIZATRIPTAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.94,7.59,Dec-2025
1521066771@246827@101169336@2107@101006@202186,OTHER,RITZA,NATCO PHARMA LTD,RIZATRIPTAN TABLET 10 MG,6,TABLET,Non-Scheduled,-1,169.00,28.17,Dec-2025
1521066771@246827@101169336@2107@101006@202186,OTHER,RIZAMELT,ARINNA LIFESCIENCES PVT. LTD,RIZATRIPTAN TABLET 10 MG,1,TABLET,Non-Scheduled,-1,49.11,49.11,Dec-2025
1521066771@246827@101169336@2107@101006@202186,OTHER,RIZORA,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 10 MG,4,TABLET,Non-Scheduled,-1,374.30,93.58,Dec-2025
1521066771@246827@101169336@2107@101006@202186,OTHER,RIZACT,CIPLA LTD.,RIZATRIPTAN TABLET 10 MG,4,TABLET,Non-Scheduled,-1,382.02,95.51,Dec-2025
1521070725@88541@101171391@2107@101006@202186,MAIN,RITZA 10 MG TABLET 6,NATCO PHARMA LTD,RIZATRIPTAN TABLET 10 MG,6 TABLET,TABLET,Non-Scheduled,-1,169.00,28.17,Dec-2025
1521070725@88541@101171391@2107@101006@202186,OTHER,RIZORA ODS,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,63.50,6.35,Dec-2025
1521070725@88541@101171391@2107@101006@202186,OTHER,RIZANET (SUN),SUN PHARMA LABORATORIES LTD.,RIZATRIPTAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.94,7.59,Dec-2025
1521070725@88541@101171391@2107@101006@202186,OTHER,RIZAMELT,ARINNA LIFESCIENCES PVT. LTD,RIZATRIPTAN TABLET 10 MG,1,TABLET,Non-Scheduled,-1,49.11,49.11,Dec-2025
1521070725@88541@101171391@2107@101006@202186,OTHER,RECEPTAN,INGA LABORATORIES PVT. LTD.,RIZATRIPTAN TABLET 10 MG,4,TABLET,Non-Scheduled,-1,291.55,72.89,Dec-2025
1521070725@88541@101171391@2107@101006@202186,OTHER,RIZORA,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 10 MG,4,TABLET,Non-Scheduled,-1,374.30,93.58,Dec-2025
1521070725@88541@101171391@2107@101006@202186,OTHER,RIZACT,CIPLA LTD.,RIZATRIPTAN TABLET 10 MG,4,TABLET,Non-Scheduled,-1,382.02,95.51,Dec-2025
1521076512@295042@101171391@2107@101127@202186,MAIN,RITZA 10 MG TABLET MD 6,NATCO PHARMA LTD,RIZATRIPTAN TABLET MD 10 MG,6 TABLET MD,TABLET MD,Non-Scheduled,-1,330.00,55.00,Dec-2025
1521076512@295042@101171391@2107@101127@202186,OTHER,RIZACT,CIPLA LTD.,RIZATRIPTAN TABLET MD 10 MG,4,TABLET MD,Non-Scheduled,-1,382.01,95.50,Dec-2025
1521070771@75770@101171449@2107@101006@202186,MAIN,RIZACT 10 MG TABLET 4,CIPLA LTD.,RIZATRIPTAN TABLET 10 MG,4 TABLET,TABLET,Non-Scheduled,-1,382.02,95.51,Dec-2025
1521070771@75770@101171449@2107@101006@202186,OTHER,RIZORA ODS,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,63.50,6.35,Dec-2025
1521070771@75770@101171449@2107@101006@202186,OTHER,RIZANET (SUN),SUN PHARMA LABORATORIES LTD.,RIZATRIPTAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.94,7.59,Dec-2025
1521070771@75770@101171449@2107@101006@202186,OTHER,RITZA,NATCO PHARMA LTD,RIZATRIPTAN TABLET 10 MG,6,TABLET,Non-Scheduled,-1,169.00,28.17,Dec-2025
1521070771@75770@101171449@2107@101006@202186,OTHER,RIZAMELT,ARINNA LIFESCIENCES PVT. LTD,RIZATRIPTAN TABLET 10 MG,1,TABLET,Non-Scheduled,-1,49.11,49.11,Dec-2025
1521070771@75770@101171449@2107@101006@202186,OTHER,RECEPTAN,INGA LABORATORIES PVT. LTD.,RIZATRIPTAN TABLET 10 MG,4,TABLET,Non-Scheduled,-1,291.55,72.89,Dec-2025
1521070771@75770@101171449@2107@101006@202186,OTHER,RIZORA,INTAS PHARMACEUTICALS LTD,RIZATRIPTAN TABLET 10 MG,4,TABLET,Non-Scheduled,-1,374.30,93.58,Dec-2025
1521076552@316419@101171449@2107@101127@202186,MAIN,RIZACT 10 MG TABLET MD 4,CIPLA LTD.,RIZATRIPTAN TABLET MD 10 MG,4 TABLET MD,TABLET MD,Non-Scheduled,-1,382.01,95.50,Dec-2025
1521076552@316419@101171449@2107@101127@202186,OTHER,RITZA,NATCO PHARMA LTD,RIZATRIPTAN TABLET MD 10 MG,6,TABLET MD,Non-Scheduled,-1,330.00,55.00,Dec-2025
1521070772@75769@101171449@3854@101006@202186,MAIN,RIZACT 5 MG TABLET 4,CIPLA LTD.,RIZATRIPTAN TABLET 5 MG,4 TABLET,TABLET,Non-Scheduled,-1,256.01,64.00,Dec-2025
