HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521010015@189415@101110873@1642@101068@201582,MAIN,ACINOSTOP 1000 MG INJECTION 1,GLENMARK PHARMACEUTICALS LTD.,SULBACTAM INJECTION 1000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,655.32,655.32,Dec-2025
1521010015@189415@101110873@1642@101068@201582,OTHER,ADDBACTAM,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,269.00,269.00,Dec-2025
1521010015@189415@101110873@1642@101068@201582,OTHER,KIVIZA,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,333.75,333.75,Dec-2025
1521010015@189415@101110873@1642@101068@201582,OTHER,SULBACIP,CIPLA LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,348.21,348.21,Dec-2025
1521010015@189415@101110873@1642@101068@201582,OTHER,SULBAMED,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,375.20,375.20,Dec-2025
1521001213@255446@101101370@1642@101068@201582,MAIN,ADDBACTAM 1000 MG INJECTION 1,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 1000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,269.00,269.00,Dec-2025
1521001213@255446@101101370@1642@101068@201582,OTHER,KIVIZA,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,333.75,333.75,Dec-2025
1521001213@255446@101101370@1642@101068@201582,OTHER,SULBACIP,CIPLA LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,348.21,348.21,Dec-2025
1521001213@255446@101101370@1642@101068@201582,OTHER,SULBAMED,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,375.20,375.20,Dec-2025
1521001213@255446@101101370@1642@101068@201582,OTHER,ACINOSTOP,GLENMARK PHARMACEUTICALS LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,655.32,655.32,Dec-2025
1521002220@255476@101101370@2901@101068@201582,MAIN,ADDBACTAM 2000 MG INJECTION 1,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 2000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,475.25,475.25,Dec-2025
1521002220@255476@101101370@2901@101068@201582,OTHER,KIVIZA,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 2000 MG,1,INJECTION,Non-Scheduled,-1,623.44,623.44,Dec-2025
1521002220@255476@101101370@2901@101068@201582,OTHER,SULBAMED,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 2000 MG,1,INJECTION,Non-Scheduled,-1,652.50,652.50,Dec-2025
1521039491@184252@101226716@1642@101068@201582,MAIN,KIVIZA 1000 MG INJECTION 1,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 1000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,333.75,333.75,Dec-2025
1521039491@184252@101226716@1642@101068@201582,OTHER,ADDBACTAM,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,269.00,269.00,Dec-2025
1521039491@184252@101226716@1642@101068@201582,OTHER,SULBACIP,CIPLA LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,348.21,348.21,Dec-2025
1521039491@184252@101226716@1642@101068@201582,OTHER,SULBAMED,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,375.20,375.20,Dec-2025
1521039491@184252@101226716@1642@101068@201582,OTHER,ACINOSTOP,GLENMARK PHARMACEUTICALS LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,655.32,655.32,Dec-2025
1521039496@232845@101226716@2901@101068@201582,MAIN,KIVIZA 2000 MG INJECTION 1,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 2000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,623.44,623.44,Dec-2025
1521039496@232845@101226716@2901@101068@201582,OTHER,ADDBACTAM,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 2000 MG,1,INJECTION,Non-Scheduled,-1,475.25,475.25,Dec-2025
1521039496@232845@101226716@2901@101068@201582,OTHER,SULBAMED,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 2000 MG,1,INJECTION,Non-Scheduled,-1,652.50,652.50,Dec-2025
1521074636@186190@101175178@1642@101068@201582,MAIN,SULBACIP 1000 MG INJECTION 1 ML,CIPLA LTD.,SULBACTAM INJECTION 1000 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,348.21,348.21,Dec-2025
1521074636@186190@101175178@1642@101068@201582,OTHER,ADDBACTAM,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,269.00,269.00,Dec-2025
1521074636@186190@101175178@1642@101068@201582,OTHER,KIVIZA,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,333.75,333.75,Dec-2025
1521074636@186190@101175178@1642@101068@201582,OTHER,SULBAMED,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,375.20,375.20,Dec-2025
1521074636@186190@101175178@1642@101068@201582,OTHER,ACINOSTOP,GLENMARK PHARMACEUTICALS LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,655.32,655.32,Dec-2025
1521102095@247968@101187197@1642@101068@201582,MAIN,SULBAMED 1000 MG INJECTION 1,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 1000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,375.20,375.20,Dec-2025
1521102095@247968@101187197@1642@101068@201582,OTHER,ADDBACTAM,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,269.00,269.00,Dec-2025
1521102095@247968@101187197@1642@101068@201582,OTHER,KIVIZA,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,333.75,333.75,Dec-2025
1521102095@247968@101187197@1642@101068@201582,OTHER,SULBACIP,CIPLA LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,348.21,348.21,Dec-2025
1521102095@247968@101187197@1642@101068@201582,OTHER,ACINOSTOP,GLENMARK PHARMACEUTICALS LTD.,SULBACTAM INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,655.32,655.32,Dec-2025
1521086278@247969@101187197@2901@101068@201582,MAIN,SULBAMED 2000 MG INJECTION 1,UNITED BIOTECH (P) LTD,SULBACTAM INJECTION 2000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,652.50,652.50,Dec-2025
1521086278@247969@101187197@2901@101068@201582,OTHER,ADDBACTAM,FUSION HEALTHCARE PVT LTD,SULBACTAM INJECTION 2000 MG,1,INJECTION,Non-Scheduled,-1,475.25,475.25,Dec-2025
1521086278@247969@101187197@2901@101068@201582,OTHER,KIVIZA,LA RENON HEALTHCARE PVT.LTD,SULBACTAM INJECTION 2000 MG,1,INJECTION,Non-Scheduled,-1,623.44,623.44,Dec-2025
