HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521020784@177067@101126620@3791@101068@201574,MAIN,EGYTIG 50 MG INJECTION 1,UNITED BIOTECH (P) LTD,TIGECYCLINE INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,3288.95,3288.95,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TIGANEX,CIPLA LTD.,TIGECYCLINE INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,1545.84,309.17,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TIGI,NATCO PHARMA LTD,TIGECYCLINE INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,2625.00,525.00,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TIGEZ,LUPIN LTD,TIGECYCLINE INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,3128.55,625.71,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TIGEFIC,GUFIC BIOSCIENCE LTD,TIGECYCLINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,1068.75,1068.75,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TIGEBAX,GLENMARK PHARMACEUTICALS LTD.,TIGECYCLINE INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,5784.38,1156.88,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TIGEBEST,GLAND PHARMA LIMITED,TIGECYCLINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,1187.50,1187.50,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TIGEFIC PLUS,GUFIC BIOSCIENCE LTD,TIGECYCLINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,1234.41,1234.41,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,ZUTIG,ZUVENTUS HEALTHCARE LTD,TIGECYCLINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,1242.70,1242.70,Dec-2025
1521020784@177067@101126620@3791@101068@201574,OTHER,TGKEM,ALKEM LABORATORIES LTD.,TIGECYCLINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,1331.25,1331.25,Dec-2025
