HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521099333@351438@101193477@3049@101006@203144,MAIN,TAPIRISTAT 20 MG TABLET 10,ABBOTT HEALTHCARE PVT. LTD,TOPIROXOSTAT TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,100.00,10.00,Dec-2025
1521099333@351438@101193477@3049@101006@203144,OTHER,TOPIMAC,MACLEODS PHARMACEUTICALS PVT.LTD,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,100.00,10.00,Dec-2025
1521099333@351438@101193477@3049@101006@203144,OTHER,TOXUR,BLISSON MEDIPLUS PVT.LTD,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521099333@351438@101193477@3049@101006@203144,OTHER,XORI,INTEGRACE HEALTH,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521099333@351438@101193477@3049@101006@203144,OTHER,TOPIROXO,ALKEM LABORATORIES LTD.,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,113.40,11.34,Dec-2025
1521094534@342843@101190444@3049@101006@203144,MAIN,TOPIMAC 20 MG TABLET 10,MACLEODS PHARMACEUTICALS PVT.LTD,TOPIROXOSTAT TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,100.00,10.00,Dec-2025
1521094534@342843@101190444@3049@101006@203144,OTHER,TAPIRISTAT,ABBOTT HEALTHCARE PVT. LTD,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,100.00,10.00,Dec-2025
1521094534@342843@101190444@3049@101006@203144,OTHER,TOXUR,BLISSON MEDIPLUS PVT.LTD,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521094534@342843@101190444@3049@101006@203144,OTHER,XORI,INTEGRACE HEALTH,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521094534@342843@101190444@3049@101006@203144,OTHER,TOPIROXO,ALKEM LABORATORIES LTD.,TOPIROXOSTAT TABLET 20 MG,10,TABLET,Non-Scheduled,-1,113.40,11.34,Dec-2025
