HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521010953@94730@101111453@1406@101108@201228,MAIN,ACNELAK OL SCRUB 0.5 % SOAP 75 GM,MENARINI INDIA,TRICLOSAN SOAP 0.5 %,75 GM SOAP,SOAP,Non-Scheduled,-1,42.42,0.57,Dec-2025
1521010953@94730@101111453@1406@101108@201228,OTHER,MEDICLIN,MED MANOR ORGANICS PVT LTD.,TRICLOSAN SOAP 0.5 %,75,SOAP,Non-Scheduled,-1,127.25,1.70,Dec-2025
1521010953@94730@101111453@1406@101108@201228,OTHER,KLIN,KLM LABORATORIES PVT.LTD,TRICLOSAN SOAP 0.5 %,75,SOAP,Non-Scheduled,-1,142.37,1.90,Dec-2025
1521144668@237449@101228969@-1@101028@201228,MAIN,BARRIER (PRAISE) CREAM 50 GM,PRAISE PHARMA,TRICLOSAN CREAM ,50 GM CREAM,CREAM,Non-Scheduled,-1,150.00,3.00,Dec-2025
1521144669@237450@101228969@-1@101088@201228,MAIN,BARRIER (PRAISE) OINTMENT 100 GM,PRAISE PHARMA,TRICLOSAN OINTMENT ,100 GM OINTMENT,OINTMENT,Non-Scheduled,-1,100.00,1.00,Dec-2025
1521013261@296054@101117189@1231@101108@201228,MAIN,CLINSKIN 0.25 % SOAP 75 GM,SMART LABORATORIES PVT LTD,TRICLOSAN SOAP 0.25 %,75 GM SOAP,SOAP,Non-Scheduled,-1,75.00,1.00,Dec-2025
1521098405@294443@101117377@-1@101108@201228,MAIN,CLINSOFT NEEM SOAP 75 GM,INVISION MEDI SCIENCES,TRICLOSAN SOAP ,75 GM SOAP,SOAP,Non-Scheduled,-1,92.00,1.23,Dec-2025
1521098405@294443@101117377@-1@101108@201228,OTHER,D ZIT,GRACE DERMA HEALTHCARE PVT.LTD,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,107.00,1.43,Dec-2025
1521098405@294443@101117377@-1@101108@201228,OTHER,DEOSAN,LINUX LABORATORIES,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,117.46,1.57,Dec-2025
1521098405@294443@101117377@-1@101108@201228,OTHER,SANOLIZ,REGALIZ MEDICARE LTD,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,123.69,1.65,Dec-2025
1521098405@294443@101117377@-1@101108@201228,OTHER,ROSACEA,KIVI LABS LTD,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,134.09,1.79,Dec-2025
1521134640@151339@101224754@-1@101108@201228,MAIN,DEOSAN SOAP 75 GM,LINUX LABORATORIES,TRICLOSAN SOAP ,75 GM SOAP,SOAP,Non-Scheduled,-1,117.46,1.57,Dec-2025
1521134640@151339@101224754@-1@101108@201228,OTHER,CLINSOFT,INVISION MEDI SCIENCES,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,92.00,1.23,Dec-2025
1521134640@151339@101224754@-1@101108@201228,OTHER,D ZIT,GRACE DERMA HEALTHCARE PVT.LTD,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,107.00,1.43,Dec-2025
1521134640@151339@101224754@-1@101108@201228,OTHER,SANOLIZ,REGALIZ MEDICARE LTD,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,123.69,1.65,Dec-2025
1521134640@151339@101224754@-1@101108@201228,OTHER,ROSACEA,KIVI LABS LTD,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,134.09,1.79,Dec-2025
1521137898@220627@101231407@-1@101108@201228,MAIN,D ZIT SOAP 75 GM,GRACE DERMA HEALTHCARE PVT.LTD,TRICLOSAN SOAP ,75 GM SOAP,SOAP,Non-Scheduled,-1,107.00,1.43,Dec-2025
1521137898@220627@101231407@-1@101108@201228,OTHER,CLINSOFT,INVISION MEDI SCIENCES,TRICLOSAN SOAP ,75,SOAP,Non-Scheduled,-1,92.00,1.23,Dec-2025
