HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521100208@351960@101240865@1207@101004@201854,MAIN,AGOTRIG 0.1 MG PREFILLED SYRINGE 1,BHARAT SERUMS & VACCINES LTD,TRIPTORELIN PREFILLED SYRINGE 0.1 MG,1 PREFILLED SYRINGE,PREFILLED SYRINGE,Non-Scheduled,-1,452.62,452.62,Dec-2025
1521014829@84767@101121934@1207@101068@201854,MAIN,DECAPEPTYL 0.1 MG INJECTION 1 ML,FERRING PHARMACEUTICALS,TRIPTORELIN INJECTION 0.1 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,373.59,373.59,Dec-2025
1521014829@84767@101121934@1207@101068@201854,OTHER,TRIPTORIN,GUFIC BIOSCIENCE LTD,TRIPTORELIN INJECTION 0.1 MG,1,INJECTION,Non-Scheduled,-1,374.06,374.06,Dec-2025
1521014830@96999@101121934@3577@101068@201854,MAIN,DECAPEPTYL DEPOT 3.75 MG INJECTION 3.75 ML,FERRING PHARMACEUTICALS,TRIPTORELIN INJECTION 3.75 MG,3.75 ML INJECTION,INJECTION,Non-Scheduled,-1,6231.17,1557.79,Dec-2025
1521014830@96999@101121934@3577@101068@201854,OTHER,PAMORELIN LA,DR. REDDYS LABORATORIES LTD,TRIPTORELIN INJECTION 3.75 MG,1,INJECTION,Non-Scheduled,-1,7036.87,7036.87,Dec-2025
1521059553@190359@101162514@2226@101068@201854,MAIN,PAMORELIN LA 11.25 MG INJECTION 1,DR. REDDYS LABORATORIES LTD,TRIPTORELIN INJECTION 11.25 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,16759.21,16759.21,Dec-2025
1521059555@233140@101162514@3098@101068@201854,MAIN,PAMORELIN LA 22.5 MG INJECTION 1,DR. REDDYS LABORATORIES LTD,TRIPTORELIN INJECTION 22.5 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,34133.43,34133.43,Dec-2025
1521027392@190358@101162514@3577@101068@201854,MAIN,PAMORELIN LA 3.75 MG INJECTION 1,DR. REDDYS LABORATORIES LTD,TRIPTORELIN INJECTION 3.75 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,7036.87,7036.87,Dec-2025
1521027392@190358@101162514@3577@101068@201854,OTHER,DECAPEPTYL,FERRING PHARMACEUTICALS,TRIPTORELIN INJECTION 3.75 MG,3,INJECTION,Non-Scheduled,-1,6231.17,1557.79,Dec-2025
1521137692@352746@101239624@1207@101068@201854,MAIN,TRIPTORIN PFS 0.1 MG INJECTION 1 ML,GUFIC BIOSCIENCE LTD,TRIPTORELIN INJECTION 0.1 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,374.06,374.06,Dec-2025
1521137692@352746@101239624@1207@101068@201854,OTHER,DECAPEPTYL,FERRING PHARMACEUTICALS,TRIPTORELIN INJECTION 0.1 MG,1,INJECTION,Non-Scheduled,-1,373.59,373.59,Dec-2025
1521155081@9999994734@101247325@-1@101004@201854,MAIN,ZYTRIGG PREFILLED SYRINGE 1,ZYDUS HEALTHCARE LTD.,TRIPTORELIN PREFILLED SYRINGE ,1 PREFILLED SYRINGE,PREFILLED SYRINGE,Non-Scheduled,-1,440.63,440.63,Dec-2025
