PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ACEFILE PLUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,40.52/10 TABLET
,2,ACENUS CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,88.80/10 TABLET
,3,ACERON-TC 100/325 MG/75000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,171.61/10 TABLET
,4,ACETRYP PLUS 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,153.75/10 TABLET
,5,ALDIGESIC TC 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,107.81/10 TABLET
,6,ARTHETRIP PLUS 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,82.50/10 TABLET
,7,AXCES CT 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,152.53/10 TABLET
,8,CHYMAZE 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,140.63/10 TABLET
,9,CHYMOCAD 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,127.31/10 TABLET
,10,CHYMOCAD FORTE 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,164.30/10 TABLET
,11,CHYMOCAD TABLET 15,Non-Scheduled,Not Applicable,TABLET,209.06/15 TABLET
,12,CHYMOCREST AP TABLET 10,Non-Scheduled,Not Applicable,TABLET,130.00/10 TABLET
,13,CHYMOFLAM AP 100 MG/325/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,153.66/10 TABLET
,14,CHYMOFLEX 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,148.13/10 TABLET
,15,CHYMONAC 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,199.92/10 TABLET
,16,CHYMONEED AP TABLET 10,Non-Scheduled,Not Applicable,TABLET,98.44/10 TABLET
,17,CHYMONET AP 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,103.13/10 TABLET
,18,CHYMOPHI AP 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,99.00/10 TABLET
,19,CHYMORAL AP 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,179.25/10 TABLET
,20,CHYMOTROY AP 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,164.11/10 TABLET
,21,DIG TC TABLET 10,Non-Scheduled,Not Applicable,TABLET,65.53/10 TABLET
,22,DUOACT TRIO TABLET 10,Non-Scheduled,Not Applicable,TABLET,186.00/10 TABLET
,23,INIR 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,130.00/10 TABLET
,24,OPTIGESIC CT 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,140.63/10 TABLET
,25,SAMONEC CN TABLET 10,Non-Scheduled,Not Applicable,TABLET,135.75/10 TABLET
,26,SERADIC TC TABLET 10,Non-Scheduled,Not Applicable,TABLET,205.21/10 TABLET
,27,SISTAL AP 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,135.94/10 TABLET
,28,STEVOROL AP 100/325 MG/50000 IU TABLET 10,Non-Scheduled,Not Applicable,TABLET,163.69/10 TABLET
,29,VIACHYMSIN AP 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,240.00/10 TABLET
,30,VIVIAN CH 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,159.84/10 TABLET
,31,ZERODOL TC 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,175.83/10 TABLET
,32,ZIXFLAM 50000 AU/100/90 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,139.90/10 TABLET
,33,ZIXFLAM FORTE TABLET 10,Non-Scheduled,Not Applicable,TABLET,149.06/10 TABLET
,34,ZIXFLAM NEW 100/325 MG/50000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,127.27/10 TABLET
,35,ZYMOR AP 100/325 MG/150000 AU TABLET 10,Non-Scheduled,Not Applicable,TABLET,228.16/10 TABLET
