HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521011304@220738@101118862@3879@101006@202426,MAIN,ACNATE 60 MG TABLET 10,SYNOVIA LIFE SCIENCES,ARTESUNATE TABLET 60 MG,10 TABLET,TABLET,Non-Scheduled,-1,185.00,18.50,Dec-2025
1521010504@232096@101107748@2270@101068@202426,MAIN,ARH 120 MG INJECTION 2 ML,LINCOLN PHARMACEUTICALS LTD,ARTESUNATE INJECTION 120 MG,2 ML INJECTION,INJECTION,Scheduled,462.35,485.45,242.73,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,LARINATE,IPCA LABORATORIES PVT LTD.,ARTESUNATE INJECTION 120 MG,15,INJECTION,Scheduled,462.35,485.46,32.36,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,COMBITHER AT,ARISTO PHARMACEUTICALS PVT.LTD,ARTESUNATE INJECTION 120 MG,10,INJECTION,Scheduled,462.35,477.15,47.72,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,FALCIGO,ZYDUS HEALTHCARE LTD.,ARTESUNATE INJECTION 120 MG,10,INJECTION,Scheduled,462.35,477.15,47.72,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,TESUNATE,MCW HEALTHCARE,ARTESUNATE INJECTION 120 MG,2,INJECTION,Scheduled,462.35,222.00,111.00,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,TROYSUNATE,TROIKAA PHARMACEUTICALS LTD,ARTESUNATE INJECTION 120 MG,1,INJECTION,Scheduled,462.35,125.00,125.00,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,ARTINASE,BHARAT SERUMS & VACCINES LTD,ARTESUNATE INJECTION 120 MG,2,INJECTION,Scheduled,462.35,427.59,213.80,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,FALCINIL FORTE,ZUVENTUS HEALTHCARE LTD,ARTESUNATE INJECTION 120 MG,2,INJECTION,Scheduled,462.35,485.45,242.73,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,FALCYNATE,SKYMAX LABORATORIES LTD.,ARTESUNATE INJECTION 120 MG,1,INJECTION,Scheduled,462.35,410.00,410.00,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,LARICIDE,FUSION HEALTHCARE PVT LTD,ARTESUNATE INJECTION 120 MG,1,INJECTION,Scheduled,462.35,425.00,425.00,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,LUMIGO,BROCHEM HEALTHCARE P. LTD,ARTESUNATE INJECTION 120 MG,1,INJECTION,Scheduled,462.35,475.00,475.00,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,RTSUNATE,THEMIS MEDICARE LTD.,ARTESUNATE INJECTION 120 MG,1,INJECTION,Scheduled,462.35,485.43,485.43,Dec-2025
1521010504@232096@101107748@2270@101068@202426,OTHER,AZUNATE,MACLEODS PHARMACEUTICALS PVT.LTD,ARTESUNATE INJECTION 120 MG,1,INJECTION,Scheduled,462.35,485.44,485.44,Dec-2025
1521003414@3105@101107748@2642@101068@202426,MAIN,ARH 150 MG INJECTION 2 ML,LINCOLN PHARMACEUTICALS LTD,ARTESUNATE INJECTION 150 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,174.30,87.15,Dec-2025
1521003414@3105@101107748@2642@101068@202426,OTHER,OLTIMATE,OLCARE LTD,ARTESUNATE INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,85.00,42.50,Dec-2025
1521003414@3105@101107748@2642@101068@202426,OTHER,FAMAL,NAVIL LABORATORIES,ARTESUNATE INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,100.00,50.00,Dec-2025
1521092205@100787@101107748@3937@101068@202426,MAIN,ARH JUNIOR 75 MG INJECTION 1 ML,LINCOLN PHARMACEUTICALS LTD,ARTESUNATE INJECTION 75 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,105.40,105.40,Dec-2025
1521003420@100788@101107753@3879@101068@202426,MAIN,ARH PLUS 60 MG INJECTION 1 ML,LINCOLN PHARMACEUTICALS LTD,ARTESUNATE INJECTION 60 MG,1 ML INJECTION,INJECTION,Scheduled,248.99,256.96,256.96,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,ARTIVARIN,ZYDUS HEALTHCARE LTD.,ARTESUNATE INJECTION 60 MG,5,INJECTION,Scheduled,248.99,13.50,2.70,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,AZUNATE,MACLEODS PHARMACEUTICALS PVT.LTD,ARTESUNATE INJECTION 60 MG,10,INJECTION,Scheduled,248.99,261.42,26.14,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,FALCISTAR,PARENTERAL DRUGS (INDIA) LTD.,ARTESUNATE INJECTION 60 MG,5,INJECTION,Scheduled,248.99,165.00,33.00,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,ARTEZEM,EMCURE PHARMACEUTICALS LTD,ARTESUNATE INJECTION 60 MG,1,INJECTION,Scheduled,248.99,43.75,43.75,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,TESUNATE,MCW HEALTHCARE,ARTESUNATE INJECTION 60 MG,5,INJECTION,Scheduled,248.99,242.69,48.54,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,FALCINIL,ZUVENTUS HEALTHCARE LTD,ARTESUNATE INJECTION 60 MG,5,INJECTION,Scheduled,248.99,256.96,51.39,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,RTSUNATE,THEMIS MEDICARE LTD.,ARTESUNATE INJECTION 60 MG,5,INJECTION,Scheduled,248.99,261.42,52.28,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,LARINATE,IPCA LABORATORIES PVT LTD.,ARTESUNATE INJECTION 60 MG,5,INJECTION,Scheduled,248.99,261.44,52.29,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,FALSUN,CHANDRA BHAGAT PHARMA PVT. LTD.,ARTESUNATE INJECTION 60 MG,1,INJECTION,Scheduled,248.99,106.00,106.00,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,FALCYNATE,SKYMAX LABORATORIES LTD.,ARTESUNATE INJECTION 60 MG,2,INJECTION,Scheduled,248.99,240.00,120.00,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,FALARCIN,CADILA PHARMACEUTICALS LTD,ARTESUNATE INJECTION 60 MG,2,INJECTION,Scheduled,248.99,261.43,130.72,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,CHINSUNATE,ALKEM LABORATORIES LTD.,ARTESUNATE INJECTION 60 MG,1,INJECTION,Scheduled,248.99,147.78,147.78,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,HINATE (OLCARE),OLCARE LTD,ARTESUNATE INJECTION 60 MG,1,INJECTION,Scheduled,248.99,170.00,170.00,Dec-2025
1521003420@100788@101107753@3879@101068@202426,OTHER,GLANSUNATE,GLAND PHARMA LIMITED,ARTESUNATE INJECTION 60 MG,1,INJECTION,Scheduled,248.99,189.00,189.00,Dec-2025
