HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521090169@105227@101188963@2107@101006@202392,MAIN,ATOMOXETINE 10 MG TABLET 10,INTAS PHARMACEUTICALS LTD,ATOMOXETINE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,81.25,8.13,Dec-2025
1521090169@105227@101188963@2107@101006@202392,OTHER,ATONEXT,MSN LABORATORIES LTD,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,62.50,6.25,Dec-2025
1521090169@105227@101188963@2107@101006@202392,OTHER,TOMKID,CNX HEALTHCARE PVT LTD,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.94,7.59,Dec-2025
1521090169@105227@101188963@2107@101006@202392,OTHER,ATTERA,ICON LIFESCIENCES,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,98.44,9.84,Dec-2025
1521090169@105227@101188963@2107@101006@202392,OTHER,ATTENTROL,SUN PHARMA LABORATORIES LTD.,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,107.81,10.78,Dec-2025
1521090169@105227@101188963@2107@101006@202392,OTHER,AXEPTA,INTAS PHARMACEUTICALS LTD,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,133.13,13.31,Dec-2025
1521011053@291533@101108194@2107@101006@202392,MAIN,ATONEXT 10 MG TABLET 10,MSN LABORATORIES LTD,ATOMOXETINE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,62.50,6.25,Dec-2025
1521011053@291533@101108194@2107@101006@202392,OTHER,TOMKID,CNX HEALTHCARE PVT LTD,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.94,7.59,Dec-2025
1521011053@291533@101108194@2107@101006@202392,OTHER,ATOMOXETINE,INTAS PHARMACEUTICALS LTD,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,81.25,8.13,Dec-2025
1521011053@291533@101108194@2107@101006@202392,OTHER,ATTERA,ICON LIFESCIENCES,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,98.44,9.84,Dec-2025
1521011053@291533@101108194@2107@101006@202392,OTHER,ATTENTROL,SUN PHARMA LABORATORIES LTD.,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,107.81,10.78,Dec-2025
1521011053@291533@101108194@2107@101006@202392,OTHER,AXEPTA,INTAS PHARMACEUTICALS LTD,ATOMOXETINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,133.13,13.31,Dec-2025
1521003818@291534@101108194@2852@101006@202392,MAIN,ATONEXT 18 MG TABLET 10,MSN LABORATORIES LTD,ATOMOXETINE TABLET 18 MG,10 TABLET,TABLET,Non-Scheduled,-1,107.13,10.71,Dec-2025
1521003818@291534@101108194@2852@101006@202392,OTHER,TOMKID,CNX HEALTHCARE PVT LTD,ATOMOXETINE TABLET 18 MG,10,TABLET,Non-Scheduled,-1,126.56,12.66,Dec-2025
1521003818@291534@101108194@2852@101006@202392,OTHER,HYPERCON,CONSERN PHARMA (P) LTD,ATOMOXETINE TABLET 18 MG,10,TABLET,Non-Scheduled,-1,157.50,15.75,Dec-2025
