HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521004836@318927@101108964@2864@101006@201831,MAIN,AXPERO 1 MG TABLET 14,INTAS PHARMACEUTICALS LTD,AXITINIB TABLET 1 MG,14 TABLET,TABLET,Non-Scheduled,-1,510.47,36.46,Dec-2025
1521004836@318927@101108964@2864@101006@201831,OTHER,AXZYB,GLENMARK PHARMACEUTICALS LTD.,AXITINIB TABLET 1 MG,60,TABLET,Non-Scheduled,-1,1875.00,31.25,Dec-2025
1521004836@318927@101108964@2864@101006@201831,OTHER,INLYTA,PFIZER LTD,AXITINIB TABLET 1 MG,14,TABLET,Non-Scheduled,-1,7452.67,532.33,Dec-2025
1521016974@318928@101108964@3854@101006@201831,MAIN,AXPERO 5 MG TABLET 14,INTAS PHARMACEUTICALS LTD,AXITINIB TABLET 5 MG,14 TABLET,TABLET,Non-Scheduled,-1,2057.34,146.95,Dec-2025
1521016974@318928@101108964@3854@101006@201831,OTHER,TYKINAX,DR. REDDYS LABORATORIES LTD,AXITINIB TABLET 5 MG,14,TABLET,Non-Scheduled,-1,1499.75,107.13,Dec-2025
1521016974@318928@101108964@3854@101006@201831,OTHER,BDAXIT,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,AXITINIB TABLET 5 MG,14,TABLET,Non-Scheduled,-1,1940.63,138.62,Dec-2025
1521016974@318928@101108964@3854@101006@201831,OTHER,AXZYB,GLENMARK PHARMACEUTICALS LTD.,AXITINIB TABLET 5 MG,30,TABLET,Non-Scheduled,-1,4200.00,140.00,Dec-2025
1521016974@318928@101108964@3854@101006@201831,OTHER,INLYTA,PFIZER LTD,AXITINIB TABLET 5 MG,14,TABLET,Non-Scheduled,-1,39125.43,2794.67,Dec-2025
1521096633@319288@101188975@2864@101006@201831,MAIN,AXZYB 1 MG TABLET 60,GLENMARK PHARMACEUTICALS LTD.,AXITINIB TABLET 1 MG,60 TABLET,TABLET,Non-Scheduled,-1,1875.00,31.25,Dec-2025
1521096633@319288@101188975@2864@101006@201831,OTHER,AXPERO,INTAS PHARMACEUTICALS LTD,AXITINIB TABLET 1 MG,14,TABLET,Non-Scheduled,-1,510.47,36.46,Dec-2025
