HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521014194@295028@101112606@2107@101034@200808,MAIN,CARCA 10 MG TABLET CR 15,INTAS PHARMACEUTICALS LTD,CARVEDILOL TABLET CR 10 MG,15 TABLET CR,TABLET CR,Non-Scheduled,-1,196.88,13.13,Dec-2025
1521014194@295028@101112606@2107@101034@200808,OTHER,CARVEDIOL,STERIS HEALTHCARE,CARVEDILOL TABLET CR 10 MG,10,TABLET CR,Non-Scheduled,-1,62.31,6.23,Dec-2025
1521014194@295028@101112606@2107@101034@200808,OTHER,CARVIFLO,AJANTA PHARMA LTD,CARVEDILOL TABLET CR 10 MG,10,TABLET CR,Non-Scheduled,-1,64.00,6.40,Dec-2025
1521014194@295028@101112606@2107@101034@200808,OTHER,CARVISTAR,LUPIN LTD,CARVEDILOL TABLET CR 10 MG,10,TABLET CR,Non-Scheduled,-1,125.65,12.57,Dec-2025
1521012731@295407@101112606@2403@101006@200808,MAIN,CARCA 12.5 MG TABLET 15,INTAS PHARMACEUTICALS LTD,CARVEDILOL TABLET 12.5 MG,15 TABLET,TABLET,Non-Scheduled,-1,197.81,13.19,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARDICHEM,ZYDUS HEALTHCARE LTD.,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,25.00,2.50,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARVIBETA,SHRRISHTI HEALTHCARE,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,43.11,4.31,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CHLORVIX,ELBRIT LIFE SCIENCES PVT.LTD,CARVEDILOL TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,92.81,6.19,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARVENOL,KNOLL HEALTHCARE PVT.LTD,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,64.00,6.40,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARELOL,EAST WEST PHARMA,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,74.77,7.48,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARVEFINE,FINECURE PHARMACEUTICALS,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARVISTAR,LUPIN LTD,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,85.75,8.58,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARLOC,CIPLA LTD.,CARVEDILOL TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,175.12,11.67,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARDIVAS,SUN PHARMA LABORATORIES LTD.,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,137.81,13.78,Dec-2025
1521012731@295407@101112606@2403@101006@200808,OTHER,CARVIL,ZYDUS HEALTHCARE LTD.,CARVEDILOL TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,142.98,14.30,Dec-2025
1521009818@295408@101112606@3049@101034@200808,MAIN,CARCA 20 MG TABLET CR 15,INTAS PHARMACEUTICALS LTD,CARVEDILOL TABLET CR 20 MG,15 TABLET CR,TABLET CR,Non-Scheduled,-1,299.06,19.94,Dec-2025
1521009818@295408@101112606@3049@101034@200808,OTHER,CARVEDIOL,STERIS HEALTHCARE,CARVEDILOL TABLET CR 20 MG,10,TABLET CR,Non-Scheduled,-1,102.68,10.27,Dec-2025
1521009818@295408@101112606@3049@101034@200808,OTHER,CARVISTAR,LUPIN LTD,CARVEDILOL TABLET CR 20 MG,10,TABLET CR,Non-Scheduled,-1,173.25,17.33,Dec-2025
1521017122@64519@101112606@3312@101006@200808,MAIN,CARCA 25 MG TABLET 10,INTAS PHARMACEUTICALS LTD,CARVEDILOL TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,210.00,21.00,Dec-2025
1521017122@64519@101112606@3312@101006@200808,OTHER,CARVENOL,KNOLL HEALTHCARE PVT.LTD,CARVEDILOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,38.13,3.81,Dec-2025
1521017122@64519@101112606@3312@101006@200808,OTHER,CARVIBETA,SHRRISHTI HEALTHCARE,CARVEDILOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,88.44,8.84,Dec-2025
1521017122@64519@101112606@3312@101006@200808,OTHER,CARLOC,CIPLA LTD.,CARVEDILOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,174.30,17.43,Dec-2025
1521017122@64519@101112606@3312@101006@200808,OTHER,CARDIVAS,SUN PHARMA LABORATORIES LTD.,CARVEDILOL TABLET 25 MG,10,TABLET,Non-Scheduled,-1,223.13,22.31,Dec-2025
1521017123@189660@101112606@3480@101006@200808,MAIN,CARCA 3.125 MG TABLET 15,INTAS PHARMACEUTICALS LTD,CARVEDILOL TABLET 3.125 MG,15 TABLET,TABLET,Non-Scheduled,-1,70.55,4.70,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CVL,THEMIS MEDICARE LTD.,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,9.93,0.99,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARDICHEM,ZYDUS HEALTHCARE LTD.,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,10.89,1.09,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVIZEST,EMCURE PHARMACEUTICALS LTD,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,26.85,2.69,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVISTAR,LUPIN LTD,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,27.00,2.70,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVEFINE,FINECURE PHARMACEUTICALS,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,29.06,2.91,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVIPRESS,MICRO LABS LTD,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,29.59,2.96,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVIBETA,SHRRISHTI HEALTHCARE,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,30.22,3.02,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARZEC,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,33.73,3.37,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,KAR B,JB CHEMICALS,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,35.18,3.52,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARELOL,EAST WEST PHARMA,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,36.30,3.63,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVISTAR,LUPIN LTD,CARVEDILOL TABLET 3.125 MG,15,TABLET,Non-Scheduled,-1,55.00,3.67,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVENOL,KNOLL HEALTHCARE PVT.LTD,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,38.00,3.80,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVISMART,HEALING PHARMA INDIA PVT.LTD,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,41.25,4.13,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARLOC,CIPLA LTD.,CARVEDILOL TABLET 3.125 MG,15,TABLET,Non-Scheduled,-1,68.47,4.56,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,EDOCAR,AJANTA PHARMA LTD,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,50.16,5.02,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARDIVAS,SUN PHARMA LABORATORIES LTD.,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,52.00,5.20,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARDIVAS,SUN PHARMA LABORATORIES LTD.,CARVEDILOL TABLET 3.125 MG,15,TABLET,Non-Scheduled,-1,80.16,5.34,Dec-2025
1521017123@189660@101112606@3480@101006@200808,OTHER,CARVIL,ZYDUS HEALTHCARE LTD.,CARVEDILOL TABLET 3.125 MG,10,TABLET,Non-Scheduled,-1,65.04,6.50,Dec-2025
