HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521144387@231874@101228933@3755@101006@201451,MAIN,BACTEX 500 MG TABLET 10,QUALITY PHARMA PVT.LTD,CEFALEXIN TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,549.38,54.94,Dec-2025
1521144387@231874@101228933@3755@101006@201451,OTHER,CEFF,LUPIN LTD,CEFALEXIN TABLET 500 MG,4,TABLET,Non-Scheduled,-1,46.70,11.68,Dec-2025
1521144387@231874@101228933@3755@101006@201451,OTHER,CEPHARIL,RELIANCE FORMULATION PVT LTD,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,142.00,14.20,Dec-2025
1521144387@231874@101228933@3755@101006@201451,OTHER,DROXIPIC,ATOPIC LABORATORIES,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,163.25,16.33,Dec-2025
1521144387@231874@101228933@3755@101006@201451,OTHER,CAREFEX,OLCARE LTD,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,182.81,18.28,Dec-2025
1521144387@231874@101228933@3755@101006@201451,OTHER,NUFEX,RPG LIFE SCIENCES LTD.,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,225.36,22.54,Dec-2025
1521144387@231874@101228933@3755@101006@201451,OTHER,CEFTER,GUJARAT TERCE LABORATORIES LTD,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,384.50,38.45,Dec-2025
1521144387@231874@101228933@3755@101006@201451,OTHER,SEPHEN,REKVINA PHARMACEUTICALS,CEFALEXIN TABLET 500 MG,4,TABLET,Non-Scheduled,-1,155.00,38.75,Dec-2025
1521090962@333432@101189503@2974@101006@201451,MAIN,BLOCEF 200 MG TABLET 10,ECON HEALTHCARE PVT LTD,CEFALEXIN TABLET 200 MG,10 TABLET,TABLET,Non-Scheduled,-1,164.06,16.41,Dec-2025
1521141098@48499@101229665@3215@101006@201451,MAIN,CAREFEX 250 MG TABLET 10,OLCARE LTD,CEFALEXIN TABLET 250 MG,10 TABLET,TABLET,Non-Scheduled,-1,73.97,7.40,Dec-2025
1521141098@48499@101229665@3215@101006@201451,OTHER,CEFEL,FINECURE PHARMACEUTICALS,CEFALEXIN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,58.15,5.82,Dec-2025
1521141098@48499@101229665@3215@101006@201451,OTHER,CEPHARIL,RELIANCE FORMULATION PVT LTD,CEFALEXIN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,84.00,8.40,Dec-2025
1521141098@48499@101229665@3215@101006@201451,OTHER,DROXIPIC,ATOPIC LABORATORIES,CEFALEXIN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,93.00,9.30,Dec-2025
1521141098@48499@101229665@3215@101006@201451,OTHER,NUFEX,RPG LIFE SCIENCES LTD.,CEFALEXIN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,118.43,11.84,Dec-2025
1521141098@48499@101229665@3215@101006@201451,OTHER,SPORIDEX,RANBAXY LABORATORIES LTD,CEFALEXIN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,213.75,21.38,Dec-2025
1521141098@48499@101229665@3215@101006@201451,OTHER,CEFTER,GUJARAT TERCE LABORATORIES LTD,CEFALEXIN TABLET 250 MG,10,TABLET,Non-Scheduled,-1,216.50,21.65,Dec-2025
1521141098@48499@101229665@3215@101006@201451,OTHER,CEFF CF,LUPIN LTD,CEFALEXIN TABLET 250 MG,4,TABLET,Non-Scheduled,-1,110.25,27.56,Dec-2025
1521141099@48500@101229665@3755@101006@201451,MAIN,CAREFEX 500 MG TABLET 10,OLCARE LTD,CEFALEXIN TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,182.81,18.28,Dec-2025
1521141099@48500@101229665@3755@101006@201451,OTHER,CEFF,LUPIN LTD,CEFALEXIN TABLET 500 MG,4,TABLET,Non-Scheduled,-1,46.70,11.68,Dec-2025
1521141099@48500@101229665@3755@101006@201451,OTHER,CEPHARIL,RELIANCE FORMULATION PVT LTD,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,142.00,14.20,Dec-2025
1521141099@48500@101229665@3755@101006@201451,OTHER,DROXIPIC,ATOPIC LABORATORIES,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,163.25,16.33,Dec-2025
1521141099@48500@101229665@3755@101006@201451,OTHER,NUFEX,RPG LIFE SCIENCES LTD.,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,225.36,22.54,Dec-2025
1521141099@48500@101229665@3755@101006@201451,OTHER,CEFTER,GUJARAT TERCE LABORATORIES LTD,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,384.50,38.45,Dec-2025
1521141099@48500@101229665@3755@101006@201451,OTHER,SEPHEN,REKVINA PHARMACEUTICALS,CEFALEXIN TABLET 500 MG,4,TABLET,Non-Scheduled,-1,155.00,38.75,Dec-2025
1521141099@48500@101229665@3755@101006@201451,OTHER,BACTEX,QUALITY PHARMA PVT.LTD,CEFALEXIN TABLET 500 MG,10,TABLET,Non-Scheduled,-1,549.38,54.94,Dec-2025
1521160195@705030@101247456@3215@101038@201451,MAIN,CEFALADEX 250 MG CAPSULE 10,DR. REDDYS LABORATORIES LTD,CEFALEXIN CAPSULE 250 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,130.00,13.00,Dec-2025
1521160195@705030@101247456@3215@101038@201451,OTHER,SPOR,BAL PHARMA,CEFALEXIN CAPSULE 250 MG,20,CAPSULE,Non-Scheduled,-1,120.00,6.00,Dec-2025
1521160195@705030@101247456@3215@101038@201451,OTHER,SPOROLIN,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,CEFALEXIN CAPSULE 250 MG,10,CAPSULE,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521160195@705030@101247456@3215@101038@201451,OTHER,CEPHAXIN,ZYDUS HEALTHCARE LTD.,CEFALEXIN CAPSULE 250 MG,10,CAPSULE,Non-Scheduled,-1,64.55,6.46,Dec-2025
1521160195@705030@101247456@3215@101038@201451,OTHER,CEFTER,GUJARAT TERCE LABORATORIES LTD,CEFALEXIN CAPSULE 250 MG,10,CAPSULE,Non-Scheduled,-1,66.00,6.60,Dec-2025
1521160195@705030@101247456@3215@101038@201451,OTHER,ORIPHEX,ZYDUS HEALTHCARE LTD.,CEFALEXIN CAPSULE 250 MG,10,CAPSULE,Non-Scheduled,-1,66.73,6.67,Dec-2025
1521160195@705030@101247456@3215@101038@201451,OTHER,CEPHALKEM,ALKEM LABORATORIES LTD.,CEFALEXIN CAPSULE 250 MG,10,CAPSULE,Non-Scheduled,-1,77.00,7.70,Dec-2025
