HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521008107@234300@101104828@2107@101006@200862,MAIN,BLOC C 10 MG TABLET 10,FINECURE PHARMACEUTICALS,CILNIDIPINE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,70.31,7.03,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CIPINE,SUNIJ PHARMA PVT LTD,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,23.34,2.33,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILEDGE,CADILA PHARMACEUTICALS LTD,CILNIDIPINE TABLET 10 MG,30,TABLET,Non-Scheduled,-1,75.00,2.50,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,OZOCIL,OZONE PHARMACEUTICALS,CILNIDIPINE TABLET 10 MG,15,TABLET,Non-Scheduled,-1,45.29,3.02,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,C UDP,UNISON PHARMACEUTICALS,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,32.06,3.21,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILNIBLU,BLUE CROSS LABORATORIES LTD,CILNIDIPINE TABLET 10 MG,15,TABLET,Non-Scheduled,-1,53.43,3.56,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILBLOCK,OLCARE LTD,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,45.58,4.56,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILDAY,SYSTOPIC LABORATORIES LTD-MEM,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,47.80,4.78,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CCBEST,KEPLER HEALTH CARE,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,51.56,5.16,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILICAD,CADELL HEALTH CARE PVT.LTD,CILNIDIPINE TABLET 10 MG,15,TABLET,Non-Scheduled,-1,77.81,5.19,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILNICAID,MEDICAID LABS,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,54.28,5.43,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILABS,RANMARC LABS,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,54.54,5.45,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILIX,ALTEUS BIOGENICS PVT.LTD.,CILNIDIPINE TABLET 10 MG,15,TABLET,Non-Scheduled,-1,82.36,5.49,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILNI BP,AARUX PHARMACEUTICALS PVT.LTD,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,56.19,5.62,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILAPRESS,LIVIDUS PHARMA PVT LTD,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,56.25,5.63,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,DIPCIL,SAAN LABS,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,57.15,5.72,Dec-2025
1521008107@234300@101104828@2107@101006@200862,OTHER,CILNITEC,ELLORA PHARMA PVT.LTD,CILNIDIPINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,58.03,5.80,Dec-2025
