HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521009994@207568@101113189@3215@101068@202382,MAIN,CBCOLIN 250 MG INJECTION 2 ML,ANAX LIFE SCIENCES PVT.LTD,CITICOLINE INJECTION 250 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,134.06,67.03,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,CITICOL (ELD),ELDER LABS LTD,CITICOLINE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,6.20,3.10,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,CITILIN,TORRENT PHARMACEUTICALS LTD.,CITICOLINE INJECTION 250 MG,4,INJECTION,Non-Scheduled,-1,195.00,48.75,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,NEUCITI,ICON LIFESCIENCES,CITICOLINE INJECTION 250 MG,4,INJECTION,Non-Scheduled,-1,203.50,50.88,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,MEGACHOLIN RF,ARISTO PHARMACEUTICALS PVT.LTD,CITICOLINE INJECTION 250 MG,4,INJECTION,Non-Scheduled,-1,204.37,51.09,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,COGNOLIN,CIPLA LTD.,CITICOLINE INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,265.58,53.12,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,STROLIN,TORRENT PHARMACEUTICALS LTD.,CITICOLINE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,108.00,54.00,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,CLINAXON,ABBOTT HEALTHCARE PVT. LTD,CITICOLINE INJECTION 250 MG,4,INJECTION,Non-Scheduled,-1,225.70,56.43,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,NEUCHOLINE,SOLVATE LABORATORIES PVT LTD,CITICOLINE INJECTION 250 MG,4,INJECTION,Non-Scheduled,-1,240.82,60.21,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,CITINOVA,IPCA LABORATORIES PVT LTD.,CITICOLINE INJECTION 250 MG,4,INJECTION,Non-Scheduled,-1,249.37,62.34,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,XCITI,SIGMUND PROMEDICA,CITICOLINE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,129.38,64.69,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,CITIALFA,ALNICHE LIFE SCIENCES PVT.LTD,CITICOLINE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,130.00,65.00,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,STROZINA,ARINNA LIFESCIENCES PVT. LTD,CITICOLINE INJECTION 250 MG,4,INJECTION,Non-Scheduled,-1,265.72,66.43,Dec-2025
1521009994@207568@101113189@3215@101068@202382,OTHER,STROZINA,ARINNA LIFESCIENCES PVT. LTD,CITICOLINE INJECTION 250 MG,2,INJECTION,Non-Scheduled,-1,134.50,67.25,Dec-2025
