HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521013337@66708@101117352@1846@101006@201319,MAIN,CLOFERT 100 MG TABLET 5,MANEESH PHARMACEUTICALS LTD,CLOMIFENE TABLET 100 MG,5 TABLET,TABLET,Scheduled,14.19,74.46,14.89,Dec-2025
1521013337@66708@101117352@1846@101006@201319,OTHER,REJUN,SANZYME LTD,CLOMIFENE TABLET 100 MG,10,TABLET,Scheduled,14.19,141.64,14.16,Dec-2025
1521013337@66708@101117352@1846@101006@201319,OTHER,CLOME,ABBOTT INDIA LTD.,CLOMIFENE TABLET 100 MG,10,TABLET,Scheduled,14.19,146.36,14.64,Dec-2025
1521013337@66708@101117352@1846@101006@201319,OTHER,FERTOMID,CIPLA LTD.,CLOMIFENE TABLET 100 MG,5,TABLET,Scheduled,14.19,73.23,14.65,Dec-2025
1521013337@66708@101117352@1846@101006@201319,OTHER,FERTYL,AR-EX LABORATORIES PVT . LTD,CLOMIFENE TABLET 100 MG,5,TABLET,Scheduled,14.19,74.00,14.80,Dec-2025
1521013337@66708@101117352@1846@101006@201319,OTHER,SIPHENE,SERUM INSTITUTE OF INDIA LTD,CLOMIFENE TABLET 100 MG,5,TABLET,Scheduled,14.19,74.44,14.89,Dec-2025
1521013337@66708@101117352@1846@101006@201319,OTHER,CLOMEVA Q,VIVO LIFE SCIENCE,CLOMIFENE TABLET 100 MG,5,TABLET,Scheduled,14.19,201.00,40.20,Dec-2025
1521013341@154813@101117352@3312@101006@201319,MAIN,CLOFERT 25 MG TABLET 30,MANEESH PHARMACEUTICALS LTD,CLOMIFENE TABLET 25 MG,30 TABLET,TABLET,Non-Scheduled,-1,328.03,10.93,Dec-2025
1521013341@154813@101117352@3312@101006@201319,OTHER,FERTEX M,HLL LIFE CARE LTD,CLOMIFENE TABLET 25 MG,30,TABLET,Non-Scheduled,-1,96.00,3.20,Dec-2025
1521013341@154813@101117352@3312@101006@201319,OTHER,REJUN,SANZYME LTD,CLOMIFENE TABLET 25 MG,10,TABLET,Non-Scheduled,-1,67.59,6.76,Dec-2025
