HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521011624@207248@101114244@1846@101068@201762,MAIN,CELDAZ 100 MG INJECTION 10 ML,CELON LABS,DACARBAZINE INJECTION 100 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,213.09,21.31,Dec-2025
1521023919@164328@101114244@2974@101068@201762,MAIN,CELDAZ 200 MG INJECTION 20 ML,CELON LABS,DACARBAZINE INJECTION 200 MG,20 ML INJECTION,INJECTION,Scheduled,388.39,400.55,20.03,Dec-2025
1521023919@164328@101114244@2974@101068@201762,OTHER,DABAZ,INTAS PHARMACEUTICALS LTD,DACARBAZINE INJECTION 200 MG,20,INJECTION,Scheduled,388.39,407.80,20.39,Dec-2025
1521023919@164328@101114244@2974@101068@201762,OTHER,DACMED,UNITED BIOTECH (P) LTD,DACARBAZINE INJECTION 200 MG,1,INJECTION,Scheduled,388.39,476.19,476.19,Dec-2025
1521023921@164329@101114244@3755@101068@201762,MAIN,CELDAZ 500 MG INJECTION 50 ML,CELON LABS,DACARBAZINE INJECTION 500 MG,50 ML INJECTION,INJECTION,Scheduled,527.86,1080.00,21.60,Dec-2025
1521023921@164329@101114244@3755@101068@201762,OTHER,ZICARB,NEON LABORATORIES LTD,DACARBAZINE INJECTION 500 MG,50,INJECTION,Scheduled,527.86,507.00,10.14,Dec-2025
1521023921@164329@101114244@3755@101068@201762,OTHER,DABAZ,INTAS PHARMACEUTICALS LTD,DACARBAZINE INJECTION 500 MG,50,INJECTION,Scheduled,527.86,554.23,11.08,Dec-2025
1521014329@87900@101121421@2974@101068@201762,MAIN,DABAZ 200 MG INJECTION 20 ML,INTAS PHARMACEUTICALS LTD,DACARBAZINE INJECTION 200 MG,20 ML INJECTION,INJECTION,Scheduled,388.39,407.80,20.39,Dec-2025
1521014329@87900@101121421@2974@101068@201762,OTHER,CELDAZ,CELON LABS,DACARBAZINE INJECTION 200 MG,20,INJECTION,Scheduled,388.39,400.55,20.03,Dec-2025
1521014329@87900@101121421@2974@101068@201762,OTHER,DACMED,UNITED BIOTECH (P) LTD,DACARBAZINE INJECTION 200 MG,1,INJECTION,Scheduled,388.39,476.19,476.19,Dec-2025
1521014331@87902@101121421@3755@101068@201762,MAIN,DABAZ 500 MG INJECTION 50 ML,INTAS PHARMACEUTICALS LTD,DACARBAZINE INJECTION 500 MG,50 ML INJECTION,INJECTION,Scheduled,527.86,554.23,11.08,Dec-2025
1521014331@87902@101121421@3755@101068@201762,OTHER,ZICARB,NEON LABORATORIES LTD,DACARBAZINE INJECTION 500 MG,50,INJECTION,Scheduled,527.86,507.00,10.14,Dec-2025
1521014331@87902@101121421@3755@101068@201762,OTHER,CELDAZ,CELON LABS,DACARBAZINE INJECTION 500 MG,50,INJECTION,Scheduled,527.86,1080.00,21.60,Dec-2025
1521028587@211051@101120516@2974@101068@201762,MAIN,DACMED 200 MG INJECTION 1 ML,UNITED BIOTECH (P) LTD,DACARBAZINE INJECTION 200 MG,1 ML INJECTION,INJECTION,Scheduled,388.39,476.19,476.19,Dec-2025
1521028587@211051@101120516@2974@101068@201762,OTHER,CELDAZ,CELON LABS,DACARBAZINE INJECTION 200 MG,20,INJECTION,Scheduled,388.39,400.55,20.03,Dec-2025
1521028587@211051@101120516@2974@101068@201762,OTHER,DABAZ,INTAS PHARMACEUTICALS LTD,DACARBAZINE INJECTION 200 MG,20,INJECTION,Scheduled,388.39,407.80,20.39,Dec-2025
1521085293@293129@101186107@3755@101068@201762,MAIN,ZICARB 500 MG INJECTION 50 ML,NEON LABORATORIES LTD,DACARBAZINE INJECTION 500 MG,50 ML INJECTION,INJECTION,Scheduled,527.86,507.00,10.14,Dec-2025
1521085293@293129@101186107@3755@101068@201762,OTHER,DABAZ,INTAS PHARMACEUTICALS LTD,DACARBAZINE INJECTION 500 MG,50,INJECTION,Scheduled,527.86,554.23,11.08,Dec-2025
1521085293@293129@101186107@3755@101068@201762,OTHER,CELDAZ,CELON LABS,DACARBAZINE INJECTION 500 MG,50,INJECTION,Scheduled,527.86,1080.00,21.60,Dec-2025
