HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521017542@319406@101113126@3460@101068@201775,MAIN,DECINTAS 30 MG INJECTION 1,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,4443.98,4443.98,Dec-2025
1521017542@319406@101113126@3460@101068@201775,OTHER,VISVIN,ZYDUS - BIOLOGICS,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,3379.00,3379.00,Dec-2025
1521017542@319406@101113126@3460@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,3562.52,3562.52,Dec-2025
1521017542@319406@101113126@3460@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,5546.43,5546.43,Dec-2025
1521017548@319408@101113126@3791@101068@201775,MAIN,DECINTAS 50 MG INJECTION 1,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,5656.75,5656.75,Dec-2025
1521017548@319408@101113126@3791@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5840.05,5840.05,Dec-2025
1521017548@319408@101113126@3791@101068@201775,OTHER,DECZUBA,GLENMARK PHARMACEUTICALS LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7500.00,7500.00,Dec-2025
1521017548@319408@101113126@3791@101068@201775,OTHER,NATDECITA,NATCO PHARMA LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7800.00,7800.00,Dec-2025
1521017548@319408@101113126@3791@101068@201775,OTHER,XALIBO,DR. REDDYS LABORATORIES LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8100.00,8100.00,Dec-2025
1521017548@319408@101113126@3791@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8501.00,8501.00,Dec-2025
1521017555@233585@101121963@3460@101068@201775,MAIN,DECITAS 30 MG INJECTION 1,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,3562.52,3562.52,Dec-2025
1521017555@233585@101121963@3460@101068@201775,OTHER,VISVIN,ZYDUS - BIOLOGICS,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,3379.00,3379.00,Dec-2025
1521017555@233585@101121963@3460@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,4443.98,4443.98,Dec-2025
1521017555@233585@101121963@3460@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,5546.43,5546.43,Dec-2025
1521014861@199273@101121963@3791@101068@201775,MAIN,DECITAS 50 MG INJECTION 1,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,8501.00,8501.00,Dec-2025
1521014861@199273@101121963@3791@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5656.75,5656.75,Dec-2025
1521014861@199273@101121963@3791@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5840.05,5840.05,Dec-2025
1521014861@199273@101121963@3791@101068@201775,OTHER,DECZUBA,GLENMARK PHARMACEUTICALS LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7500.00,7500.00,Dec-2025
1521014861@199273@101121963@3791@101068@201775,OTHER,NATDECITA,NATCO PHARMA LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7800.00,7800.00,Dec-2025
1521014861@199273@101121963@3791@101068@201775,OTHER,XALIBO,DR. REDDYS LABORATORIES LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8100.00,8100.00,Dec-2025
1521014864@220720@101121965@3460@101068@201775,MAIN,DECITEX 30 MG INJECTION 1,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 30 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,5546.43,5546.43,Dec-2025
1521014864@220720@101121965@3460@101068@201775,OTHER,VISVIN,ZYDUS - BIOLOGICS,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,3379.00,3379.00,Dec-2025
1521014864@220720@101121965@3460@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,3562.52,3562.52,Dec-2025
1521014864@220720@101121965@3460@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,4443.98,4443.98,Dec-2025
1521014865@184225@101121965@3791@101068@201775,MAIN,DECITEX 50 MG INJECTION 1,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,5840.05,5840.05,Dec-2025
1521014865@184225@101121965@3791@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5656.75,5656.75,Dec-2025
1521014865@184225@101121965@3791@101068@201775,OTHER,DECZUBA,GLENMARK PHARMACEUTICALS LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7500.00,7500.00,Dec-2025
1521014865@184225@101121965@3791@101068@201775,OTHER,NATDECITA,NATCO PHARMA LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7800.00,7800.00,Dec-2025
1521014865@184225@101121965@3791@101068@201775,OTHER,XALIBO,DR. REDDYS LABORATORIES LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8100.00,8100.00,Dec-2025
1521014865@184225@101121965@3791@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8501.00,8501.00,Dec-2025
1521014929@220568@101122023@3791@101068@201775,MAIN,DECZUBA 50 MG INJECTION 1,GLENMARK PHARMACEUTICALS LTD.,DECITABINE INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,7500.00,7500.00,Dec-2025
1521014929@220568@101122023@3791@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5656.75,5656.75,Dec-2025
1521014929@220568@101122023@3791@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5840.05,5840.05,Dec-2025
1521014929@220568@101122023@3791@101068@201775,OTHER,NATDECITA,NATCO PHARMA LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7800.00,7800.00,Dec-2025
1521014929@220568@101122023@3791@101068@201775,OTHER,XALIBO,DR. REDDYS LABORATORIES LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8100.00,8100.00,Dec-2025
1521014929@220568@101122023@3791@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8501.00,8501.00,Dec-2025
1521051634@238792@101154565@3791@101068@201775,MAIN,NATDECITA 50 MG INJECTION 1,NATCO PHARMA LTD,DECITABINE INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,7800.00,7800.00,Dec-2025
1521051634@238792@101154565@3791@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5656.75,5656.75,Dec-2025
1521051634@238792@101154565@3791@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5840.05,5840.05,Dec-2025
1521051634@238792@101154565@3791@101068@201775,OTHER,DECZUBA,GLENMARK PHARMACEUTICALS LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7500.00,7500.00,Dec-2025
1521051634@238792@101154565@3791@101068@201775,OTHER,XALIBO,DR. REDDYS LABORATORIES LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8100.00,8100.00,Dec-2025
1521051634@238792@101154565@3791@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8501.00,8501.00,Dec-2025
1521001936@288580@101247181@3460@101068@201775,MAIN,VISVIN 30 MG INJECTION 1,ZYDUS - BIOLOGICS,DECITABINE INJECTION 30 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,3379.00,3379.00,Dec-2025
1521001936@288580@101247181@3460@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,3562.52,3562.52,Dec-2025
1521001936@288580@101247181@3460@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,4443.98,4443.98,Dec-2025
1521001936@288580@101247181@3460@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 30 MG,1,INJECTION,Non-Scheduled,-1,5546.43,5546.43,Dec-2025
1521083932@208900@101184668@3791@101068@201775,MAIN,XALIBO 50 MG INJECTION 1 ML,DR. REDDYS LABORATORIES LTD,DECITABINE INJECTION 50 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,8100.00,8100.00,Dec-2025
1521083932@208900@101184668@3791@101068@201775,OTHER,DECINTAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5656.75,5656.75,Dec-2025
1521083932@208900@101184668@3791@101068@201775,OTHER,DECITEX,SUN PHARMA LABORATORIES LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5840.05,5840.05,Dec-2025
1521083932@208900@101184668@3791@101068@201775,OTHER,DECZUBA,GLENMARK PHARMACEUTICALS LTD.,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7500.00,7500.00,Dec-2025
1521083932@208900@101184668@3791@101068@201775,OTHER,NATDECITA,NATCO PHARMA LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7800.00,7800.00,Dec-2025
1521083932@208900@101184668@3791@101068@201775,OTHER,DECITAS,INTAS PHARMACEUTICALS LTD,DECITABINE INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,8501.00,8501.00,Dec-2025
