HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521157267@701201@101243430@2107@101006@200060,MAIN,ALEMPA 10 MG TABLET 15,ALTEUS BIOGENICS PVT.LTD.,EMPAGLIFLOZIN TABLET 10 MG,15 TABLET,TABLET,Non-Scheduled,-1,104.34,6.96,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPASON,UNISON PHARMACEUTICALS,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,30.94,3.09,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,ARPIEMPA,RPG LIFE SCIENCES LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,37.50,3.75,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPIXA,TAS MED (INDIA) PRIVATE LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,45.94,4.59,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EUGLIF,DELVIN FORMULATIONS PRIVATE LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,45.94,4.59,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAHOPE,MACLEODS PHARMACEUTICALS PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,46.22,4.62,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAJOY,MACLEODS PHARMACEUTICALS PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,46.22,4.62,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,PROGLIF,BLUE CROSS LABORATORIES LTD,EMPAGLIFLOZIN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,75.00,5.00,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAGLYDE,MANKIND PHARMACEUTICALS LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,51.46,5.15,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAGREAT,MANKIND PHARMACEUTICALS LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,51.46,5.15,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,ELIEMPA,ELICAD PHARMACEUTICALS PVT LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,55.31,5.53,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EXEMPA,ALTEUS BIOGENICS PVT.LTD.,EMPAGLIFLOZIN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,104.34,6.96,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPACUT,ESWAR THERAPEUTICS PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAVITA,CADELL HEALTH CARE PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAWAY,ALLYSIA LIFESCIENCES PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EZYEMPA,EDOC LIFE SCIENCES,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,79.69,7.97,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPATRU,HBC LIFESCIENCES PVT LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,83.43,8.34,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPASOV,CIPLA LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,84.28,8.43,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,GLUDRAIN,NEUCURE LIFESCIENCES PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,89.29,8.93,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,COSPIAQ,TORRENT PHARMACEUTICALS LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,90.90,9.09,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAZIO,TORRENT PHARMACEUTICALS LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,90.90,9.09,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPABITE,CORONA,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,92.80,9.28,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPALO,AJANTA PHARMA LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPANEO,INTAS PHARMACEUTICALS LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPARIO,TALENT INDIA,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPASHIELD,LA RENON HEALTHCARE PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPHA,INTAS PHARMACEUTICALS LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPROVIN,FUSION HEALTHCARE PVT LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,93.00,9.30,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPADON,CADILA PHARMACEUTICALS LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,93.75,9.38,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAJUST,ERINYLE PHARMA,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,93.75,9.38,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPATROL,ARISTO PHARMACEUTICALS PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,93.75,9.38,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPEXEL,ABBOTT HEALTHCARE PVT. LTD,EMPAGLIFLOZIN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,140.63,9.38,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPAPRO,MICRO LABS LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,101.25,10.13,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,GLEMPA,GLENMARK PHARMACEUTICALS LTD.,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,103.12,10.31,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,VICRA,DR. REDDYS LABORATORIES LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,103.12,10.31,Dec-2025
1521157267@701201@101243430@2107@101006@200060,OTHER,EMPADOZ,LLOYD HEALTHCARE PVT.LTD,EMPAGLIFLOZIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,111.56,11.16,Dec-2025
