HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521053919@271217@101156855@2642@101006@201818,MAIN,BIRLOTIB 150 MG TABLET 10,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,ERLOTINIB TABLET 150 MG,10 TABLET,TABLET,Non-Scheduled,-1,3750.00,375.00,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ZYCEVA,ZYDUS - BIOLOGICS,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,3431.25,114.38,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOTERO,HETERO HEALTHCARE LTD,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,4114.50,137.15,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOCIP,CIPLA LTD.,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2208.33,220.83,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOTAZ,KHANDELWAL LABORATORIES LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2400.00,240.00,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLONAT,NATCO PHARMA LTD,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,8768.66,292.29,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOCIP,CIPLA LTD.,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,8908.18,296.94,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOTIREL,RELIANCE LIFE SCIENCE,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,9003.56,300.12,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOSAM,SAMARTH LIFE SCIENCES PVT LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,7000.00,700.00,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOTEC,UNITED BIOTECH (P) LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,7437.50,743.75,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLEVA,GLENMARK PHARMACEUTICALS LTD.,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,29047.50,968.25,Dec-2025
1521053919@271217@101156855@2642@101006@201818,OTHER,ERLOTIB,INTAS PHARMACEUTICALS LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,11000.00,1100.00,Dec-2025
1521023458@172147@101128574@1846@101006@201818,MAIN,ERLEVA 100 MG TABLET 30,GLENMARK PHARMACEUTICALS LTD.,ERLOTINIB TABLET 100 MG,30 TABLET,TABLET,Non-Scheduled,-1,18767.26,625.58,Dec-2025
1521023458@172147@101128574@1846@101006@201818,OTHER,ERLONAT,NATCO PHARMA LTD,ERLOTINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,4348.61,144.95,Dec-2025
1521023458@172147@101128574@1846@101006@201818,OTHER,ERLOTERO,HETERO HEALTHCARE LTD,ERLOTINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,4592.81,153.09,Dec-2025
1521023458@172147@101128574@1846@101006@201818,OTHER,ERLOCIP,CIPLA LTD.,ERLOTINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,5586.51,186.22,Dec-2025
1521023458@172147@101128574@1846@101006@201818,OTHER,ZYCEVA,ZYDUS - BIOLOGICS,ERLOTINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,9281.25,309.38,Dec-2025
1521067908@172148@101128574@2642@101006@201818,MAIN,ERLEVA 150 MG TABLET 30,GLENMARK PHARMACEUTICALS LTD.,ERLOTINIB TABLET 150 MG,30 TABLET,TABLET,Non-Scheduled,-1,29047.50,968.25,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ZYCEVA,ZYDUS - BIOLOGICS,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,3431.25,114.38,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOTERO,HETERO HEALTHCARE LTD,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,4114.50,137.15,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOCIP,CIPLA LTD.,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2208.33,220.83,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOTAZ,KHANDELWAL LABORATORIES LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,2400.00,240.00,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLONAT,NATCO PHARMA LTD,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,8768.66,292.29,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOCIP,CIPLA LTD.,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,8908.18,296.94,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOTIREL,RELIANCE LIFE SCIENCE,ERLOTINIB TABLET 150 MG,30,TABLET,Non-Scheduled,-1,9003.56,300.12,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,BIRLOTIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,3750.00,375.00,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOSAM,SAMARTH LIFE SCIENCES PVT LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,7000.00,700.00,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOTEC,UNITED BIOTECH (P) LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,7437.50,743.75,Dec-2025
1521067908@172148@101128574@2642@101006@201818,OTHER,ERLOTIB,INTAS PHARMACEUTICALS LTD,ERLOTINIB TABLET 150 MG,10,TABLET,Non-Scheduled,-1,11000.00,1100.00,Dec-2025
1521023492@149453@101128590@1846@101006@201818,MAIN,ERLOCIP 100 MG TABLET 30,CIPLA LTD.,ERLOTINIB TABLET 100 MG,30 TABLET,TABLET,Non-Scheduled,-1,5586.51,186.22,Dec-2025
