HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521148795@297882@101238550@1642@101068@201418,MAIN,STAFLOWIN 1000 MG INJECTION 1 ML,CONVERGE BIOTECH PVT.LTD,FLUCLOXACILLIN INJECTION 1000 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,436.60,436.60,Dec-2025
1521148795@297882@101238550@1642@101068@201418,OTHER,STAPHONEX,FUSION HEALTHCARE PVT LTD,FLUCLOXACILLIN INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,702.00,702.00,Dec-2025
1521156526@297883@101238550@3755@101068@201418,MAIN,STAFLOWIN 500 MG INJECTION 1 ML,CONVERGE BIOTECH PVT.LTD,FLUCLOXACILLIN INJECTION 500 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,222.33,222.33,Dec-2025
1521156526@297883@101238550@3755@101068@201418,OTHER,STAPHONEX,FUSION HEALTHCARE PVT LTD,FLUCLOXACILLIN INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,365.00,365.00,Dec-2025
1521138991@302851@101238550@3755@101006@201418,MAIN,STAFLOWIN 500 MG TABLET 6,CONVERGE BIOTECH PVT.LTD,FLUCLOXACILLIN TABLET 500 MG,6 TABLET,TABLET,Non-Scheduled,-1,675.00,112.50,Dec-2025
1521074064@239731@101174633@1642@101068@201418,MAIN,STAPHONEX 1000 MG INJECTION 1,FUSION HEALTHCARE PVT LTD,FLUCLOXACILLIN INJECTION 1000 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,702.00,702.00,Dec-2025
1521074064@239731@101174633@1642@101068@201418,OTHER,STAFLOWIN,CONVERGE BIOTECH PVT.LTD,FLUCLOXACILLIN INJECTION 1000 MG,1,INJECTION,Non-Scheduled,-1,436.60,436.60,Dec-2025
1521074065@283175@101174633@3755@101038@201418,MAIN,STAPHONEX 500 MG CAPSULE 10,FUSION HEALTHCARE PVT LTD,FLUCLOXACILLIN CAPSULE 500 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,149.00,14.90,Dec-2025
1521074066@287682@101174633@3755@101038@201418,MAIN,STAPHONEX 500 MG CAPSULE 4,FUSION HEALTHCARE PVT LTD,FLUCLOXACILLIN CAPSULE 500 MG,4 CAPSULE,CAPSULE,Non-Scheduled,-1,559.00,139.75,Dec-2025
1521074067@239730@101174633@3755@101068@201418,MAIN,STAPHONEX 500 MG INJECTION 1,FUSION HEALTHCARE PVT LTD,FLUCLOXACILLIN INJECTION 500 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,365.00,365.00,Dec-2025
1521074067@239730@101174633@3755@101068@201418,OTHER,STAFLOWIN,CONVERGE BIOTECH PVT.LTD,FLUCLOXACILLIN INJECTION 500 MG,1,INJECTION,Non-Scheduled,-1,222.33,222.33,Dec-2025
