HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521029723@77197@101246279@2642@101068@202224,MAIN,FOSOLIN 150 MG INJECTION 2 ML,ZYDUS HEALTHCARE LTD.,FOSPHENYTOIN INJECTION 150 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,115.91,57.96,Dec-2025
1521029723@77197@101246279@2642@101068@202224,OTHER,NEOFOST,NEON LABORATORIES LTD,FOSPHENYTOIN INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,44.92,22.46,Dec-2025
1521029723@77197@101246279@2642@101068@202224,OTHER,FOSPHEN,INTAS PHARMACEUTICALS LTD,FOSPHENYTOIN INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,82.50,41.25,Dec-2025
1521029724@77196@101246279@3930@101068@202224,MAIN,FOSOLIN 750 MG INJECTION 10 ML,ZYDUS HEALTHCARE LTD.,FOSPHENYTOIN INJECTION 750 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,446.77,44.68,Dec-2025
1521029726@64714@101133087@2642@101068@202224,MAIN,FOSPHEN 150 MG INJECTION 2 ML,INTAS PHARMACEUTICALS LTD,FOSPHENYTOIN INJECTION 150 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,82.50,41.25,Dec-2025
1521029726@64714@101133087@2642@101068@202224,OTHER,NEOFOST,NEON LABORATORIES LTD,FOSPHENYTOIN INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,44.92,22.46,Dec-2025
1521029726@64714@101133087@2642@101068@202224,OTHER,FOSOLIN,ZYDUS HEALTHCARE LTD.,FOSPHENYTOIN INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,115.91,57.96,Dec-2025
1521029727@64713@101133087@3937@101068@202224,MAIN,FOSPHEN 75 MG INJECTION 10 ML,INTAS PHARMACEUTICALS LTD,FOSPHENYTOIN INJECTION 75 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,269.00,26.90,Dec-2025
1521029727@64713@101133087@3937@101068@202224,OTHER,NEOFOST,NEON LABORATORIES LTD,FOSPHENYTOIN INJECTION 75 MG,2,INJECTION,Non-Scheduled,-1,77.80,38.90,Dec-2025
1521094961@293104@101155005@2642@101068@202224,MAIN,NEOFOST 150 MG INJECTION 2 ML,NEON LABORATORIES LTD,FOSPHENYTOIN INJECTION 150 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,44.92,22.46,Dec-2025
1521094961@293104@101155005@2642@101068@202224,OTHER,FOSPHEN,INTAS PHARMACEUTICALS LTD,FOSPHENYTOIN INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,82.50,41.25,Dec-2025
1521094961@293104@101155005@2642@101068@202224,OTHER,FOSOLIN,ZYDUS HEALTHCARE LTD.,FOSPHENYTOIN INJECTION 150 MG,2,INJECTION,Non-Scheduled,-1,115.91,57.96,Dec-2025
1521052056@199411@101155005@3937@101068@202224,MAIN,NEOFOST 75 MG INJECTION 2 ML,NEON LABORATORIES LTD,FOSPHENYTOIN INJECTION 75 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,77.80,38.90,Dec-2025
1521052056@199411@101155005@3937@101068@202224,OTHER,FOSPHEN,INTAS PHARMACEUTICALS LTD,FOSPHENYTOIN INJECTION 75 MG,10,INJECTION,Non-Scheduled,-1,269.00,26.90,Dec-2025
