HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521007797@73883@101245811@3955@101068@201106,MAIN,BIOGARACIN 80 MG INJECTION 2 ML,ZYDUS HEALTHCARE LTD.,GENTAMICIN INJECTION 80 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,10.35,5.18,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GENTA SWIFT,INDSWIFT LABORATORIES LTD.,GENTAMICIN INJECTION 80 MG,20,INJECTION,Non-Scheduled,-1,17.25,0.86,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,INTAGENTA,INTAS PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,10,INJECTION,Non-Scheduled,-1,8.75,0.88,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,RANBIOTIC,RANBAXY LABORATORIES LTD,GENTAMICIN INJECTION 80 MG,10,INJECTION,Non-Scheduled,-1,16.13,1.61,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,INTAGENTA,INTAS PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,20,INJECTION,Non-Scheduled,-1,33.06,1.65,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GENTICYN,ABBOTT HEALTHCARE PVT. LTD,GENTAMICIN INJECTION 80 MG,10,INJECTION,Non-Scheduled,-1,17.50,1.75,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GMI,RAVIAN PHARMACEUTICALS PVT LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,4.91,2.46,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GENTAMYCIN (FULFORD),MSD PHARMACEUTICALS PRIVATE LTD.,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,5.06,2.53,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GENTAMICIN (FULFORD),MSD PHARMACEUTICALS PRIVATE LTD.,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,5.50,2.75,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,INTAGENTA,INTAS PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,7.00,3.50,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,RANBIOTIC,RANBAXY LABORATORIES LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,7.50,3.75,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GARAMYCIN,MSD PHARMACEUTICALS PRIVATE LTD.,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,7.66,3.83,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GENTICYN,ABBOTT HEALTHCARE PVT. LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,10.35,5.18,Dec-2025
1521007797@73883@101245811@3955@101068@201106,OTHER,GENTAMICIN (CADILA),CADILA PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,10.90,5.45,Dec-2025
1521015733@12135@101122772@1347@101028@201106,MAIN,DERMYCIN 0.3 % CREAM 20 GM,DERMO CARE LABORATORIES,GENTAMICIN CREAM 0.3 %,20 GM CREAM,CREAM,Non-Scheduled,-1,12.19,0.61,Dec-2025
1521015733@12135@101122772@1347@101028@201106,OTHER,GENTLEE,DERMO CARE LABORATORIES,GENTAMICIN CREAM 0.3 %,20,CREAM,Non-Scheduled,-1,20.63,1.03,Dec-2025
1521030747@127570@101225849@3879@101068@201106,MAIN,GARAMYCIN 60 MG INJECTION 1.5 ML,MSD PHARMACEUTICALS PRIVATE LTD.,GENTAMICIN INJECTION 60 MG,1.5 ML INJECTION,INJECTION,Non-Scheduled,-1,3.76,1.88,Dec-2025
1521030747@127570@101225849@3879@101068@201106,OTHER,GENTICYN,ABBOTT HEALTHCARE PVT. LTD,GENTAMICIN INJECTION 60 MG,1,INJECTION,Non-Scheduled,-1,4.64,2.32,Dec-2025
1521030712@64096@101225849@3955@101068@201106,MAIN,GARAMYCIN 80 MG INJECTION 2 ML,MSD PHARMACEUTICALS PRIVATE LTD.,GENTAMICIN INJECTION 80 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,7.66,3.83,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,GENTA SWIFT,INDSWIFT LABORATORIES LTD.,GENTAMICIN INJECTION 80 MG,20,INJECTION,Non-Scheduled,-1,17.25,0.86,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,INTAGENTA,INTAS PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,10,INJECTION,Non-Scheduled,-1,8.75,0.88,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,RANBIOTIC,RANBAXY LABORATORIES LTD,GENTAMICIN INJECTION 80 MG,10,INJECTION,Non-Scheduled,-1,16.13,1.61,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,INTAGENTA,INTAS PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,20,INJECTION,Non-Scheduled,-1,33.06,1.65,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,GENTICYN,ABBOTT HEALTHCARE PVT. LTD,GENTAMICIN INJECTION 80 MG,10,INJECTION,Non-Scheduled,-1,17.50,1.75,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,GMI,RAVIAN PHARMACEUTICALS PVT LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,4.91,2.46,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,GENTAMYCIN (FULFORD),MSD PHARMACEUTICALS PRIVATE LTD.,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,5.06,2.53,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,GENTAMICIN (FULFORD),MSD PHARMACEUTICALS PRIVATE LTD.,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,5.50,2.75,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,INTAGENTA,INTAS PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,7.00,3.50,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,RANBIOTIC,RANBAXY LABORATORIES LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,7.50,3.75,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,BIOGARACIN,ZYDUS HEALTHCARE LTD.,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,10.35,5.18,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,GENTICYN,ABBOTT HEALTHCARE PVT. LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,10.35,5.18,Dec-2025
1521030712@64096@101225849@3955@101068@201106,OTHER,GENTAMICIN (CADILA),CADILA PHARMACEUTICALS LTD,GENTAMICIN INJECTION 80 MG,2,INJECTION,Non-Scheduled,-1,10.90,5.45,Dec-2025
1521031156@18067@101134479@3650@101068@201106,MAIN,GENCIN (TORQUE PHARMA) 40 MG INJECTION 30 ML,TORQUE PHARMACEUTICALS PVT LTD,GENTAMICIN INJECTION 40 MG,30 ML INJECTION,INJECTION,Scheduled,1.25,19.80,0.66,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENTA SWIFT,INDSWIFT LABORATORIES LTD.,GENTAMICIN INJECTION 40 MG,20,INJECTION,Scheduled,1.25,13.75,0.69,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENKA,CADILA PHARMACEUTICALS LTD,GENTAMICIN INJECTION 40 MG,10,INJECTION,Scheduled,1.25,9.75,0.98,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENTALAB,LABORATE PHARMACEUTICAL LTD,GENTAMICIN INJECTION 40 MG,30,INJECTION,Scheduled,1.25,39.38,1.31,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,MAGENTA,WOCKHARDT LTD,GENTAMICIN INJECTION 40 MG,20,INJECTION,Scheduled,1.25,28.95,1.45,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENKA,CADILA PHARMACEUTICALS LTD,GENTAMICIN INJECTION 40 MG,20,INJECTION,Scheduled,1.25,32.91,1.65,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,RANBIOTIC,RANBAXY LABORATORIES LTD,GENTAMICIN INJECTION 40 MG,20,INJECTION,Scheduled,1.25,35.09,1.75,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENTA (CADILA PHARMA),CADILA PHARMACEUTICALS LTD,GENTAMICIN INJECTION 40 MG,10,INJECTION,Scheduled,1.25,17.58,1.76,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENTALAB,LABORATE PHARMACEUTICAL LTD,GENTAMICIN INJECTION 40 MG,10,INJECTION,Scheduled,1.25,19.68,1.97,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENTY,JAGSONPAL PHARMACEUTICALS LTD,GENTAMICIN INJECTION 40 MG,10,INJECTION,Scheduled,1.25,22.68,2.27,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,MYCIN,SYNTHO PHARMACEUTICALS (P) LTD.,GENTAMICIN INJECTION 40 MG,10,INJECTION,Scheduled,1.25,30.60,3.06,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,SIOGENTA,ALBERT DAVID,GENTAMICIN INJECTION 40 MG,2,INJECTION,Scheduled,1.25,9.21,4.61,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GENTALAB,LABORATE PHARMACEUTICAL LTD,GENTAMICIN INJECTION 40 MG,2,INJECTION,Scheduled,1.25,10.31,5.16,Dec-2025
1521031156@18067@101134479@3650@101068@201106,OTHER,GRACIN,ZYDUS HEALTHCARE LTD.,GENTAMICIN INJECTION 40 MG,2,INJECTION,Scheduled,1.25,10.35,5.18,Dec-2025
