HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521012342@320051@101110974@3701@101018@200516,MAIN,ALLERKU 4 BIU SACHET 1 GM,DR. REDDYS LABORATORIES LTD,LACTOBACILLUS SPOROGENES SACHET 4 BIU,1 GM SACHET,SACHET,Non-Scheduled,-1,495.00,495.00,Dec-2025
1521012333@294981@101110974@3701@101126@200516,MAIN,ALLERKU 4 BIU SYRUP 30 ML,DR. REDDYS LABORATORIES LTD,LACTOBACILLUS SPOROGENES SYRUP 4 BIU,30 ML SYRUP,SYRUP,Non-Scheduled,-1,290.00,9.67,Dec-2025
1521013944@278196@101119726@1942@101038@200516,MAIN,FLORILL 100 MIU CAPSULE 10,ALDE MEDI IMPEX,LACTOBACILLUS SPOROGENES CAPSULE 100 MIU,10 CAPSULE,CAPSULE,Non-Scheduled,-1,152.81,15.28,Dec-2025
1521028921@146009@101132513@-1@101038@200516,MAIN,FOLCOVIT PLUS CAPSULE 10,ESKAG PHARMA PVT.LTD,LACTOBACILLUS SPOROGENES CAPSULE ,10 CAPSULE,CAPSULE,Non-Scheduled,-1,19.80,1.98,Dec-2025
1521029863@287871@101114934@3882@101006@200516,MAIN,FOLICAM LB 60 MIU TABLET 10,ANHOX HEALTHCARE PVT LTD,LACTOBACILLUS SPOROGENES TABLET 60 MIU,10 TABLET,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521040392@221804@101143618@2279@101006@200516,MAIN,LACTOCIP DS 120 MIU TABLET 15,CIPLA LTD.,LACTOBACILLUS SPOROGENES TABLET 120 MIU,15 TABLET,TABLET,Non-Scheduled,-1,73.16,4.88,Dec-2025
1521040392@221804@101143618@2279@101006@200516,OTHER,LB 1,PHARMASYNTH FORMULATIONS (P) LTD,LACTOBACILLUS SPOROGENES TABLET 120 MIU,10,TABLET,Non-Scheduled,-1,12.50,1.25,Dec-2025
1521040392@221804@101143618@2279@101006@200516,OTHER,LACTOFAB,SMART LABORATORIES PVT LTD,LACTOBACILLUS SPOROGENES TABLET 120 MIU,20,TABLET,Non-Scheduled,-1,75.00,3.75,Dec-2025
1521040392@221804@101143618@2279@101006@200516,OTHER,SPORLAC DS,JB CHEMICALS,LACTOBACILLUS SPOROGENES TABLET 120 MIU,25,TABLET,Non-Scheduled,-1,224.16,8.97,Dec-2025
1521040392@221804@101143618@2279@101006@200516,OTHER,SPORLAC DS,JB CHEMICALS,LACTOBACILLUS SPOROGENES TABLET 120 MIU,20,TABLET,Non-Scheduled,-1,217.47,10.87,Dec-2025
1521091051@338409@101189587@2279@101006@200516,MAIN,LACTOFAB DS 120 MIU TABLET 20,SMART LABORATORIES PVT LTD,LACTOBACILLUS SPOROGENES TABLET 120 MIU,20 TABLET,TABLET,Non-Scheduled,-1,75.00,3.75,Dec-2025
1521091051@338409@101189587@2279@101006@200516,OTHER,LB 1,PHARMASYNTH FORMULATIONS (P) LTD,LACTOBACILLUS SPOROGENES TABLET 120 MIU,10,TABLET,Non-Scheduled,-1,12.50,1.25,Dec-2025
1521091051@338409@101189587@2279@101006@200516,OTHER,LACTOCIP,CIPLA LTD.,LACTOBACILLUS SPOROGENES TABLET 120 MIU,15,TABLET,Non-Scheduled,-1,73.16,4.88,Dec-2025
1521091051@338409@101189587@2279@101006@200516,OTHER,SPORLAC DS,JB CHEMICALS,LACTOBACILLUS SPOROGENES TABLET 120 MIU,25,TABLET,Non-Scheduled,-1,224.16,8.97,Dec-2025
1521091051@338409@101189587@2279@101006@200516,OTHER,SPORLAC DS,JB CHEMICALS,LACTOBACILLUS SPOROGENES TABLET 120 MIU,20,TABLET,Non-Scheduled,-1,217.47,10.87,Dec-2025
