HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521005780@301137@101103148@3644@101038@201415,MAIN,BDLYM 408 MG CAPSULE 8,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LYMECYCLINE CAPSULE 408 MG,8 CAPSULE,CAPSULE,Non-Scheduled,-1,464.06,58.01,Dec-2025
1521005780@301137@101103148@3644@101038@201415,OTHER,INVOLYM,LA PRISTINE BIOCEUTICALS PVT LTD,LYMECYCLINE CAPSULE 408 MG,15,CAPSULE,Non-Scheduled,-1,731.25,48.75,Dec-2025
1521005780@301137@101103148@3644@101038@201415,OTHER,TETRALYME,ALNICHE LIFE SCIENCES PVT.LTD,LYMECYCLINE CAPSULE 408 MG,8,CAPSULE,Non-Scheduled,-1,535.22,66.90,Dec-2025
1521037232@261816@101140410@3644@101038@201415,MAIN,INVOLYM 408 MG CAPSULE 15,LA PRISTINE BIOCEUTICALS PVT LTD,LYMECYCLINE CAPSULE 408 MG,15 CAPSULE,CAPSULE,Non-Scheduled,-1,731.25,48.75,Dec-2025
1521037232@261816@101140410@3644@101038@201415,OTHER,BDLYM,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LYMECYCLINE CAPSULE 408 MG,8,CAPSULE,Non-Scheduled,-1,464.06,58.01,Dec-2025
1521037232@261816@101140410@3644@101038@201415,OTHER,TETRALYME,ALNICHE LIFE SCIENCES PVT.LTD,LYMECYCLINE CAPSULE 408 MG,8,CAPSULE,Non-Scheduled,-1,535.22,66.90,Dec-2025
1521044715@242380@101147889@3644@101006@201415,MAIN,LYMZIT 408 MG TABLET 10,BRINTON PHARMACEUTICALS .LTD,LYMECYCLINE TABLET 408 MG,10 TABLET,TABLET,Non-Scheduled,-1,557.81,55.78,Dec-2025
1521090080@264068@101188857@3644@101038@201415,MAIN,TETRALYME 408 MG CAPSULE 8,ALNICHE LIFE SCIENCES PVT.LTD,LYMECYCLINE CAPSULE 408 MG,8 CAPSULE,CAPSULE,Non-Scheduled,-1,535.22,66.90,Dec-2025
1521090080@264068@101188857@3644@101038@201415,OTHER,INVOLYM,LA PRISTINE BIOCEUTICALS PVT LTD,LYMECYCLINE CAPSULE 408 MG,15,CAPSULE,Non-Scheduled,-1,731.25,48.75,Dec-2025
1521090080@264068@101188857@3644@101038@201415,OTHER,BDLYM,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,LYMECYCLINE CAPSULE 408 MG,8,CAPSULE,Non-Scheduled,-1,464.06,58.01,Dec-2025
