HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521155965@312550@101242855@2889@101068@200782,MAIN,CLARIS MANNITOL 20 % INJECTION 100 ML,CORE HEALTHCARE,MANNITOL INJECTION 20 %,100 ML INJECTION,INJECTION,Non-Scheduled,-1,30.44,0.30,Dec-2025
1521155965@312550@101242855@2889@101068@200782,OTHER,MANNITOL (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,MANNITOL INJECTION 20 %,100,INJECTION,Non-Scheduled,-1,29.12,0.29,Dec-2025
1521022159@240942@101115513@1554@101060@200782,MAIN,GLYNEUTOL 10 % INFUSION 100 ML,NEON LABORATORIES LTD,MANNITOL INFUSION 10 %,100 ML INFUSION,INFUSION,Scheduled,0.19,265.30,2.65,Dec-2025
1521022159@240942@101115513@1554@101060@200782,OTHER,MANNIGYL,CHANDRA BHAGAT PHARMA PVT. LTD.,MANNITOL INFUSION 10 %,100,INFUSION,Scheduled,0.19,149.00,1.49,Dec-2025
1521022159@240942@101115513@1554@101060@200782,OTHER,NEUROTOL (VENUS),VENUS REMEDIES LTD,MANNITOL INFUSION 10 %,100,INFUSION,Scheduled,0.19,255.00,2.55,Dec-2025
1521045487@91804@101148613@2889@101060@200782,MAIN,MANITOL (CLARIS) 20 % INFUSION 100 ML,CLARIS LIFESCIENCES LIMITED,MANNITOL INFUSION 20 %,100 ML INFUSION,INFUSION,Scheduled,0.36,35.70,0.36,Dec-2025
1521045487@91804@101148613@2889@101060@200782,OTHER,MANNITOL IP (BAXTER),BAXTER INDIA PVT.LTD,MANNITOL INFUSION 20 %,350,INFUSION,Scheduled,0.36,72.50,0.21,Dec-2025
1521045487@91804@101148613@2889@101060@200782,OTHER,MANNITOL (FRESENIUS),FRESENIUS KABI INDIA PVT LTD,MANNITOL INFUSION 20 %,350,INFUSION,Scheduled,0.36,77.50,0.22,Dec-2025
1521045487@91804@101148613@2889@101060@200782,OTHER,MANNITOL 20% (CORE),CORE HEALTHCARE,MANNITOL INFUSION 20 %,350,INFUSION,Scheduled,0.36,83.50,0.24,Dec-2025
1521045487@91804@101148613@2889@101060@200782,OTHER,MANITOL (PARENTERAL),PARENTERAL DRUGS (INDIA) LTD.,MANNITOL INFUSION 20 %,300,INFUSION,Scheduled,0.36,75.00,0.25,Dec-2025
