HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001188@749@101101329@2107@101006@202381,MAIN,ADMENTA 10 MG TABLET 10,SUN PHARMA LABORATORIES LTD.,MEMANTINE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,229.69,22.97,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,MEMINZER,TRIPADA HEALTHCARE PVT LTD,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,MEMANTAL,EAST WEST PHARMA,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,140.00,14.00,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,MEMANSYS,CNX HEALTHCARE PVT LTD,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,151.87,15.19,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,DEMENZIL,ALKEM LABORATORIES LTD.,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,160.00,16.00,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,LARENTINE,LA RENON HEALTHCARE PVT.LTD,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,173.43,17.34,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,MEMAN,D.D PHARMACEUTICALS,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,174.45,17.45,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,ALZITIN,CONSERN PHARMA (P) LTD,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,209.00,20.90,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,NEMDAA,INTAS PHARMACEUTICALS LTD,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,232.97,23.30,Dec-2025
1521001188@749@101101329@2107@101006@202381,OTHER,SENEX,ALTEUS BIOGENICS PVT.LTD.,MEMANTINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,312.58,31.26,Dec-2025
1521001189@750@101101329@3854@101006@202381,MAIN,ADMENTA 5 MG TABLET 10,SUN PHARMA LABORATORIES LTD.,MEMANTINE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,131.25,13.13,Dec-2025
1521001189@750@101101329@3854@101006@202381,OTHER,MEMINZER,TRIPADA HEALTHCARE PVT LTD,MEMANTINE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,65.00,6.50,Dec-2025
1521001189@750@101101329@3854@101006@202381,OTHER,MEMANTAL,EAST WEST PHARMA,MEMANTINE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,73.22,7.32,Dec-2025
