HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521021473@64664@101127181@2107@101006@200369,MAIN,EMENORM 10 MG TABLET 10,INTAS PHARMACEUTICALS LTD,METOCLOPRAMIDE TABLET 10 MG,10 TABLET,TABLET,Scheduled,1.37,12.89,1.29,Dec-2025
1521021473@64664@101127181@2107@101006@200369,OTHER,METOCLOPRAMIDE(CIP),CIPLA LTD.,METOCLOPRAMIDE TABLET 10 MG,10,TABLET,Scheduled,1.37,3.75,0.38,Dec-2025
1521021473@64664@101127181@2107@101006@200369,OTHER,VOMINORM,CIPLA LTD.,METOCLOPRAMIDE TABLET 10 MG,10,TABLET,Scheduled,1.37,12.94,1.29,Dec-2025
1521021473@64664@101127181@2107@101006@200369,OTHER,OAKNETS REGLAN,OAKNET HEALTHCARE,METOCLOPRAMIDE TABLET 10 MG,20,TABLET,Scheduled,1.37,28.33,1.42,Dec-2025
1521021473@64664@101127181@2107@101006@200369,OTHER,PERINORM,IPCA LABORATORIES PVT LTD.,METOCLOPRAMIDE TABLET 10 MG,10,TABLET,Scheduled,1.37,14.38,1.44,Dec-2025
1521021481@64663@101127181@3854@101068@200369,MAIN,EMENORM 5 MG INJECTION 10 ML,INTAS PHARMACEUTICALS LTD,METOCLOPRAMIDE INJECTION 5 MG,10 ML INJECTION,INJECTION,Scheduled,2.72,17.01,1.70,Dec-2025
1521021481@64663@101127181@3854@101068@200369,OTHER,OAKNETS REGLAN,OAKNET HEALTHCARE,METOCLOPRAMIDE INJECTION 5 MG,10,INJECTION,Scheduled,2.72,17.40,1.74,Dec-2025
1521021481@64663@101127181@3854@101068@200369,OTHER,PERINORM,IPCA LABORATORIES PVT LTD.,METOCLOPRAMIDE INJECTION 5 MG,20,INJECTION,Scheduled,2.72,34.85,1.74,Dec-2025
1521021481@64663@101127181@3854@101068@200369,OTHER,OAKNETS REGLAN,OAKNET HEALTHCARE,METOCLOPRAMIDE INJECTION 5 MG,2,INJECTION,Scheduled,2.72,5.70,2.85,Dec-2025
1521021481@64663@101127181@3854@101068@200369,OTHER,PERINORM,IPCA LABORATORIES PVT LTD.,METOCLOPRAMIDE INJECTION 5 MG,2,INJECTION,Scheduled,2.72,5.70,2.85,Dec-2025
1521021482@64662@101127181@3854@101068@200369,MAIN,EMENORM 5 MG INJECTION 2 ML,INTAS PHARMACEUTICALS LTD,METOCLOPRAMIDE INJECTION 5 MG,2 ML INJECTION,INJECTION,Scheduled,2.72,5.68,2.84,Dec-2025
1521021482@64662@101127181@3854@101068@200369,OTHER,OAKNETS REGLAN,OAKNET HEALTHCARE,METOCLOPRAMIDE INJECTION 5 MG,10,INJECTION,Scheduled,2.72,17.40,1.74,Dec-2025
1521021482@64662@101127181@3854@101068@200369,OTHER,PERINORM,IPCA LABORATORIES PVT LTD.,METOCLOPRAMIDE INJECTION 5 MG,20,INJECTION,Scheduled,2.72,34.85,1.74,Dec-2025
1521021482@64662@101127181@3854@101068@200369,OTHER,OAKNETS REGLAN,OAKNET HEALTHCARE,METOCLOPRAMIDE INJECTION 5 MG,2,INJECTION,Scheduled,2.72,5.70,2.85,Dec-2025
1521021482@64662@101127181@3854@101068@200369,OTHER,PERINORM,IPCA LABORATORIES PVT LTD.,METOCLOPRAMIDE INJECTION 5 MG,2,INJECTION,Scheduled,2.72,5.70,2.85,Dec-2025
1521101486@90890@101194502@2107@101068@200369,MAIN,LABOMET 10 MG INJECTION 2 ML,LABORATE PHARMACEUTICAL LTD,METOCLOPRAMIDE INJECTION 10 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,7.00,3.50,Dec-2025
1521122381@75192@101245375@2107@101006@200369,MAIN,METOCLOPRAMIDE(CIP) 10 MG TABLET 10,CIPLA LTD.,METOCLOPRAMIDE TABLET 10 MG,10 TABLET,TABLET,Scheduled,1.37,3.75,0.38,Dec-2025
1521122381@75192@101245375@2107@101006@200369,OTHER,EMENORM,INTAS PHARMACEUTICALS LTD,METOCLOPRAMIDE TABLET 10 MG,10,TABLET,Scheduled,1.37,12.89,1.29,Dec-2025
1521122381@75192@101245375@2107@101006@200369,OTHER,VOMINORM,CIPLA LTD.,METOCLOPRAMIDE TABLET 10 MG,10,TABLET,Scheduled,1.37,12.94,1.29,Dec-2025
1521122381@75192@101245375@2107@101006@200369,OTHER,OAKNETS REGLAN,OAKNET HEALTHCARE,METOCLOPRAMIDE TABLET 10 MG,20,TABLET,Scheduled,1.37,28.33,1.42,Dec-2025
1521122381@75192@101245375@2107@101006@200369,OTHER,PERINORM,IPCA LABORATORIES PVT LTD.,METOCLOPRAMIDE TABLET 10 MG,10,TABLET,Scheduled,1.37,14.38,1.44,Dec-2025
1521091132@174723@101189606@-1@101068@200369,MAIN,METOPEN INJECTION 2 ML,MOREPEN LABORATORIES LIMITED,METOCLOPRAMIDE INJECTION ,2 ML INJECTION,INJECTION,Non-Scheduled,-1,4.92,2.46,Dec-2025
