HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003229@3026@101107576@1095@101090@201141,MAIN,AQUAMET 0.05 % NASAL SPRAY 1 ML,SUN PHARMA LABORATORIES LTD.,MOMETASONE NASAL SPRAY 0.05 %,1 ML NASAL SPRAY,NASAL SPRAY,Non-Scheduled,-1,432.19,432.19,Dec-2025
1521003229@3026@101107576@1095@101090@201141,OTHER,MOMEFIRST,ENTOD PHARMACEUTICALS LTD,MOMETASONE NASAL SPRAY 0.05 %,10,NASAL SPRAY,Non-Scheduled,-1,292.50,29.25,Dec-2025
1521003229@3026@101107576@1095@101090@201141,OTHER,MOMEFIT,ENTOD PHARMACEUTICALS LTD,MOMETASONE NASAL SPRAY 0.05 %,10,NASAL SPRAY,Non-Scheduled,-1,321.09,32.11,Dec-2025
1521003229@3026@101107576@1095@101090@201141,OTHER,MOMENTA,NULIFE PHARMACEUTICALS,MOMETASONE NASAL SPRAY 0.05 %,10,NASAL SPRAY,Non-Scheduled,-1,543.75,54.38,Dec-2025
1521149049@301680@101228716@1147@101028@201141,MAIN,ASTIBET 0.1 % CREAM 30 GM,IZNG PHARMACEUTICALS,MOMETASONE CREAM 0.1 %,30 GM CREAM,CREAM,Non-Scheduled,-1,214.69,7.16,Dec-2025
1521149049@301680@101228716@1147@101028@201141,OTHER,MMCOD,UNISON PHARMACEUTICALS,MOMETASONE CREAM 0.1 %,30,CREAM,Non-Scheduled,-1,90.00,3.00,Dec-2025
1521149049@301680@101228716@1147@101028@201141,OTHER,ECOMOM,ALBATROSS HEALTH CARE PVT LTD,MOMETASONE CREAM 0.1 %,30,CREAM,Non-Scheduled,-1,93.75,3.13,Dec-2025
1521149049@301680@101228716@1147@101028@201141,OTHER,MOMSON (LEBEN),LEBEN LABORATORIES PVT.LTD,MOMETASONE CREAM 0.1 %,15,CREAM,Non-Scheduled,-1,56.25,3.75,Dec-2025
1521149049@301680@101228716@1147@101028@201141,OTHER,ECOMOM,ALBATROSS HEALTH CARE PVT LTD,MOMETASONE CREAM 0.1 %,15,CREAM,Non-Scheduled,-1,65.63,4.38,Dec-2025
1521149049@301680@101228716@1147@101028@201141,OTHER,DERMIAT,ATOPIC LABORATORIES,MOMETASONE CREAM 0.1 %,30,CREAM,Non-Scheduled,-1,134.06,4.47,Dec-2025
