HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521099558@350488@101193258@1846@101006@201974,MAIN,ALKEM NIM 100 MG TABLET 15,ALKEM LABORATORIES LTD.,NIMESULIDE TABLET 100 MG,15 TABLET,TABLET,Non-Scheduled,-1,64.69,4.31,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMOPEN,MOREPEN LABORATORIES LIMITED,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,2.50,0.25,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,PYRIMIDE,ALKEM LABORATORIES LTD.,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,2.50,0.25,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMOTAS,INTAS PHARMACEUTICALS LTD,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,3.62,0.36,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NELSID,INDSWIFT LABORATORIES LTD.,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,5.00,0.50,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMZE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,9.00,0.90,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMZEE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,10.00,1.00,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMESULIDE (MAKERS),MAKERS LABS,NIMESULIDE TABLET 100 MG,500,TABLET,Non-Scheduled,-1,622.75,1.25,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMPREX,SEAGULL PHARMA,NIMESULIDE TABLET 100 MG,15,TABLET,Non-Scheduled,-1,24.58,1.64,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,DISNIM,STADCHEM OF INDIA,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,19.00,1.90,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NULEB,LEBEN LABORATORIES PVT.LTD,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,19.65,1.97,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMUSEN,EISEN PHARMACEUTICALS CO. PVT. LTD,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,20.95,2.10,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,MEGAGESIC,SWASTIK PHARMACEUTICALS,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,22.00,2.20,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NYDE (PATSON),PATSON LABORATORIES PVT. LTD.,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,23.00,2.30,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIPRA,SAPIENT,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,23.40,2.34,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,OLNIM,OLCARE LTD,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,23.50,2.35,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMOGEN,INTAS PHARMACEUTICALS LTD,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,24.00,2.40,Dec-2025
1521099558@350488@101193258@1846@101006@201974,OTHER,NIMESON,UNISON PHARMACEUTICALS,NIMESULIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,24.28,2.43,Dec-2025
