HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521002946@161774@101107318@2472@101126@201685,MAIN,ANTIFLU 12 MG SYRUP 75 ML,CIPLA LTD.,OSELTAMIVIR SYRUP 12 MG,75 ML SYRUP,SYRUP,Non-Scheduled,-1,867.75,11.57,Dec-2025
1521002948@89085@101107318@3937@101038@201685,MAIN,ANTIFLU 75 MG CAPSULE 10,CIPLA LTD.,OSELTAMIVIR CAPSULE 75 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,906.79,90.68,Dec-2025
1521002948@89085@101107318@3937@101038@201685,OTHER,STARFLU (STRIDES),STRIDES SHASUN LIMITED,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,475.00,47.50,Dec-2025
1521002948@89085@101107318@3937@101038@201685,OTHER,NATFLU,NATCO PHARMA LTD,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,515.63,51.56,Dec-2025
1521002948@89085@101107318@3937@101038@201685,OTHER,OLSIVIR,GLENMARK PHARMACEUTICALS LTD.,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,535.00,53.50,Dec-2025
1521002948@89085@101107318@3937@101038@201685,OTHER,OLTAVIR,JB CHEMICALS,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,594.99,59.50,Dec-2025
1521002948@89085@101107318@3937@101038@201685,OTHER,FLUCOVER,OVERSEAS HEALTHCARE PVT LTD.,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,600.09,60.01,Dec-2025
1521002948@89085@101107318@3937@101038@201685,OTHER,TAMIFLU,ROCHE,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,1290.00,129.00,Dec-2025
1521135300@157358@101107318@3937@101076@201685,MAIN,ANTIFLU 75 MG DROPS 5 ML,CIPLA LTD.,OSELTAMIVIR DROPS 75 MG,5 ML DROPS,DROPS,Non-Scheduled,-1,1.25,0.25,Dec-2025
1521028376@318807@101132108@3937@101038@201685,MAIN,FLUCOVER 75 MG CAPSULE 10,OVERSEAS HEALTHCARE PVT LTD.,OSELTAMIVIR CAPSULE 75 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,600.09,60.01,Dec-2025
1521028376@318807@101132108@3937@101038@201685,OTHER,STARFLU (STRIDES),STRIDES SHASUN LIMITED,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,475.00,47.50,Dec-2025
1521028376@318807@101132108@3937@101038@201685,OTHER,NATFLU,NATCO PHARMA LTD,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,515.63,51.56,Dec-2025
1521028376@318807@101132108@3937@101038@201685,OTHER,OLSIVIR,GLENMARK PHARMACEUTICALS LTD.,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,535.00,53.50,Dec-2025
1521028376@318807@101132108@3937@101038@201685,OTHER,OLTAVIR,JB CHEMICALS,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,594.99,59.50,Dec-2025
1521028376@318807@101132108@3937@101038@201685,OTHER,ANTIFLU,CIPLA LTD.,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,906.79,90.68,Dec-2025
1521028376@318807@101132108@3937@101038@201685,OTHER,TAMIFLU,ROCHE,OSELTAMIVIR CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,1290.00,129.00,Dec-2025
1521093374@338881@101132343@2472@101091@201685,MAIN,FLUVIA 12 MG SUSPENSION 100 ML,MACLEODS PHARMACEUTICALS PVT.LTD,OSELTAMIVIR SUSPENSION 12 MG,100 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,587.81,5.88,Dec-2025
