HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521029978@149279@101121791@1846@101006@202194,MAIN,ATOIN 100 MG TABLET 90,LA PHARMACEUTICALS,PHENYTOIN TABLET 100 MG,90 TABLET,TABLET,Scheduled,1.79,163.48,1.82,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPSOTAL,ZYDUS HEALTHCARE LTD.,PHENYTOIN TABLET 100 MG,100,TABLET,Scheduled,1.79,12.00,0.12,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,SEZTIN,CONSERN PHARMA (P) LTD,PHENYTOIN TABLET 100 MG,100,TABLET,Scheduled,1.79,18.66,0.19,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,C TOIN,USV PVT LTD,PHENYTOIN TABLET 100 MG,90,TABLET,Scheduled,1.79,131.40,1.46,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPSOD,SHINE PHARMACEUTICALS LTD,PHENYTOIN TABLET 100 MG,60,TABLET,Scheduled,1.79,102.80,1.71,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,PHENYKEM,ALKEM LABORATORIES LTD.,PHENYTOIN TABLET 100 MG,100,TABLET,Scheduled,1.79,173.44,1.73,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPISOL,PSYCHOTROPICS INDIA LTD,PHENYTOIN TABLET 100 MG,10,TABLET,Scheduled,1.79,17.36,1.74,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPTOHEAL,HEALING PHARMA INDIA PVT.LTD,PHENYTOIN TABLET 100 MG,120,TABLET,Scheduled,1.79,217.50,1.81,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,PROTOIN,SIGMUND PROMEDICA,PHENYTOIN TABLET 100 MG,10,TABLET,Scheduled,1.79,18.40,1.84,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,NEUTOIN,SALAS PHARMA PVT.LTD,PHENYTOIN TABLET 100 MG,10,TABLET,Scheduled,1.79,18.48,1.85,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,PHETOIN,RELIANCE FORMULATION PVT LTD,PHENYTOIN TABLET 100 MG,10,TABLET,Scheduled,1.79,18.48,1.85,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,M TOIN,MEDOPHARM,PHENYTOIN TABLET 100 MG,10,TABLET,Scheduled,1.79,18.70,1.87,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,CELETOIN,INTAS PHARMACEUTICALS LTD,PHENYTOIN TABLET 100 MG,100,TABLET,Scheduled,1.79,187.95,1.88,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPILAN,LUPIN LTD,PHENYTOIN TABLET 100 MG,120,TABLET,Scheduled,1.79,225.50,1.88,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPILAN P,LUPIN LTD,PHENYTOIN TABLET 100 MG,120,TABLET,Scheduled,1.79,225.50,1.88,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPSOLIN,ZYDUS HEALTHCARE LTD.,PHENYTOIN TABLET 100 MG,100,TABLET,Scheduled,1.79,187.95,1.88,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,EPTOIN,ABBOTT INDIA LTD.,PHENYTOIN TABLET 100 MG,120,TABLET,Scheduled,1.79,225.52,1.88,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,GENTOIN,GENTECH HEALTCARE LTD,PHENYTOIN TABLET 100 MG,10,TABLET,Scheduled,1.79,18.79,1.88,Dec-2025
1521029978@149279@101121791@1846@101006@202194,OTHER,KIPTOIN,KIVI LABS LTD,PHENYTOIN TABLET 100 MG,100,TABLET,Scheduled,1.79,187.95,1.88,Dec-2025
