HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521037028@315605@101116124@1846@101068@201639,MAIN,CIPREMI 100 MG INJECTION 1,CIPLA LTD.,REMDESIVIR INJECTION 100 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,2501.11,2501.11,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,CIPREMI RTU,CIPLA LTD.,REMDESIVIR INJECTION 100 MG,20,INJECTION,Non-Scheduled,-1,2344.80,117.24,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,REDYX L,DR. REDDYS LABORATORIES LTD,REMDESIVIR INJECTION 100 MG,20,INJECTION,Non-Scheduled,-1,2531.25,126.56,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,REMDAC,ZYDUS HEALTHCARE LTD.,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,899.00,899.00,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,REMWIN,SUN PHARMA LABORATORIES LTD.,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,2450.00,2450.00,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,DESREM,VIATRIS,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,3187.00,3187.00,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,COVIFOR,HETERO HEALTHCARE LTD,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,3490.00,3490.00,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,REMIZAC,SUN PHARMA LABORATORIES LTD.,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,3950.00,3950.00,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,REMDIZ,GLENMARK PHARMACEUTICALS LTD.,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,4500.00,4500.00,Dec-2025
1521037028@315605@101116124@1846@101068@201639,OTHER,REDYX,DR. REDDYS LABORATORIES LTD,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,5400.00,5400.00,Dec-2025
1521012810@330893@101115986@1846@101068@201639,MAIN,CIPREMI RTU 100 MG INJECTION 20 ML,CIPLA LTD.,REMDESIVIR INJECTION 100 MG,20 ML INJECTION,INJECTION,Non-Scheduled,-1,2344.80,117.24,Dec-2025
1521012810@330893@101115986@1846@101068@201639,OTHER,REDYX L,DR. REDDYS LABORATORIES LTD,REMDESIVIR INJECTION 100 MG,20,INJECTION,Non-Scheduled,-1,2531.25,126.56,Dec-2025
1521012810@330893@101115986@1846@101068@201639,OTHER,REMDAC,ZYDUS HEALTHCARE LTD.,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,899.00,899.00,Dec-2025
1521012810@330893@101115986@1846@101068@201639,OTHER,REMWIN,SUN PHARMA LABORATORIES LTD.,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,2450.00,2450.00,Dec-2025
1521012810@330893@101115986@1846@101068@201639,OTHER,CIPREMI,CIPLA LTD.,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,2501.11,2501.11,Dec-2025
1521012810@330893@101115986@1846@101068@201639,OTHER,DESREM,VIATRIS,REMDESIVIR INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,3187.00,3187.00,Dec-2025
