HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521037546@96363@101140723@2107@101006@201246,MAIN,ISOX (SURGE BIOTECH) 10 MG TABLET 10,SURGE BIOTECH PVT LTD,RITODRINE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,37.50,3.75,Dec-2025
1521037546@96363@101140723@2107@101006@201246,OTHER,UNISOX,UNICURE INDIA PVT LTD,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,30.05,3.01,Dec-2025
1521037546@96363@101140723@2107@101006@201246,OTHER,UTOPAR,ABBOTT INDIA LTD.,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,99.92,9.99,Dec-2025
1521037546@96363@101140723@2107@101006@201246,OTHER,UTGARD,INDSWIFT LABORATORIES LTD.,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,154.31,15.43,Dec-2025
1521037546@96363@101140723@2107@101006@201246,OTHER,RITOPAR UR,MERCURY HEALTH CARE PVT LTD,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,183.75,18.38,Dec-2025
1521037546@96363@101140723@2107@101006@201246,OTHER,UTODIN,SUN PHARMA LABORATORIES LTD.,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,204.38,20.44,Dec-2025
1521037546@96363@101140723@2107@101006@201246,OTHER,RITROD,NEON LABORATORIES LTD,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,208.10,20.81,Dec-2025
1521037546@96363@101140723@2107@101006@201246,OTHER,RITOLAN,JUGGAT PHARMA,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,269.53,26.95,Dec-2025
1521037548@96365@101140723@2107@101075@201246,MAIN,ISOX (SURGE BIOTECH) 10 MG TABLET SR 10,SURGE BIOTECH PVT LTD,RITODRINE TABLET SR 10 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521037547@46838@101140723@3049@101006@201246,MAIN,ISOX (SURGE BIOTECH) 20 MG TABLET 10,SURGE BIOTECH PVT LTD,RITODRINE TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,56.25,5.63,Dec-2025
1521070707@51671@101171372@2107@101006@201246,MAIN,RITOLAN 10 MG TABLET 10,JUGGAT PHARMA,RITODRINE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,269.53,26.95,Dec-2025
1521070707@51671@101171372@2107@101006@201246,OTHER,UNISOX,UNICURE INDIA PVT LTD,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,30.05,3.01,Dec-2025
1521070707@51671@101171372@2107@101006@201246,OTHER,ISOX (SURGE BIOTECH),SURGE BIOTECH PVT LTD,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,37.50,3.75,Dec-2025
1521070707@51671@101171372@2107@101006@201246,OTHER,UTOPAR,ABBOTT INDIA LTD.,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,99.92,9.99,Dec-2025
1521070707@51671@101171372@2107@101006@201246,OTHER,UTGARD,INDSWIFT LABORATORIES LTD.,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,154.31,15.43,Dec-2025
1521070707@51671@101171372@2107@101006@201246,OTHER,RITOPAR UR,MERCURY HEALTH CARE PVT LTD,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,183.75,18.38,Dec-2025
1521070707@51671@101171372@2107@101006@201246,OTHER,UTODIN,SUN PHARMA LABORATORIES LTD.,RITODRINE TABLET 10 MG,10,TABLET,Non-Scheduled,-1,204.38,20.44,Dec-2025
