HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521094228@335452@101190223@2974@101006@203061,MAIN,BDPARIB 200 MG TABLET 60,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,RUCAPARIB TABLET 200 MG,60 TABLET,TABLET,Non-Scheduled,-1,40178.56,669.64,Dec-2025
1521094228@335452@101190223@2974@101006@203061,OTHER,RUCAZA,INTAS PHARMACEUTICALS LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,39055.00,650.92,Dec-2025
1521094228@335452@101190223@2974@101006@203061,OTHER,NUPARP,ZYDUS - BIOLOGICS,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,41500.00,691.67,Dec-2025
1521094228@335452@101190223@2974@101006@203061,OTHER,RUPARIB,EMCURE PHARMACEUTICALS LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,42190.07,703.17,Dec-2025
1521094228@335452@101190223@2974@101006@203061,OTHER,LUCAPARIB,LUPIN LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,46125.00,768.75,Dec-2025
1521151925@335453@101190223@3426@101006@203061,MAIN,BDPARIB 300 MG TABLET 60,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,RUCAPARIB TABLET 300 MG,60 TABLET,TABLET,Non-Scheduled,-1,48214.28,803.57,Dec-2025
1521151925@335453@101190223@3426@101006@203061,OTHER,RUCAPARP,CIPLA LTD.,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,41793.00,696.55,Dec-2025
1521151925@335453@101190223@3426@101006@203061,OTHER,RUCAZA,INTAS PHARMACEUTICALS LTD,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,44344.69,739.08,Dec-2025
1521151925@335453@101190223@3426@101006@203061,OTHER,NUPARP,ZYDUS - BIOLOGICS,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,46687.50,778.13,Dec-2025
1521151925@335453@101190223@3426@101006@203061,OTHER,RUPARIB,EMCURE PHARMACEUTICALS LTD,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,51096.59,851.61,Dec-2025
1521151925@335453@101190223@3426@101006@203061,OTHER,LUCAPARIB,LUPIN LTD,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,55350.00,922.50,Dec-2025
1521096376@338453@101190015@2974@101006@203061,MAIN,LUCAPARIB 200 MG TABLET 60,LUPIN LTD,RUCAPARIB TABLET 200 MG,60 TABLET,TABLET,Non-Scheduled,-1,46125.00,768.75,Dec-2025
1521096376@338453@101190015@2974@101006@203061,OTHER,RUCAZA,INTAS PHARMACEUTICALS LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,39055.00,650.92,Dec-2025
1521096376@338453@101190015@2974@101006@203061,OTHER,BDPARIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,40178.56,669.64,Dec-2025
1521096376@338453@101190015@2974@101006@203061,OTHER,NUPARP,ZYDUS - BIOLOGICS,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,41500.00,691.67,Dec-2025
1521096376@338453@101190015@2974@101006@203061,OTHER,RUPARIB,EMCURE PHARMACEUTICALS LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,42190.07,703.17,Dec-2025
1521094040@338452@101190015@3426@101006@203061,MAIN,LUCAPARIB 300 MG TABLET 60,LUPIN LTD,RUCAPARIB TABLET 300 MG,60 TABLET,TABLET,Non-Scheduled,-1,55350.00,922.50,Dec-2025
1521094040@338452@101190015@3426@101006@203061,OTHER,RUCAPARP,CIPLA LTD.,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,41793.00,696.55,Dec-2025
1521094040@338452@101190015@3426@101006@203061,OTHER,RUCAZA,INTAS PHARMACEUTICALS LTD,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,44344.69,739.08,Dec-2025
1521094040@338452@101190015@3426@101006@203061,OTHER,NUPARP,ZYDUS - BIOLOGICS,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,46687.50,778.13,Dec-2025
1521094040@338452@101190015@3426@101006@203061,OTHER,BDPARIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,48214.28,803.57,Dec-2025
1521094040@338452@101190015@3426@101006@203061,OTHER,RUPARIB,EMCURE PHARMACEUTICALS LTD,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,51096.59,851.61,Dec-2025
1521090876@331871@101246689@2974@101006@203061,MAIN,NUPARP 200 MG TABLET 60,ZYDUS - BIOLOGICS,RUCAPARIB TABLET 200 MG,60 TABLET,TABLET,Non-Scheduled,-1,41500.00,691.67,Dec-2025
1521090876@331871@101246689@2974@101006@203061,OTHER,RUCAZA,INTAS PHARMACEUTICALS LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,39055.00,650.92,Dec-2025
1521090876@331871@101246689@2974@101006@203061,OTHER,BDPARIB,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,40178.56,669.64,Dec-2025
1521090876@331871@101246689@2974@101006@203061,OTHER,RUPARIB,EMCURE PHARMACEUTICALS LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,42190.07,703.17,Dec-2025
1521090876@331871@101246689@2974@101006@203061,OTHER,LUCAPARIB,LUPIN LTD,RUCAPARIB TABLET 200 MG,60,TABLET,Non-Scheduled,-1,46125.00,768.75,Dec-2025
1521088588@331872@101246689@3426@101006@203061,MAIN,NUPARP 300 MG TABLET 60,ZYDUS - BIOLOGICS,RUCAPARIB TABLET 300 MG,60 TABLET,TABLET,Non-Scheduled,-1,46687.50,778.13,Dec-2025
1521088588@331872@101246689@3426@101006@203061,OTHER,RUCAPARP,CIPLA LTD.,RUCAPARIB TABLET 300 MG,60,TABLET,Non-Scheduled,-1,41793.00,696.55,Dec-2025
