HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521010990@156442@101111491@1642@101126@200303,MAIN,ACEFATE 1000 MG SYRUP 200 ML,ASSAM CHEMICAL & PHARMACEUTICAL PVT. LTD.,SUCRALFATE SYRUP 1000 MG,200 ML SYRUP,SYRUP,Non-Scheduled,-1,140.24,0.70,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRATAS,INTAS PHARMACEUTICALS LTD,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,31.25,0.31,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRAT,ZEN LABS INDIA,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,40.28,0.40,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,RAB,KHANDELWAL LABORATORIES LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,131.82,0.66,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRO,BENNET PHARMACEUTICALS LIMITED,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,136.41,0.68,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRAFIL,FOURRTS INDIA LABORATORIES PVT. LTD,SUCRALFATE SYRUP 1000 MG,450,SYRUP,Non-Scheduled,-1,311.80,0.69,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRADER,ELDER PROJECTS LIMITED,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,156.00,0.78,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SIGRAL,SIGNOVA PHARMA (P) LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,159.66,0.80,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRAMAL,MENARINI INDIA,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,79.81,0.80,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRAMAX,MARC LABORATORIES PVT. LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,175.31,0.88,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCO,SANATRA HEALTH CARE PVT.LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,177.19,0.89,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,TASUL,AARPIK REMEDIES PVT.LTD.,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,89.00,0.89,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,ACICROL,PULSE PHARMACEUTICALS PVT LTD,SUCRALFATE SYRUP 1000 MG,170,SYRUP,Non-Scheduled,-1,155.00,0.91,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUFRATE,ESKAG PHARMA PVT.LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,185.63,0.93,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRALCOAT,EXELTIS,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,94.60,0.95,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SPARCID DS (DR.REDDYS),DR. REDDYS LABORATORIES LTD,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,108.28,1.08,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRALCOAT,EXELTIS,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,219.08,1.10,Dec-2025
1521010990@156442@101111491@1642@101126@200303,OTHER,SUCRATAS,INTAS PHARMACEUTICALS LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,331.88,1.66,Dec-2025
1521010559@316100@101111055@1642@101126@200303,MAIN,ACICROL 1000 MG SYRUP 170 ML,PULSE PHARMACEUTICALS PVT LTD,SUCRALFATE SYRUP 1000 MG,170 ML SYRUP,SYRUP,Non-Scheduled,-1,155.00,0.91,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRATAS,INTAS PHARMACEUTICALS LTD,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,31.25,0.31,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRAT,ZEN LABS INDIA,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,40.28,0.40,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,RAB,KHANDELWAL LABORATORIES LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,131.82,0.66,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRO,BENNET PHARMACEUTICALS LIMITED,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,136.41,0.68,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRAFIL,FOURRTS INDIA LABORATORIES PVT. LTD,SUCRALFATE SYRUP 1000 MG,450,SYRUP,Non-Scheduled,-1,311.80,0.69,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,ACEFATE,ASSAM CHEMICAL & PHARMACEUTICAL PVT. LTD.,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,140.24,0.70,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRADER,ELDER PROJECTS LIMITED,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,156.00,0.78,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SIGRAL,SIGNOVA PHARMA (P) LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,159.66,0.80,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRAMAL,MENARINI INDIA,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,79.81,0.80,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRAMAX,MARC LABORATORIES PVT. LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,175.31,0.88,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCO,SANATRA HEALTH CARE PVT.LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,177.19,0.89,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,TASUL,AARPIK REMEDIES PVT.LTD.,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,89.00,0.89,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUFRATE,ESKAG PHARMA PVT.LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,185.63,0.93,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRALCOAT,EXELTIS,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,94.60,0.95,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SPARCID DS (DR.REDDYS),DR. REDDYS LABORATORIES LTD,SUCRALFATE SYRUP 1000 MG,100,SYRUP,Non-Scheduled,-1,108.28,1.08,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRALCOAT,EXELTIS,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,219.08,1.10,Dec-2025
1521010559@316100@101111055@1642@101126@200303,OTHER,SUCRATAS,INTAS PHARMACEUTICALS LTD,SUCRALFATE SYRUP 1000 MG,200,SYRUP,Non-Scheduled,-1,331.88,1.66,Dec-2025
1521092020@313804@101101624@1642@101091@200303,MAIN,ALBEFATE 1000 MG SUSPENSION 200 ML,ALBERT DAVID,SUCRALFATE SUSPENSION 1000 MG,200 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,77.18,0.39,Dec-2025
1521092020@313804@101101624@1642@101091@200303,OTHER,NUCOOL-S,ALKEM LABORATORIES LTD.,SUCRALFATE SUSPENSION 1000 MG,100,SUSPENSION,Non-Scheduled,-1,52.50,0.53,Dec-2025
1521092020@313804@101101624@1642@101091@200303,OTHER,SUCRAT,ZEN LABS INDIA,SUCRALFATE SUSPENSION 1000 MG,200,SUSPENSION,Non-Scheduled,-1,110.00,0.55,Dec-2025
1521092020@313804@101101624@1642@101091@200303,OTHER,SUCRON,INTRA LABS,SUCRALFATE SUSPENSION 1000 MG,170,SUSPENSION,Non-Scheduled,-1,105.00,0.62,Dec-2025
1521092020@313804@101101624@1642@101091@200303,OTHER,LENOCARB S,LINCOLN PHARMACEUTICALS LTD,SUCRALFATE SUSPENSION 1000 MG,200,SUSPENSION,Non-Scheduled,-1,135.72,0.68,Dec-2025
1521092020@313804@101101624@1642@101091@200303,OTHER,SUCRAMAL,MENARINI INDIA,SUCRALFATE SUSPENSION 1000 MG,100,SUSPENSION,Non-Scheduled,-1,71.10,0.71,Dec-2025
