HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521158355@702901@101244670@1846@101006@208233,MAIN,ONETRELA 100 MG TABLET 4,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 100 MG,4 TABLET,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521158355@702901@101244670@1846@101006@208233,OTHER,TRELAHENZ,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,567.18,56.72,Dec-2025
1521158355@702901@101244670@1846@101006@208233,OTHER,TRELAVEL,AKUMENTIS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521158355@702901@101244670@1846@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,2,TABLET,Non-Scheduled,-1,283.55,141.78,Dec-2025
1521158355@702901@101244670@1846@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,567.19,141.80,Dec-2025
1521158296@702902@101244670@3791@101006@208233,MAIN,ONETRELA 50 MG TABLET 4,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 50 MG,4 TABLET,TABLET,Non-Scheduled,-1,262.50,65.63,Dec-2025
1521158296@702902@101244670@3791@101006@208233,OTHER,TRELAHENZ,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,330.00,33.00,Dec-2025
1521158296@702902@101244670@3791@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 50 MG,2,TABLET,Non-Scheduled,-1,165.00,82.50,Dec-2025
1521158296@702902@101244670@3791@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 50 MG,4,TABLET,Non-Scheduled,-1,330.00,82.50,Dec-2025
1521156663@700842@101243395@1846@101006@208233,MAIN,TRELAGLIP 100 MG TABLET 2,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,2 TABLET,TABLET,Non-Scheduled,-1,283.55,141.78,Dec-2025
1521156663@700842@101243395@1846@101006@208233,OTHER,TRELAHENZ,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,567.18,56.72,Dec-2025
1521156663@700842@101243395@1846@101006@208233,OTHER,ONETRELA,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521156663@700842@101243395@1846@101006@208233,OTHER,TRELAVEL,AKUMENTIS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521156716@700841@101243395@1846@101006@208233,MAIN,TRELAGLIP 100 MG TABLET 4,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,4 TABLET,TABLET,Non-Scheduled,-1,567.19,141.80,Dec-2025
1521156716@700841@101243395@1846@101006@208233,OTHER,TRELAHENZ,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,567.18,56.72,Dec-2025
1521156716@700841@101243395@1846@101006@208233,OTHER,ONETRELA,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521156716@700841@101243395@1846@101006@208233,OTHER,TRELAVEL,AKUMENTIS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521157745@702415@101243395@3312@101006@208233,MAIN,TRELAGLIP 25 MG TABLET 2,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 25 MG,2 TABLET,TABLET,Non-Scheduled,-1,245.63,122.82,Dec-2025
1521156664@700843@101243395@3791@101006@208233,MAIN,TRELAGLIP 50 MG TABLET 2,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 50 MG,2 TABLET,TABLET,Non-Scheduled,-1,165.00,82.50,Dec-2025
1521156664@700843@101243395@3791@101006@208233,OTHER,TRELAHENZ,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,330.00,33.00,Dec-2025
1521156664@700843@101243395@3791@101006@208233,OTHER,ONETRELA,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 50 MG,4,TABLET,Non-Scheduled,-1,262.50,65.63,Dec-2025
1521156850@701092@101243395@3791@101006@208233,MAIN,TRELAGLIP 50 MG TABLET 4,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 50 MG,4 TABLET,TABLET,Non-Scheduled,-1,330.00,82.50,Dec-2025
1521156850@701092@101243395@3791@101006@208233,OTHER,TRELAHENZ,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,330.00,33.00,Dec-2025
1521156850@701092@101243395@3791@101006@208233,OTHER,ONETRELA,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 50 MG,4,TABLET,Non-Scheduled,-1,262.50,65.63,Dec-2025
1521158202@703023@101244759@1846@101006@208233,MAIN,TRELAHENZ 100 MG TABLET 10,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,567.18,56.72,Dec-2025
1521158202@703023@101244759@1846@101006@208233,OTHER,ONETRELA,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521158202@703023@101244759@1846@101006@208233,OTHER,TRELAVEL,AKUMENTIS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,393.75,98.44,Dec-2025
1521158202@703023@101244759@1846@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,2,TABLET,Non-Scheduled,-1,283.55,141.78,Dec-2025
1521158202@703023@101244759@1846@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 100 MG,4,TABLET,Non-Scheduled,-1,567.19,141.80,Dec-2025
1521158442@703030@101244759@3791@101006@208233,MAIN,TRELAHENZ 50 MG TABLET 10,LA RENON HEALTHCARE PVT.LTD,TRELAGLIPTIN TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,330.00,33.00,Dec-2025
1521158442@703030@101244759@3791@101006@208233,OTHER,ONETRELA,ALKEM LABORATORIES LTD.,TRELAGLIPTIN TABLET 50 MG,4,TABLET,Non-Scheduled,-1,262.50,65.63,Dec-2025
1521158442@703030@101244759@3791@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 50 MG,2,TABLET,Non-Scheduled,-1,165.00,82.50,Dec-2025
1521158442@703030@101244759@3791@101006@208233,OTHER,TRELAGLIP,ZUVENTUS HEALTHCARE LTD,TRELAGLIPTIN TABLET 50 MG,4,TABLET,Non-Scheduled,-1,330.00,82.50,Dec-2025
