HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001431@124209@101101912@3879@101006@200732,MAIN,3-KAT 60 MG TABLET 10,SHRRISHTI HEALTHCARE,TRIMETAZIDINE TABLET 60 MG,10 TABLET,TABLET,Non-Scheduled,-1,118.30,11.83,Dec-2025
1521001431@124209@101101912@3879@101006@200732,OTHER,FLAVIROZ OD,ESWAR THERAPEUTICS PVT.LTD,TRIMETAZIDINE TABLET 60 MG,10,TABLET,Non-Scheduled,-1,173.44,17.34,Dec-2025
1521001431@124209@101101912@3879@101006@200732,OTHER,TRIMACONTIN,MODI MUNDI PHARMA PVT LTD,TRIMETAZIDINE TABLET 60 MG,10,TABLET,Non-Scheduled,-1,303.28,30.33,Dec-2025
1521001431@124209@101101912@3879@101006@200732,OTHER,FLAVEDON,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,TRIMETAZIDINE TABLET 60 MG,14,TABLET,Non-Scheduled,-1,1490.00,106.43,Dec-2025
1521009950@78280@101113030@3049@101006@200732,MAIN,CARVIDON 20 MG TABLET 10,MICRO LABS LTD,TRIMETAZIDINE TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,96.50,9.65,Dec-2025
1521009950@78280@101113030@3049@101006@200732,OTHER,MAYOZEST,ARISTO PHARMACEUTICALS PVT.LTD,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,34.96,3.50,Dec-2025
1521009950@78280@101113030@3049@101006@200732,OTHER,TRIVEDON,CIPLA LTD.,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,55.50,5.55,Dec-2025
1521009950@78280@101113030@3049@101006@200732,OTHER,TRIVED,EAST WEST PHARMA,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,73.05,7.31,Dec-2025
1521009950@78280@101113030@3049@101006@200732,OTHER,METAGARD,IPCA LABORATORIES PVT LTD.,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,100.92,10.09,Dec-2025
1521009950@78280@101113030@3049@101006@200732,OTHER,FLAVEDON,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,135.89,13.59,Dec-2025
1521009950@78280@101113030@3049@101006@200732,OTHER,CYTOGARD,ABBOTT HEALTHCARE PVT. LTD,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,149.69,14.97,Dec-2025
1521009952@80782@101113030@3558@101057@200732,MAIN,CARVIDON 35 MG TABLET MR 10,MICRO LABS LTD,TRIMETAZIDINE TABLET MR 35 MG,10 TABLET MR,TABLET MR,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,TORVASTAT,ZYDUS HEALTHCARE LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,8.48,0.85,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,FLAVEHEAL,HEALING PHARMA INDIA PVT.LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,TIMZID,LUPIN LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,TRIMEZEN,ELDER PROJECTS LIMITED,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,TIMZID,LUPIN LTD,TRIMETAZIDINE TABLET MR 35 MG,15,TABLET MR,Non-Scheduled,-1,157.60,10.51,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,FLAVIROZ,ESWAR THERAPEUTICS PVT.LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,148.13,14.81,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,CYTOGARD,ABBOTT HEALTHCARE PVT. LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,178.12,17.81,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,FLAVEDON,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,179.67,17.97,Dec-2025
1521009952@80782@101113030@3558@101057@200732,OTHER,TRIVEDON,CIPLA LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,213.39,21.34,Dec-2025
1521098758@351518@101113030@3558@101057@200732,MAIN,CARVIDON 35 MG TABLET MR 15,MICRO LABS LTD,TRIMETAZIDINE TABLET MR 35 MG,15 TABLET MR,TABLET MR,Non-Scheduled,-1,285.00,19.00,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,TORVASTAT,ZYDUS HEALTHCARE LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,8.48,0.85,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,FLAVEHEAL,HEALING PHARMA INDIA PVT.LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,TIMZID,LUPIN LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,TRIMEZEN,ELDER PROJECTS LIMITED,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,TIMZID,LUPIN LTD,TRIMETAZIDINE TABLET MR 35 MG,15,TABLET MR,Non-Scheduled,-1,157.60,10.51,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,FLAVIROZ,ESWAR THERAPEUTICS PVT.LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,148.13,14.81,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,CYTOGARD,ABBOTT HEALTHCARE PVT. LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,178.12,17.81,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,FLAVEDON,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,179.67,17.97,Dec-2025
1521098758@351518@101113030@3558@101057@200732,OTHER,TRIVEDON,CIPLA LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,213.39,21.34,Dec-2025
1521017486@80783@101113030@3879@101057@200732,MAIN,CARVIDON OD 60 MG TABLET MR 10,MICRO LABS LTD,TRIMETAZIDINE TABLET MR 60 MG,10 TABLET MR,TABLET MR,Non-Scheduled,-1,234.00,23.40,Dec-2025
1521017486@80783@101113030@3879@101057@200732,OTHER,CARVIDON OD,MICRO LABS LTD,TRIMETAZIDINE TABLET MR 60 MG,15,TABLET MR,Non-Scheduled,-1,360.00,24.00,Dec-2025
1521102050@353431@101194677@3879@101057@200732,MAIN,CARVIDON OD 60 MG TABLET MR 15,MICRO LABS LTD,TRIMETAZIDINE TABLET MR 60 MG,15 TABLET MR,TABLET MR,Non-Scheduled,-1,360.00,24.00,Dec-2025
1521102050@353431@101194677@3879@101057@200732,OTHER,CARVIDON,MICRO LABS LTD,TRIMETAZIDINE TABLET MR 60 MG,10,TABLET MR,Non-Scheduled,-1,234.00,23.40,Dec-2025
1521104313@355215@101194677@3955@101038@200732,MAIN,CARVIDON OD 80 MG CAPSULE 10,MICRO LABS LTD,TRIMETAZIDINE CAPSULE 80 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,178.10,17.81,Dec-2025
1521092292@11474@101121097@3049@101006@200732,MAIN,CYTOGARD 20 MG TABLET 10,ABBOTT HEALTHCARE PVT. LTD,TRIMETAZIDINE TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,149.69,14.97,Dec-2025
1521092292@11474@101121097@3049@101006@200732,OTHER,MAYOZEST,ARISTO PHARMACEUTICALS PVT.LTD,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,34.96,3.50,Dec-2025
1521092292@11474@101121097@3049@101006@200732,OTHER,TRIVEDON,CIPLA LTD.,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,55.50,5.55,Dec-2025
1521092292@11474@101121097@3049@101006@200732,OTHER,TRIVED,EAST WEST PHARMA,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,73.05,7.31,Dec-2025
1521092292@11474@101121097@3049@101006@200732,OTHER,CARVIDON,MICRO LABS LTD,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,96.50,9.65,Dec-2025
1521092292@11474@101121097@3049@101006@200732,OTHER,METAGARD,IPCA LABORATORIES PVT LTD.,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,100.92,10.09,Dec-2025
1521092292@11474@101121097@3049@101006@200732,OTHER,FLAVEDON,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,TRIMETAZIDINE TABLET 20 MG,10,TABLET,Non-Scheduled,-1,135.89,13.59,Dec-2025
1521091514@315955@101121097@3558@101057@200732,MAIN,CYTOGARD 35 MG TABLET MR 10,ABBOTT HEALTHCARE PVT. LTD,TRIMETAZIDINE TABLET MR 35 MG,10 TABLET MR,TABLET MR,Non-Scheduled,-1,178.12,17.81,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,TORVASTAT,ZYDUS HEALTHCARE LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,8.48,0.85,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,FLAVEHEAL,HEALING PHARMA INDIA PVT.LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,TIMZID,LUPIN LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,TRIMEZEN,ELDER PROJECTS LIMITED,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,TIMZID,LUPIN LTD,TRIMETAZIDINE TABLET MR 35 MG,15,TABLET MR,Non-Scheduled,-1,157.60,10.51,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,FLAVIROZ,ESWAR THERAPEUTICS PVT.LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,148.13,14.81,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,CARVIDON,MICRO LABS LTD,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521091514@315955@101121097@3558@101057@200732,OTHER,FLAVEDON,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,TRIMETAZIDINE TABLET MR 35 MG,10,TABLET MR,Non-Scheduled,-1,179.67,17.97,Dec-2025
