HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521106601@108807@101227928@-1@101038@207188,MAIN,ABEZ CAPSULE 10,AARPIK REMEDIES PVT.LTD.,VITAMIN B COMPLEX CAPSULE ,10 CAPSULE,CAPSULE,Non-Scheduled,-1,52.50,5.25,Dec-2025
1521106601@108807@101227928@-1@101038@207188,OTHER,MEDIPLEX,MEDLEY PHARMACEUTICALS,VITAMIN B COMPLEX CAPSULE ,15,CAPSULE,Non-Scheduled,-1,32.00,2.13,Dec-2025
1521106601@108807@101227928@-1@101038@207188,OTHER,ZINTAL,SHRINIVAS GUJARAT LABORATORIES PVT LTD,VITAMIN B COMPLEX CAPSULE ,10,CAPSULE,Non-Scheduled,-1,24.64,2.46,Dec-2025
1521106601@108807@101227928@-1@101038@207188,OTHER,COBAZINC,BURNET PHARMACEUTICALS P. LTD,VITAMIN B COMPLEX CAPSULE ,10,CAPSULE,Non-Scheduled,-1,31.50,3.15,Dec-2025
1521106601@108807@101227928@-1@101038@207188,OTHER,BG PHOS,ELDER PROJECTS LIMITED,VITAMIN B COMPLEX CAPSULE ,15,CAPSULE,Non-Scheduled,-1,61.00,4.07,Dec-2025
1521106601@108807@101227928@-1@101038@207188,OTHER,MOSTVIT PLUS,AGM BIOTEC,VITAMIN B COMPLEX CAPSULE ,10,CAPSULE,Non-Scheduled,-1,253.13,25.31,Dec-2025
1521110434@217901@101227928@-1@101126@207188,MAIN,ABEZ SYRUP 200 ML,AARPIK REMEDIES PVT.LTD.,VITAMIN B COMPLEX SYRUP ,200 ML SYRUP,SYRUP,Non-Scheduled,-1,72.86,0.36,Dec-2025
1521110434@217901@101227928@-1@101126@207188,OTHER,HEMBIT,CUBIT HEALTHCARE,VITAMIN B COMPLEX SYRUP ,200,SYRUP,Non-Scheduled,-1,90.00,0.45,Dec-2025
1521110434@217901@101227928@-1@101126@207188,OTHER,HICOPLEX,LEBEN LABORATORIES PVT.LTD,VITAMIN B COMPLEX SYRUP ,200,SYRUP,Non-Scheduled,-1,103.13,0.52,Dec-2025
1521110434@217901@101227928@-1@101126@207188,OTHER,WELPLEX,NOEL PHARMACEUTICALS,VITAMIN B COMPLEX SYRUP ,200,SYRUP,Non-Scheduled,-1,108.00,0.54,Dec-2025
