HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521150542@318412@101229744@3215@101006@202204,MAIN,CEAZAR 250 MG TABLET 10,JENOVA LABORATORIES PVT LTD,ZONISAMIDE TABLET 250 MG,10 TABLET,TABLET,Non-Scheduled,-1,214.29,21.43,Dec-2025
1521145608@247328@101229744@3755@101006@202204,MAIN,CEAZAR 500 MG TABLET 10,JENOVA LABORATORIES PVT LTD,ZONISAMIDE TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,469.00,46.90,Dec-2025
1521086120@100153@101186988@1846@101006@202204,MAIN,ZONEGRAN 100 MG TABLET 10,EISAI PHARMACEUTICALS INDIA LTD,ZONISAMIDE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,269.06,26.91,Dec-2025
1521086128@65314@101186997@1846@101038@202204,MAIN,ZONIMID 100 MG CAPSULE 10,INTAS PHARMACEUTICALS LTD,ZONISAMIDE CAPSULE 100 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,213.28,21.33,Dec-2025
1521086128@65314@101186997@1846@101038@202204,OTHER,ZONISEP,SUN PHARMA LABORATORIES LTD.,ZONISAMIDE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,236.25,23.63,Dec-2025
1521086129@65315@101186997@3312@101038@202204,MAIN,ZONIMID 25 MG CAPSULE 10,INTAS PHARMACEUTICALS LTD,ZONISAMIDE CAPSULE 25 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,57.66,5.77,Dec-2025
1521086129@65315@101186997@3312@101038@202204,OTHER,ZONISEP,SUN PHARMA LABORATORIES LTD.,ZONISAMIDE CAPSULE 25 MG,10,CAPSULE,Non-Scheduled,-1,60.94,6.09,Dec-2025
1521086130@65316@101186997@3791@101038@202204,MAIN,ZONIMID 50 MG CAPSULE 10,INTAS PHARMACEUTICALS LTD,ZONISAMIDE CAPSULE 50 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,111.33,11.13,Dec-2025
1521086130@65316@101186997@3791@101038@202204,OTHER,ZONISEP,SUN PHARMA LABORATORIES LTD.,ZONISAMIDE CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,118.13,11.81,Dec-2025
1521086132@62757@101187000@1846@101038@202204,MAIN,ZONISEP 100 MG CAPSULE 10,SUN PHARMA LABORATORIES LTD.,ZONISAMIDE CAPSULE 100 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,236.25,23.63,Dec-2025
1521086132@62757@101187000@1846@101038@202204,OTHER,ZONIMID,INTAS PHARMACEUTICALS LTD,ZONISAMIDE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,213.28,21.33,Dec-2025
1521086134@62758@101187000@3312@101038@202204,MAIN,ZONISEP 25 MG CAPSULE 10,SUN PHARMA LABORATORIES LTD.,ZONISAMIDE CAPSULE 25 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,60.94,6.09,Dec-2025
1521086134@62758@101187000@3312@101038@202204,OTHER,ZONIMID,INTAS PHARMACEUTICALS LTD,ZONISAMIDE CAPSULE 25 MG,10,CAPSULE,Non-Scheduled,-1,57.66,5.77,Dec-2025
1521086135@62759@101187000@3791@101038@202204,MAIN,ZONISEP 50 MG CAPSULE 10,SUN PHARMA LABORATORIES LTD.,ZONISAMIDE CAPSULE 50 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,118.13,11.81,Dec-2025
1521086135@62759@101187000@3791@101038@202204,OTHER,ZONIMID,INTAS PHARMACEUTICALS LTD,ZONISAMIDE CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,111.33,11.13,Dec-2025
