PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,SENSODENT-R GEL 100 GM,Non-Scheduled,Not Applicable,GEL,159.38/100 GM GEL
,2,SENSODENT-R GEL 50 GM,Non-Scheduled,Not Applicable,ORAL GEL,95.00/50 GM ORAL GEL
,3,STOLIN PASTE 100 GM,Non-Scheduled,Not Applicable,PASTE,168.28/100 GM PASTE
,4,STOLIN R ACTIVE TOOTHPASTE 120 GM,Non-Scheduled,Not Applicable,TOOTHPASTE,254.00/120 GM TOOTHPASTE
,5,STOLIN R ACTIVE TOOTHPASTE 70 GM,Non-Scheduled,Not Applicable,TOOTHPASTE,202.00/70 GM TOOTHPASTE
,6,STOLIN R FOAMING GEL 120 GM,Non-Scheduled,Not Applicable,GEL,254.00/120 GM GEL
,7,STOLIN R FOAMING GEL 70 GM,Non-Scheduled,Not Applicable,GEL,202.00/70 GM GEL
,8,STOLIN R PASTE 100 GM,Non-Scheduled,Not Applicable,PASTE,254.00/100 GM PASTE
,9,STOLIN R PASTE 50 GM,Non-Scheduled,Not Applicable,PASTE,102.00/50 GM PASTE
