HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521010550@277136@101111025@2888@101017@202868,MAIN,ACETIK 2 % EAR DROPS 10 ML,NULIFE PHARMACEUTICALS,ACETIC ACID EAR DROPS 2 %,10 ML EAR DROPS,EAR DROPS,Non-Scheduled,-1,168.75,16.88,Dec-2025
1521010550@277136@101111025@2888@101017@202868,OTHER,OTIMAC AC,MACLEODS PHARMACEUTICALS PVT.LTD,ACETIC ACID EAR DROPS 2 %,10,EAR DROPS,Non-Scheduled,-1,99.79,9.98,Dec-2025
1521010550@277136@101111025@2888@101017@202868,OTHER,OTOCIL,ENTOD PHARMACEUTICALS LTD,ACETIC ACID EAR DROPS 2 %,10,EAR DROPS,Non-Scheduled,-1,134.06,13.41,Dec-2025
1521099480@351310@101193412@1553@101076@202868,MAIN,OTIMAC 1 % DROPS 10 ML,MACLEODS PHARMACEUTICALS PVT.LTD,ACETIC ACID DROPS 1 %,10 ML DROPS,DROPS,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521099299@351311@101193412@2888@101076@202868,MAIN,OTIMAC 2 % DROPS 10 ML,MACLEODS PHARMACEUTICALS PVT.LTD,ACETIC ACID DROPS 2 %,10 ML DROPS,DROPS,Non-Scheduled,-1,99.79,9.98,Dec-2025
1521099299@351311@101193412@2888@101076@202868,OTHER,OTOLIN AC,LINCOLN PHARMACEUTICALS LTD,ACETIC ACID DROPS 2 %,10,DROPS,Non-Scheduled,-1,77.34,7.73,Dec-2025
1521099300@351775@101193413@1553@101017@202868,MAIN,OTIMAC AC 1 % EAR DROPS 10 ML,MACLEODS PHARMACEUTICALS PVT.LTD,ACETIC ACID EAR DROPS 1 %,10 ML EAR DROPS,EAR DROPS,Non-Scheduled,-1,79.41,7.94,Dec-2025
1521099301@351774@101193413@2888@101017@202868,MAIN,OTIMAC AC 2 % EAR DROPS 10 ML,MACLEODS PHARMACEUTICALS PVT.LTD,ACETIC ACID EAR DROPS 2 %,10 ML EAR DROPS,EAR DROPS,Non-Scheduled,-1,99.79,9.98,Dec-2025
1521099301@351774@101193413@2888@101017@202868,OTHER,OTOCIL,ENTOD PHARMACEUTICALS LTD,ACETIC ACID EAR DROPS 2 %,10,EAR DROPS,Non-Scheduled,-1,134.06,13.41,Dec-2025
1521099301@351774@101193413@2888@101017@202868,OTHER,ACETIK,NULIFE PHARMACEUTICALS,ACETIC ACID EAR DROPS 2 %,10,EAR DROPS,Non-Scheduled,-1,168.75,16.88,Dec-2025
1521058568@301327@101161508@2888@101017@202868,MAIN,OTOCIL 2 % EAR DROPS 10 ML,ENTOD PHARMACEUTICALS LTD,ACETIC ACID EAR DROPS 2 %,10 ML EAR DROPS,EAR DROPS,Non-Scheduled,-1,134.06,13.41,Dec-2025
1521058568@301327@101161508@2888@101017@202868,OTHER,OTIMAC AC,MACLEODS PHARMACEUTICALS PVT.LTD,ACETIC ACID EAR DROPS 2 %,10,EAR DROPS,Non-Scheduled,-1,99.79,9.98,Dec-2025
1521058568@301327@101161508@2888@101017@202868,OTHER,ACETIK,NULIFE PHARMACEUTICALS,ACETIC ACID EAR DROPS 2 %,10,EAR DROPS,Non-Scheduled,-1,168.75,16.88,Dec-2025
1521156258@9999994266@101243063@2888@101076@202868,MAIN,OTOLIN AC 2 % DROPS 10 ML,LINCOLN PHARMACEUTICALS LTD,ACETIC ACID DROPS 2 %,10 ML DROPS,DROPS,Non-Scheduled,-1,77.34,7.73,Dec-2025
1521156258@9999994266@101243063@2888@101076@202868,OTHER,OTIMAC,MACLEODS PHARMACEUTICALS PVT.LTD,ACETIC ACID DROPS 2 %,10,DROPS,Non-Scheduled,-1,99.79,9.98,Dec-2025
