HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521013158@48069@101112183@3625@101006@202410,MAIN,ABD 1 400 MG TABLET 1,INTAS PHARMACEUTICALS LTD,ALBENDAZOLE TABLET 400 MG,1 TABLET,TABLET,Scheduled,7.16,7.52,7.52,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,TROYZOLE,TROIKAA PHARMACEUTICALS LTD,ALBENDAZOLE TABLET 400 MG,10,TABLET,Scheduled,7.16,2.81,0.28,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,WORMORID,FINECURE PHARMACEUTICALS,ALBENDAZOLE TABLET 400 MG,10,TABLET,Scheduled,7.16,8.44,0.84,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ZYBEND,ZYDUS HEALTHCARE LTD.,ALBENDAZOLE TABLET 400 MG,10,TABLET,Scheduled,7.16,12.30,1.23,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ZTL,ELDER LABS LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,3.05,3.05,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,KEALVERM,NOVARTIS INDIA LTD,ALBENDAZOLE TABLET 400 MG,2,TABLET,Scheduled,7.16,7.80,3.90,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALBI,CONCEPT BIOSCIENCES PVT LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,3.94,3.94,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,HELMEX,MARS THERAPUTICS & CHEMICALS LTD.,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,6.60,6.60,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALBERA,ALDE MEDI IMPEX,ALBENDAZOLE TABLET 400 MG,10,TABLET,Scheduled,7.16,72.00,7.20,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALBOL,EAST WEST PHARMA,ALBENDAZOLE TABLET 400 MG,3,TABLET,Scheduled,7.16,22.11,7.37,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ABIDE,LABORATE PHARMACEUTICAL LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,7.39,7.39,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,BENDEX,CIPLA LTD.,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,7.39,7.39,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,X WORM,CIPLA LTD.,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,7.50,7.50,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,CIDAZOLE,JUGGAT PHARMA,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,7.52,7.52,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALONE,ACRON PHARMACEUTICALS,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,7.75,7.75,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALZAD,WOCKHARDT LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,7.82,7.82,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALBENDAZOLE,CADILA PHARMACEUTICALS LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,7.88,7.88,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALDEZOLE,ALDE MEDI IMPEX,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.09,8.09,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ABZ,INDOCO REMEDIES LTD,ALBENDAZOLE TABLET 400 MG,2,TABLET,Scheduled,7.16,16.22,8.11,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,REDIOUT,DR. REDDYS LABORATORIES LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.21,8.21,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,AH 1,OBSURGE BIOTECH LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.23,8.23,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALBID,SHINE PHARMACEUTICALS LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.48,8.48,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,MEDIMINTH,MEDICO LABS,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.50,8.50,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALVELA,SHRINIVAS GUJARAT LABORATORIES PVT LTD,ALBENDAZOLE TABLET 400 MG,3,TABLET,Scheduled,7.16,25.57,8.52,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,OLWORM,ZYDUS HEALTHCARE LTD.,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.52,8.52,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,SIOBAN,ALBERT DAVID,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.52,8.52,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ZYBEND,ZYDUS HEALTHCARE LTD.,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.52,8.52,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ALVELA,SHRINIVAS GUJARAT LABORATORIES PVT LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.53,8.53,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,BELGYN,DYCINE PHARMACEUTICALS,ALBENDAZOLE TABLET 400 MG,10,TABLET,Scheduled,7.16,85.31,8.53,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,BEN,BURNET PHARMACEUTICALS P. LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.53,8.53,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,EXPORM,RAVIAN PHARMACEUTICALS PVT LTD,ALBENDAZOLE TABLET 400 MG,3,TABLET,Scheduled,7.16,25.58,8.53,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ABD 1 (FRANKLIN),FRANKLIN LABORATORIES (INDIA) PVT. LTD.,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.60,8.60,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ABEN,LABORATE PHARMACEUTICAL LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.60,8.60,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ELDOBEN,ELDER PROJECTS LIMITED,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.60,8.60,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,LUPIBEND,LUPIN LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.60,8.60,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,MALZ,MARSHA PHARMA,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.63,8.63,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ABENDOL,LEEFORD HEALTHCARE,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.66,8.66,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,BANDY,MANKIND PHARMACEUTICALS LTD.,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.66,8.66,Dec-2025
1521013158@48069@101112183@3625@101006@202410,OTHER,ZEEBEE,RANBAXY LABORATORIES LTD,ALBENDAZOLE TABLET 400 MG,1,TABLET,Scheduled,7.16,8.66,8.66,Dec-2025
